user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,DeviceInfo,application,2025-12-28 17:38:52.538000+05:30,2025-12-28,Sunday,'17:38:52.538000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Session Started,system,2025-12-28 17:38:52.953000+05:30,2025-12-28,Sunday,'17:38:52.953000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,App Installed,system,2025-12-28 17:38:53.038000+05:30,2025-12-28,Sunday,'17:38:53.038000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Journey Started,system,2025-12-28 17:38:53.927000+05:30,2025-12-28,Sunday,'17:38:53.927000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,app_start,application,2025-12-28 17:38:53.969000+05:30,2025-12-28,Sunday,'17:38:53.969000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,choose_language,application,2025-12-28 17:38:57.900000+05:30,2025-12-28,Sunday,'17:38:57.900000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Onboarding_Language,application,2025-12-28 17:38:57.912000+05:30,2025-12-28,Sunday,'17:38:57.912000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,generate_otp,application,2025-12-28 17:39:08.438000+05:30,2025-12-28,Sunday,'17:39:08.438000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Onboarding_get_otp,application,2025-12-28 17:39:08.473000+05:30,2025-12-28,Sunday,'17:39:08.473000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,_auth_generate-otp,application,2025-12-28 17:39:09.426000+05:30,2025-12-28,Sunday,'17:39:09.426000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,get_otp,application,2025-12-28 17:39:09.437000+05:30,2025-12-28,Sunday,'17:39:09.437000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Onboarding_signup_,application,2025-12-28 17:39:09.475000+05:30,2025-12-28,Sunday,'17:39:09.475000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Journey Started,system,2025-12-28 17:39:09.489000+05:30,2025-12-28,Sunday,'17:39:09.489000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,Journey Ended,system,2025-12-28 17:39:09.489000+05:30,2025-12-28,Sunday,'17:39:09.489000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,verify_otp,application,2025-12-28 17:39:16.366000+05:30,2025-12-28,Sunday,'17:39:16.366000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,_auth_verify-otp,application,2025-12-28 17:39:16.666000+05:30,2025-12-28,Sunday,'17:39:16.666000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,enter_otp,application,2025-12-28 17:39:16.694000+05:30,2025-12-28,Sunday,'17:39:16.694000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,User Login,system,2025-12-28 17:39:16.791000+05:30,2025-12-28,Sunday,'17:39:16.791000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,login,application,2025-12-28 17:39:16.966000+05:30,2025-12-28,Sunday,'17:39:16.966000
52d5b4b6-98a3-4d7f-bf6d-27f09bc423d4,_user,application,2025-12-28 17:39:17.059000+05:30,2025-12-28,Sunday,'17:39:17.059000
