user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5403e9d5-c069-4928-92a7-efd86dfae1d1,DeviceInfo,application,2026-01-08 20:44:44.961000+05:30,2026-01-08,Thursday,'20:44:44.961000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Session Started,system,2026-01-08 20:44:45.641000+05:30,2026-01-08,Thursday,'20:44:45.641000
5403e9d5-c069-4928-92a7-efd86dfae1d1,App Installed,system,2026-01-08 20:44:45.911000+05:30,2026-01-08,Thursday,'20:44:45.911000
5403e9d5-c069-4928-92a7-efd86dfae1d1,app_start,application,2026-01-08 20:44:45.969000+05:30,2026-01-08,Thursday,'20:44:45.969000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Journey Started,system,2026-01-08 20:44:46.441000+05:30,2026-01-08,Thursday,'20:44:46.441000
5403e9d5-c069-4928-92a7-efd86dfae1d1,choose_language,application,2026-01-08 20:44:47.982000+05:30,2026-01-08,Thursday,'20:44:47.982000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Onboarding_Language,application,2026-01-08 20:44:48.009000+05:30,2026-01-08,Thursday,'20:44:48.009000
5403e9d5-c069-4928-92a7-efd86dfae1d1,generate_otp,application,2026-01-08 20:44:52.271000+05:30,2026-01-08,Thursday,'20:44:52.271000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Onboarding_get_otp,application,2026-01-08 20:44:52.310000+05:30,2026-01-08,Thursday,'20:44:52.310000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_auth_generate-otp,application,2026-01-08 20:44:52.941000+05:30,2026-01-08,Thursday,'20:44:52.941000
5403e9d5-c069-4928-92a7-efd86dfae1d1,get_otp,application,2026-01-08 20:44:52.974000+05:30,2026-01-08,Thursday,'20:44:52.974000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Onboarding_signup_,application,2026-01-08 20:44:53.014000+05:30,2026-01-08,Thursday,'20:44:53.014000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Journey Ended,system,2026-01-08 20:44:53.014000+05:30,2026-01-08,Thursday,'20:44:53.014000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Journey Started,system,2026-01-08 20:44:53.014000+05:30,2026-01-08,Thursday,'20:44:53.014000
5403e9d5-c069-4928-92a7-efd86dfae1d1,verify_otp,application,2026-01-08 20:45:01.536000+05:30,2026-01-08,Thursday,'20:45:01.536000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_auth_verify-otp,application,2026-01-08 20:45:01.805000+05:30,2026-01-08,Thursday,'20:45:01.805000
5403e9d5-c069-4928-92a7-efd86dfae1d1,enter_otp,application,2026-01-08 20:45:01.831000+05:30,2026-01-08,Thursday,'20:45:01.831000
5403e9d5-c069-4928-92a7-efd86dfae1d1,User Login,system,2026-01-08 20:45:01.904000+05:30,2026-01-08,Thursday,'20:45:01.904000
5403e9d5-c069-4928-92a7-efd86dfae1d1,login,application,2026-01-08 20:45:02.166000+05:30,2026-01-08,Thursday,'20:45:02.166000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user,application,2026-01-08 20:45:02.278000+05:30,2026-01-08,Thursday,'20:45:02.278000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_from-town,application,2026-01-08 20:45:02.850000+05:30,2026-01-08,Thursday,'20:45:02.850000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Onboarding_Profile Saved,application,2026-01-08 20:45:04.572000+05:30,2026-01-08,Thursday,'20:45:04.572000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user,application,2026-01-08 20:45:15.033000+05:30,2026-01-08,Thursday,'20:45:15.033000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_history_recommended-journey,application,2026-01-08 20:45:16.889000+05:30,2026-01-08,Thursday,'20:45:16.889000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user_device,application,2026-01-08 20:45:16.973000+05:30,2026-01-08,Thursday,'20:45:16.973000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_from-town,application,2026-01-08 20:45:17.008000+05:30,2026-01-08,Thursday,'20:45:17.008000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user,application,2026-01-08 20:45:17.100000+05:30,2026-01-08,Thursday,'20:45:17.100000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_special-town-search,application,2026-01-08 20:45:17.180000+05:30,2026-01-08,Thursday,'20:45:17.180000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_ticket,application,2026-01-08 20:45:17.308000+05:30,2026-01-08,Thursday,'20:45:17.308000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_special-town-search,application,2026-01-08 20:45:19.846000+05:30,2026-01-08,Thursday,'20:45:19.846000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_elastic-town-search,application,2026-01-08 20:45:19.891000+05:30,2026-01-08,Thursday,'20:45:19.891000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_special-town-search,application,2026-01-08 20:45:35.386000+05:30,2026-01-08,Thursday,'20:45:35.386000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_elastic-town-search,application,2026-01-08 20:45:35.557000+05:30,2026-01-08,Thursday,'20:45:35.557000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_special-town-search,application,2026-01-08 20:45:45.961000+05:30,2026-01-08,Thursday,'20:45:45.961000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_elastic-town-search,application,2026-01-08 20:45:46.063000+05:30,2026-01-08,Thursday,'20:45:46.063000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Buslist_date change,application,2026-01-08 20:45:53.102000+05:30,2026-01-08,Thursday,'20:45:53.102000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user,application,2026-01-08 20:45:53.372000+05:30,2026-01-08,Thursday,'20:45:53.372000
5403e9d5-c069-4928-92a7-efd86dfae1d1,pageview_bus_list,application,2026-01-08 20:45:53.462000+05:30,2026-01-08,Thursday,'20:45:53.462000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_bus-search_user-bus-search,application,2026-01-08 20:45:53.484000+05:30,2026-01-08,Thursday,'20:45:53.484000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_bus-search_list,application,2026-01-08 20:45:57.006000+05:30,2026-01-08,Thursday,'20:45:57.006000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_rewards_best-V2,application,2026-01-08 20:45:57.363000+05:30,2026-01-08,Thursday,'20:45:57.363000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Buslist_date change,application,2026-01-08 20:45:57.382000+05:30,2026-01-08,Thursday,'20:45:57.382000
5403e9d5-c069-4928-92a7-efd86dfae1d1,bus_search,application,2026-01-08 20:45:57.510000+05:30,2026-01-08,Thursday,'20:45:57.510000
5403e9d5-c069-4928-92a7-efd86dfae1d1,bus_result,application,2026-01-08 20:45:57.525000+05:30,2026-01-08,Thursday,'20:45:57.525000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Journey Started,system,2026-01-08 20:45:57.972000+05:30,2026-01-08,Thursday,'20:45:57.972000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_special-town-search,application,2026-01-08 20:46:38.990000+05:30,2026-01-08,Thursday,'20:46:38.990000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_location_elastic-town-search,application,2026-01-08 20:46:39.134000+05:30,2026-01-08,Thursday,'20:46:39.134000
5403e9d5-c069-4928-92a7-efd86dfae1d1,Buslist_date change,application,2026-01-08 20:46:53.447000+05:30,2026-01-08,Thursday,'20:46:53.447000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_user,application,2026-01-08 20:46:53.626000+05:30,2026-01-08,Thursday,'20:46:53.626000
5403e9d5-c069-4928-92a7-efd86dfae1d1,pageview_bus_list,application,2026-01-08 20:46:53.697000+05:30,2026-01-08,Thursday,'20:46:53.697000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_bus-search_user-bus-search,application,2026-01-08 20:46:53.729000+05:30,2026-01-08,Thursday,'20:46:53.729000
5403e9d5-c069-4928-92a7-efd86dfae1d1,_bus-search_list,application,2026-01-08 20:46:56.463000+05:30,2026-01-08,Thursday,'20:46:56.463000
