user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5413f920-4bbb-4b48-b94f-0bbdae4f3403,DeviceInfo,application,2026-01-16 21:48:41.236000+05:30,2026-01-16,Friday,'21:48:41.236000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Session Started,system,2026-01-16 21:48:44.545000+05:30,2026-01-16,Friday,'21:48:44.545000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,App Installed,system,2026-01-16 21:48:44.585000+05:30,2026-01-16,Friday,'21:48:44.585000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Push Subscribe Process - Device Registered (Push),system,2026-01-16 21:48:44.630000+05:30,2026-01-16,Friday,'21:48:44.630000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Journey Started,system,2026-01-16 21:48:45.782000+05:30,2026-01-16,Friday,'21:48:45.782000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,app_start,application,2026-01-16 21:48:58.358000+05:30,2026-01-16,Friday,'21:48:58.358000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,choose_language,application,2026-01-16 21:49:00.438000+05:30,2026-01-16,Friday,'21:49:00.438000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Onboarding_Language,application,2026-01-16 21:49:00.452000+05:30,2026-01-16,Friday,'21:49:00.452000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,generate_otp,application,2026-01-16 21:49:10.320000+05:30,2026-01-16,Friday,'21:49:10.320000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Onboarding_get_otp,application,2026-01-16 21:49:10.348000+05:30,2026-01-16,Friday,'21:49:10.348000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_auth_generate-otp,application,2026-01-16 21:49:11.215000+05:30,2026-01-16,Friday,'21:49:11.215000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,get_otp,application,2026-01-16 21:49:11.226000+05:30,2026-01-16,Friday,'21:49:11.226000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Onboarding_signup_,application,2026-01-16 21:49:11.277000+05:30,2026-01-16,Friday,'21:49:11.277000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Journey Started,system,2026-01-16 21:49:11.785000+05:30,2026-01-16,Friday,'21:49:11.785000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Journey Ended,system,2026-01-16 21:49:11.785000+05:30,2026-01-16,Friday,'21:49:11.785000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,verify_otp,application,2026-01-16 21:49:14.709000+05:30,2026-01-16,Friday,'21:49:14.709000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_auth_verify-otp,application,2026-01-16 21:49:15.120000+05:30,2026-01-16,Friday,'21:49:15.120000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,enter_otp,application,2026-01-16 21:49:15.179000+05:30,2026-01-16,Friday,'21:49:15.179000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,User Login,system,2026-01-16 21:49:15.301000+05:30,2026-01-16,Friday,'21:49:15.301000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,login,application,2026-01-16 21:49:15.580000+05:30,2026-01-16,Friday,'21:49:15.580000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_user,application,2026-01-16 21:49:15.727000+05:30,2026-01-16,Friday,'21:49:15.727000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_location_from-town,application,2026-01-16 21:49:16.368000+05:30,2026-01-16,Friday,'21:49:16.368000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Onboarding_Profile Saved,application,2026-01-16 21:49:17.444000+05:30,2026-01-16,Friday,'21:49:17.444000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_user,application,2026-01-16 21:49:30.958000+05:30,2026-01-16,Friday,'21:49:30.958000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_history_recommended-journey,application,2026-01-16 21:49:37.333000+05:30,2026-01-16,Friday,'21:49:37.333000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_user_device,application,2026-01-16 21:49:37.402000+05:30,2026-01-16,Friday,'21:49:37.402000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_location_from-town,application,2026-01-16 21:49:37.434000+05:30,2026-01-16,Friday,'21:49:37.434000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_user,application,2026-01-16 21:49:37.560000+05:30,2026-01-16,Friday,'21:49:37.560000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_ticket,application,2026-01-16 21:49:38.070000+05:30,2026-01-16,Friday,'21:49:38.070000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_location_special-town-search,application,2026-01-16 21:49:38.089000+05:30,2026-01-16,Friday,'21:49:38.089000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_location_elastic-town-search,application,2026-01-16 21:49:45.705000+05:30,2026-01-16,Friday,'21:49:45.705000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Buslist_date change,application,2026-01-16 21:50:02.433000+05:30,2026-01-16,Friday,'21:50:02.433000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_user,application,2026-01-16 21:50:02.662000+05:30,2026-01-16,Friday,'21:50:02.662000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,pageview_bus_list,application,2026-01-16 21:50:02.669000+05:30,2026-01-16,Friday,'21:50:02.669000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_bus-search_user-bus-search,application,2026-01-16 21:50:02.854000+05:30,2026-01-16,Friday,'21:50:02.854000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_bus-search_list,application,2026-01-16 21:50:04.752000+05:30,2026-01-16,Friday,'21:50:04.752000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,_rewards_best-V2,application,2026-01-16 21:50:06.005000+05:30,2026-01-16,Friday,'21:50:06.005000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Buslist_date change,application,2026-01-16 21:50:06.043000+05:30,2026-01-16,Friday,'21:50:06.043000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,bus_search,application,2026-01-16 21:50:06.097000+05:30,2026-01-16,Friday,'21:50:06.097000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,bus_result,application,2026-01-16 21:50:06.110000+05:30,2026-01-16,Friday,'21:50:06.110000
5413f920-4bbb-4b48-b94f-0bbdae4f3403,Journey Started,system,2026-01-16 21:50:48.993000+05:30,2026-01-16,Friday,'21:50:48.993000
