user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,DeviceInfo,application,2026-01-02 06:45:46.131000+05:30,2026-01-02,Friday,'06:45:46.131000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Session Started,system,2026-01-02 06:45:46.405000+05:30,2026-01-02,Friday,'06:45:46.405000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,App Installed,system,2026-01-02 06:45:46.436000+05:30,2026-01-02,Friday,'06:45:46.436000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Journey Started,system,2026-01-02 06:45:47.026000+05:30,2026-01-02,Friday,'06:45:47.026000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,app_start,application,2026-01-02 06:45:47.046000+05:30,2026-01-02,Friday,'06:45:47.046000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Push Subscribe Process - Device Registered (Push),system,2026-01-02 06:45:47.881000+05:30,2026-01-02,Friday,'06:45:47.881000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,choose_language,application,2026-01-02 06:45:49.783000+05:30,2026-01-02,Friday,'06:45:49.783000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Onboarding_Language,application,2026-01-02 06:45:49.847000+05:30,2026-01-02,Friday,'06:45:49.847000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,generate_otp,application,2026-01-02 06:45:57.306000+05:30,2026-01-02,Friday,'06:45:57.306000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Onboarding_get_otp,application,2026-01-02 06:45:57.321000+05:30,2026-01-02,Friday,'06:45:57.321000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Journey Started,system,2026-01-02 06:45:58.013000+05:30,2026-01-02,Friday,'06:45:58.013000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Journey Ended,system,2026-01-02 06:45:58.013000+05:30,2026-01-02,Friday,'06:45:58.013000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_auth_generate-otp,application,2026-01-02 06:45:59.739000+05:30,2026-01-02,Friday,'06:45:59.739000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,get_otp,application,2026-01-02 06:45:59.749000+05:30,2026-01-02,Friday,'06:45:59.749000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Onboarding_signup_,application,2026-01-02 06:45:59.765000+05:30,2026-01-02,Friday,'06:45:59.765000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,verify_otp,application,2026-01-02 06:46:02.096000+05:30,2026-01-02,Friday,'06:46:02.096000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_auth_verify-otp,application,2026-01-02 06:46:02.298000+05:30,2026-01-02,Friday,'06:46:02.298000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,enter_otp,application,2026-01-02 06:46:02.359000+05:30,2026-01-02,Friday,'06:46:02.359000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,User Login,system,2026-01-02 06:46:02.373000+05:30,2026-01-02,Friday,'06:46:02.373000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,login,application,2026-01-02 06:46:02.548000+05:30,2026-01-02,Friday,'06:46:02.548000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_user,application,2026-01-02 06:46:02.584000+05:30,2026-01-02,Friday,'06:46:02.584000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_from-town,application,2026-01-02 06:46:03.825000+05:30,2026-01-02,Friday,'06:46:03.825000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Onboarding_Profile Saved,application,2026-01-02 06:46:03.910000+05:30,2026-01-02,Friday,'06:46:03.910000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_user,application,2026-01-02 06:46:21.015000+05:30,2026-01-02,Friday,'06:46:21.015000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_history_recommended-journey,application,2026-01-02 06:46:23.536000+05:30,2026-01-02,Friday,'06:46:23.536000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_user_device,application,2026-01-02 06:46:23.570000+05:30,2026-01-02,Friday,'06:46:23.570000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_from-town,application,2026-01-02 06:46:23.616000+05:30,2026-01-02,Friday,'06:46:23.616000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_user,application,2026-01-02 06:46:23.678000+05:30,2026-01-02,Friday,'06:46:23.678000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_special-town-search,application,2026-01-02 06:46:23.950000+05:30,2026-01-02,Friday,'06:46:23.950000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_ticket,application,2026-01-02 06:46:24.110000+05:30,2026-01-02,Friday,'06:46:24.110000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_special-town-search,application,2026-01-02 06:46:25.576000+05:30,2026-01-02,Friday,'06:46:25.576000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_elastic-town-search,application,2026-01-02 06:46:25.719000+05:30,2026-01-02,Friday,'06:46:25.719000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_special-town-search,application,2026-01-02 06:46:37.876000+05:30,2026-01-02,Friday,'06:46:37.876000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_location_elastic-town-search,application,2026-01-02 06:46:39.831000+05:30,2026-01-02,Friday,'06:46:39.831000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,Buslist_date change,application,2026-01-02 06:47:27.437000+05:30,2026-01-02,Friday,'06:47:27.437000
568087b8-7a2b-4121-84d3-cbdea2c1d5ef,_user,application,2026-01-02 06:47:27.773000+05:30,2026-01-02,Friday,'06:47:27.773000
