user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
57a52a90-e607-44e1-961f-c598d903a2bf,DeviceInfo,application,2026-01-03 20:44:15.359000+05:30,2026-01-03,Saturday,'20:44:15.359000
57a52a90-e607-44e1-961f-c598d903a2bf,Session Started,system,2026-01-03 20:44:16.188000+05:30,2026-01-03,Saturday,'20:44:16.188000
57a52a90-e607-44e1-961f-c598d903a2bf,App Installed,system,2026-01-03 20:44:16.203000+05:30,2026-01-03,Saturday,'20:44:16.203000
57a52a90-e607-44e1-961f-c598d903a2bf,app_start,application,2026-01-03 20:44:16.328000+05:30,2026-01-03,Saturday,'20:44:16.328000
57a52a90-e607-44e1-961f-c598d903a2bf,Journey Started,system,2026-01-03 20:44:16.841000+05:30,2026-01-03,Saturday,'20:44:16.841000
57a52a90-e607-44e1-961f-c598d903a2bf,Push Subscribe Process - Device Registered (Push),system,2026-01-03 20:44:17.824000+05:30,2026-01-03,Saturday,'20:44:17.824000
57a52a90-e607-44e1-961f-c598d903a2bf,choose_language,application,2026-01-03 20:44:21.483000+05:30,2026-01-03,Saturday,'20:44:21.483000
57a52a90-e607-44e1-961f-c598d903a2bf,Onboarding_Language,application,2026-01-03 20:44:21.492000+05:30,2026-01-03,Saturday,'20:44:21.492000
57a52a90-e607-44e1-961f-c598d903a2bf,generate_otp,application,2026-01-03 20:44:27.834000+05:30,2026-01-03,Saturday,'20:44:27.834000
57a52a90-e607-44e1-961f-c598d903a2bf,Onboarding_get_otp,application,2026-01-03 20:44:27.842000+05:30,2026-01-03,Saturday,'20:44:27.842000
57a52a90-e607-44e1-961f-c598d903a2bf,Journey Ended,system,2026-01-03 20:44:30.403000+05:30,2026-01-03,Saturday,'20:44:30.403000
57a52a90-e607-44e1-961f-c598d903a2bf,Journey Started,system,2026-01-03 20:44:30.403000+05:30,2026-01-03,Saturday,'20:44:30.403000
57a52a90-e607-44e1-961f-c598d903a2bf,_auth_generate-otp,application,2026-01-03 20:44:31.303000+05:30,2026-01-03,Saturday,'20:44:31.303000
57a52a90-e607-44e1-961f-c598d903a2bf,get_otp,application,2026-01-03 20:44:31.313000+05:30,2026-01-03,Saturday,'20:44:31.313000
57a52a90-e607-44e1-961f-c598d903a2bf,Onboarding_signup_,application,2026-01-03 20:44:31.322000+05:30,2026-01-03,Saturday,'20:44:31.322000
57a52a90-e607-44e1-961f-c598d903a2bf,verify_otp,application,2026-01-03 20:44:34.608000+05:30,2026-01-03,Saturday,'20:44:34.608000
57a52a90-e607-44e1-961f-c598d903a2bf,_auth_verify-otp,application,2026-01-03 20:44:34.921000+05:30,2026-01-03,Saturday,'20:44:34.921000
57a52a90-e607-44e1-961f-c598d903a2bf,enter_otp,application,2026-01-03 20:44:34.929000+05:30,2026-01-03,Saturday,'20:44:34.929000
57a52a90-e607-44e1-961f-c598d903a2bf,User Login,system,2026-01-03 20:44:34.949000+05:30,2026-01-03,Saturday,'20:44:34.949000
57a52a90-e607-44e1-961f-c598d903a2bf,login,application,2026-01-03 20:44:35.396000+05:30,2026-01-03,Saturday,'20:44:35.396000
57a52a90-e607-44e1-961f-c598d903a2bf,_user,application,2026-01-03 20:44:35.399000+05:30,2026-01-03,Saturday,'20:44:35.399000
57a52a90-e607-44e1-961f-c598d903a2bf,_location_from-town,application,2026-01-03 20:44:36.577000+05:30,2026-01-03,Saturday,'20:44:36.577000
57a52a90-e607-44e1-961f-c598d903a2bf,Onboarding_Profile Saved,application,2026-01-03 20:44:39.455000+05:30,2026-01-03,Saturday,'20:44:39.455000
57a52a90-e607-44e1-961f-c598d903a2bf,_user,application,2026-01-03 20:44:48.727000+05:30,2026-01-03,Saturday,'20:44:48.727000
57a52a90-e607-44e1-961f-c598d903a2bf,_history_recommended-journey,application,2026-01-03 20:45:04.287000+05:30,2026-01-03,Saturday,'20:45:04.287000
57a52a90-e607-44e1-961f-c598d903a2bf,_location_special-town-search,application,2026-01-03 20:45:04.851000+05:30,2026-01-03,Saturday,'20:45:04.851000
57a52a90-e607-44e1-961f-c598d903a2bf,_user_device,application,2026-01-03 20:45:05.246000+05:30,2026-01-03,Saturday,'20:45:05.246000
57a52a90-e607-44e1-961f-c598d903a2bf,_location_from-town,application,2026-01-03 20:45:05.535000+05:30,2026-01-03,Saturday,'20:45:05.535000
57a52a90-e607-44e1-961f-c598d903a2bf,Push Failure,system,2026-01-04 20:44:24.051000+05:30,2026-01-04,Sunday,'20:44:24.051000
