user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5874d94f-0845-47e2-924d-ae61065183b5,App Installed,system,2026-01-13 19:39:21.186000+05:30,2026-01-13,Tuesday,'19:39:21.186000
5874d94f-0845-47e2-924d-ae61065183b5,DeviceInfo,application,2026-01-13 19:39:20.122000+05:30,2026-01-13,Tuesday,'19:39:20.122000
5874d94f-0845-47e2-924d-ae61065183b5,Journey Ended,system,2026-01-13 19:39:53.217000+05:30,2026-01-13,Tuesday,'19:39:53.217000
5874d94f-0845-47e2-924d-ae61065183b5,Journey Started,system,2026-01-13 19:39:22.852000+05:30,2026-01-13,Tuesday,'19:39:22.852000
5874d94f-0845-47e2-924d-ae61065183b5,Journey Started,system,2026-01-13 19:39:53.217000+05:30,2026-01-13,Tuesday,'19:39:53.217000
5874d94f-0845-47e2-924d-ae61065183b5,Onboarding_Language,application,2026-01-13 19:39:38.877000+05:30,2026-01-13,Tuesday,'19:39:38.877000
5874d94f-0845-47e2-924d-ae61065183b5,Onboarding_Profile Saved,application,2026-01-13 19:40:07.795000+05:30,2026-01-13,Tuesday,'19:40:07.795000
5874d94f-0845-47e2-924d-ae61065183b5,Onboarding_get_otp,application,2026-01-13 19:39:51.487000+05:30,2026-01-13,Tuesday,'19:39:51.487000
5874d94f-0845-47e2-924d-ae61065183b5,Onboarding_signup_,application,2026-01-13 19:39:55.137000+05:30,2026-01-13,Tuesday,'19:39:55.137000
5874d94f-0845-47e2-924d-ae61065183b5,Push Failure,system,2026-01-14 19:39:53.013000+05:30,2026-01-14,Wednesday,'19:39:53.013000
5874d94f-0845-47e2-924d-ae61065183b5,Push Failure,system,2026-01-15 19:40:10.355000+05:30,2026-01-15,Thursday,'19:40:10.355000
5874d94f-0845-47e2-924d-ae61065183b5,Push Failure,system,2026-01-16 19:40:22.250000+05:30,2026-01-16,Friday,'19:40:22.250000
5874d94f-0845-47e2-924d-ae61065183b5,Push Failure,system,2026-01-17 19:40:43.092000+05:30,2026-01-17,Saturday,'19:40:43.092000
5874d94f-0845-47e2-924d-ae61065183b5,Push Failure,system,2026-01-18 19:41:13.818000+05:30,2026-01-18,Sunday,'19:41:13.818000
5874d94f-0845-47e2-924d-ae61065183b5,Push Subscribe Process - Device Registered (Push),system,2026-01-13 19:39:23.314000+05:30,2026-01-13,Tuesday,'19:39:23.314000
5874d94f-0845-47e2-924d-ae61065183b5,Session Started,system,2026-01-13 19:39:20.946000+05:30,2026-01-13,Tuesday,'19:39:20.946000
5874d94f-0845-47e2-924d-ae61065183b5,Session Started,system,2026-01-13 19:41:10.667000+05:30,2026-01-13,Tuesday,'19:41:10.667000
5874d94f-0845-47e2-924d-ae61065183b5,User Login,system,2026-01-13 19:40:02.060000+05:30,2026-01-13,Tuesday,'19:40:02.060000
5874d94f-0845-47e2-924d-ae61065183b5,_auth_generate-otp,application,2026-01-13 19:39:55.009000+05:30,2026-01-13,Tuesday,'19:39:55.009000
5874d94f-0845-47e2-924d-ae61065183b5,_auth_verify-otp,application,2026-01-13 19:40:01.974000+05:30,2026-01-13,Tuesday,'19:40:01.974000
5874d94f-0845-47e2-924d-ae61065183b5,_history_recommended-journey,application,2026-01-13 19:40:12.900000+05:30,2026-01-13,Tuesday,'19:40:12.900000
5874d94f-0845-47e2-924d-ae61065183b5,_history_recommended-journey,application,2026-01-13 19:41:10.708000+05:30,2026-01-13,Tuesday,'19:41:10.708000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:27.991000+05:30,2026-01-13,Tuesday,'19:40:27.991000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:28.215000+05:30,2026-01-13,Tuesday,'19:40:28.215000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:30.350000+05:30,2026-01-13,Tuesday,'19:40:30.350000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:30.523000+05:30,2026-01-13,Tuesday,'19:40:30.523000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:31.061000+05:30,2026-01-13,Tuesday,'19:40:31.061000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:31.260000+05:30,2026-01-13,Tuesday,'19:40:31.260000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:31.542000+05:30,2026-01-13,Tuesday,'19:40:31.542000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:31.775000+05:30,2026-01-13,Tuesday,'19:40:31.775000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:39.251000+05:30,2026-01-13,Tuesday,'19:40:39.251000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:40:50.338000+05:30,2026-01-13,Tuesday,'19:40:50.338000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:41:13.877000+05:30,2026-01-13,Tuesday,'19:41:13.877000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:41:30.181000+05:30,2026-01-13,Tuesday,'19:41:30.181000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:18.613000+05:30,2026-01-13,Tuesday,'19:42:18.613000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:27.257000+05:30,2026-01-13,Tuesday,'19:42:27.257000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:27.499000+05:30,2026-01-13,Tuesday,'19:42:27.499000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:28.402000+05:30,2026-01-13,Tuesday,'19:42:28.402000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:28.763000+05:30,2026-01-13,Tuesday,'19:42:28.763000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:45.091000+05:30,2026-01-13,Tuesday,'19:42:45.091000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:45.425000+05:30,2026-01-13,Tuesday,'19:42:45.425000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:46.188000+05:30,2026-01-13,Tuesday,'19:42:46.188000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:46.485000+05:30,2026-01-13,Tuesday,'19:42:46.485000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:56.055000+05:30,2026-01-13,Tuesday,'19:42:56.055000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:59.371000+05:30,2026-01-13,Tuesday,'19:42:59.371000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:42:59.596000+05:30,2026-01-13,Tuesday,'19:42:59.596000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:43:01.186000+05:30,2026-01-13,Tuesday,'19:43:01.186000
5874d94f-0845-47e2-924d-ae61065183b5,_location_elastic-town-search,application,2026-01-13 19:43:01.484000+05:30,2026-01-13,Tuesday,'19:43:01.484000
5874d94f-0845-47e2-924d-ae61065183b5,_location_from-town,application,2026-01-13 19:40:05.352000+05:30,2026-01-13,Tuesday,'19:40:05.352000
5874d94f-0845-47e2-924d-ae61065183b5,_location_from-town,application,2026-01-13 19:40:12.910000+05:30,2026-01-13,Tuesday,'19:40:12.910000
