user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,DeviceInfo,application,2026-01-11 18:33:26.420000+05:30,2026-01-11,Sunday,'18:33:26.420000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Session Started,system,2026-01-11 18:33:26.593000+05:30,2026-01-11,Sunday,'18:33:26.593000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,App Installed,system,2026-01-11 18:33:26.611000+05:30,2026-01-11,Sunday,'18:33:26.611000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,app_start,application,2026-01-11 18:33:27.020000+05:30,2026-01-11,Sunday,'18:33:27.020000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Journey Started,system,2026-01-11 18:33:27.147000+05:30,2026-01-11,Sunday,'18:33:27.147000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Push Subscribe Process - Device Registered (Push),system,2026-01-11 18:33:28.691000+05:30,2026-01-11,Sunday,'18:33:28.691000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,choose_language,application,2026-01-11 18:33:29.413000+05:30,2026-01-11,Sunday,'18:33:29.413000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Onboarding_Language,application,2026-01-11 18:33:29.422000+05:30,2026-01-11,Sunday,'18:33:29.422000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Journey Ended,system,2026-01-11 18:33:38.681000+05:30,2026-01-11,Sunday,'18:33:38.681000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Journey Started,system,2026-01-11 18:33:38.681000+05:30,2026-01-11,Sunday,'18:33:38.681000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,generate_otp,application,2026-01-11 18:33:50.307000+05:30,2026-01-11,Sunday,'18:33:50.307000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Onboarding_get_otp,application,2026-01-11 18:33:50.323000+05:30,2026-01-11,Sunday,'18:33:50.323000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,_auth_generate-otp,application,2026-01-11 18:33:50.980000+05:30,2026-01-11,Sunday,'18:33:50.980000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,get_otp,application,2026-01-11 18:33:50.990000+05:30,2026-01-11,Sunday,'18:33:50.990000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,Onboarding_signup_,application,2026-01-11 18:33:50.998000+05:30,2026-01-11,Sunday,'18:33:50.998000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,verify_otp,application,2026-01-11 18:33:53.693000+05:30,2026-01-11,Sunday,'18:33:53.693000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,_auth_verify-otp,application,2026-01-11 18:33:53.908000+05:30,2026-01-11,Sunday,'18:33:53.908000
5a1c7f1b-de4d-4cfb-ad61-37ac27af1eaa,enter_otp,application,2026-01-11 18:33:53.925000+05:30,2026-01-11,Sunday,'18:33:53.925000
