user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5b8e4b0c-a0af-49b6-8246-b13790599884,DeviceInfo,application,2026-01-16 07:53:16.578000+05:30,2026-01-16,Friday,'07:53:16.578000
5b8e4b0c-a0af-49b6-8246-b13790599884,Session Started,system,2026-01-16 07:53:17.171000+05:30,2026-01-16,Friday,'07:53:17.171000
5b8e4b0c-a0af-49b6-8246-b13790599884,App Installed,system,2026-01-16 07:53:17.207000+05:30,2026-01-16,Friday,'07:53:17.207000
5b8e4b0c-a0af-49b6-8246-b13790599884,app_start,application,2026-01-16 07:53:17.973000+05:30,2026-01-16,Friday,'07:53:17.973000
5b8e4b0c-a0af-49b6-8246-b13790599884,Journey Started,system,2026-01-16 07:53:18.263000+05:30,2026-01-16,Friday,'07:53:18.263000
5b8e4b0c-a0af-49b6-8246-b13790599884,Push Subscribe Process - Device Registered (Push),system,2026-01-16 07:53:18.694000+05:30,2026-01-16,Friday,'07:53:18.694000
5b8e4b0c-a0af-49b6-8246-b13790599884,choose_language,application,2026-01-16 07:53:22.882000+05:30,2026-01-16,Friday,'07:53:22.882000
5b8e4b0c-a0af-49b6-8246-b13790599884,Onboarding_Language,application,2026-01-16 07:53:22.895000+05:30,2026-01-16,Friday,'07:53:22.895000
5b8e4b0c-a0af-49b6-8246-b13790599884,generate_otp,application,2026-01-16 07:53:29.829000+05:30,2026-01-16,Friday,'07:53:29.829000
5b8e4b0c-a0af-49b6-8246-b13790599884,Onboarding_get_otp,application,2026-01-16 07:53:29.841000+05:30,2026-01-16,Friday,'07:53:29.841000
5b8e4b0c-a0af-49b6-8246-b13790599884,_auth_generate-otp,application,2026-01-16 07:53:30.840000+05:30,2026-01-16,Friday,'07:53:30.840000
5b8e4b0c-a0af-49b6-8246-b13790599884,get_otp,application,2026-01-16 07:53:30.852000+05:30,2026-01-16,Friday,'07:53:30.852000
5b8e4b0c-a0af-49b6-8246-b13790599884,Onboarding_signup_,application,2026-01-16 07:53:30.868000+05:30,2026-01-16,Friday,'07:53:30.868000
