user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5bbbecf6-4e91-423f-9bc4-1837566e28d0,DeviceInfo,application,2026-01-11 16:33:23.655000+05:30,2026-01-11,Sunday,'16:33:23.655000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Session Started,system,2026-01-11 16:33:24.142000+05:30,2026-01-11,Sunday,'16:33:24.142000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,App Installed,system,2026-01-11 16:33:24.174000+05:30,2026-01-11,Sunday,'16:33:24.174000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Journey Started,system,2026-01-11 16:33:25.001000+05:30,2026-01-11,Sunday,'16:33:25.001000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Push Subscribe Process - Device Registered (Push),system,2026-01-11 16:33:25.813000+05:30,2026-01-11,Sunday,'16:33:25.813000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,app_start,application,2026-01-11 16:33:26.142000+05:30,2026-01-11,Sunday,'16:33:26.142000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,choose_language,application,2026-01-11 16:33:29.135000+05:30,2026-01-11,Sunday,'16:33:29.135000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Onboarding_Language,application,2026-01-11 16:33:29.157000+05:30,2026-01-11,Sunday,'16:33:29.157000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,choose_language,application,2026-01-11 16:33:29.179000+05:30,2026-01-11,Sunday,'16:33:29.179000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Onboarding_Language,application,2026-01-11 16:33:29.198000+05:30,2026-01-11,Sunday,'16:33:29.198000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Journey Ended,system,2026-01-11 16:33:29.918000+05:30,2026-01-11,Sunday,'16:33:29.918000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Journey Started,system,2026-01-11 16:33:29.918000+05:30,2026-01-11,Sunday,'16:33:29.918000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Journey Ended,system,2026-01-11 16:33:29.971000+05:30,2026-01-11,Sunday,'16:33:29.971000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Journey Started,system,2026-01-11 16:33:29.971000+05:30,2026-01-11,Sunday,'16:33:29.971000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,generate_otp,application,2026-01-11 16:34:09.500000+05:30,2026-01-11,Sunday,'16:34:09.500000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Onboarding_get_otp,application,2026-01-11 16:34:09.514000+05:30,2026-01-11,Sunday,'16:34:09.514000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,_auth_generate-otp,application,2026-01-11 16:34:10.673000+05:30,2026-01-11,Sunday,'16:34:10.673000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,get_otp,application,2026-01-11 16:34:10.688000+05:30,2026-01-11,Sunday,'16:34:10.688000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,Onboarding_signup_,application,2026-01-11 16:34:10.723000+05:30,2026-01-11,Sunday,'16:34:10.723000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,verify_otp,application,2026-01-11 16:34:12.701000+05:30,2026-01-11,Sunday,'16:34:12.701000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,_auth_verify-otp,application,2026-01-11 16:34:12.939000+05:30,2026-01-11,Sunday,'16:34:12.939000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,enter_otp,application,2026-01-11 16:34:12.964000+05:30,2026-01-11,Sunday,'16:34:12.964000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,User Login,system,2026-01-11 16:34:12.984000+05:30,2026-01-11,Sunday,'16:34:12.984000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,login,application,2026-01-11 16:34:13.325000+05:30,2026-01-11,Sunday,'16:34:13.325000
5bbbecf6-4e91-423f-9bc4-1837566e28d0,_user,application,2026-01-11 16:34:13.339000+05:30,2026-01-11,Sunday,'16:34:13.339000
