user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5ce849b3-8e73-4c5d-b990-d1fd904ab305,App Installed,system,2026-01-09 21:09:47.876000+05:30,2026-01-09,Friday,'21:09:47.876000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Buslist_bus_selection,application,2026-01-09 21:11:34.625000+05:30,2026-01-09,Friday,'21:11:34.625000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Buslist_date change,application,2026-01-09 21:11:07.494000+05:30,2026-01-09,Friday,'21:11:07.494000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Buslist_date change,application,2026-01-09 21:11:11.563000+05:30,2026-01-09,Friday,'21:11:11.563000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,DeviceInfo,application,2026-01-09 21:09:47.577000+05:30,2026-01-09,Friday,'21:09:47.577000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Ended,system,2026-01-09 21:10:01.301000+05:30,2026-01-09,Friday,'21:10:01.301000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Ended,system,2026-01-09 21:11:37.237000+05:30,2026-01-09,Friday,'21:11:37.237000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Ended,system,2026-01-10 03:27:12.173000+05:30,2026-01-10,Saturday,'03:27:12.173000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Started,system,2026-01-09 21:09:48.157000+05:30,2026-01-09,Friday,'21:09:48.157000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Started,system,2026-01-09 21:10:01.301000+05:30,2026-01-09,Friday,'21:10:01.301000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Started,system,2026-01-09 21:11:11.896000+05:30,2026-01-09,Friday,'21:11:11.896000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Journey Started,system,2026-01-09 21:11:37.239000+05:30,2026-01-09,Friday,'21:11:37.239000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Onboarding_Language,application,2026-01-09 21:09:52.212000+05:30,2026-01-09,Friday,'21:09:52.212000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Onboarding_Profile Saved,application,2026-01-09 21:10:10.528000+05:30,2026-01-09,Friday,'21:10:10.528000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Onboarding_get_otp,application,2026-01-09 21:10:01.055000+05:30,2026-01-09,Friday,'21:10:01.055000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Onboarding_signup_,application,2026-01-09 21:10:01.693000+05:30,2026-01-09,Friday,'21:10:01.693000
5ce849b3-8e73-4c5d-b990-d1fd904ab305,Push Failure,system,2026-01-09 21:26:57.740000+05:30,2026-01-09,Friday,'21:26:57.740000
