user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,DeviceInfo,application,2026-01-01 23:12:27.482000+05:30,2026-01-01,Thursday,'23:12:27.482000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Session Started,system,2026-01-01 23:12:29.819000+05:30,2026-01-01,Thursday,'23:12:29.819000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,App Installed,system,2026-01-01 23:12:29.848000+05:30,2026-01-01,Thursday,'23:12:29.848000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Journey Started,system,2026-01-01 23:12:30.861000+05:30,2026-01-01,Thursday,'23:12:30.861000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,app_start,application,2026-01-01 23:12:32.015000+05:30,2026-01-01,Thursday,'23:12:32.015000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Push Subscribe Process - Device Registered (Push),system,2026-01-01 23:12:32.120000+05:30,2026-01-01,Thursday,'23:12:32.120000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,choose_language,application,2026-01-01 23:12:36.887000+05:30,2026-01-01,Thursday,'23:12:36.887000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Onboarding_Language,application,2026-01-01 23:12:36.895000+05:30,2026-01-01,Thursday,'23:12:36.895000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,generate_otp,application,2026-01-01 23:12:43.859000+05:30,2026-01-01,Thursday,'23:12:43.859000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Onboarding_get_otp,application,2026-01-01 23:12:43.876000+05:30,2026-01-01,Thursday,'23:12:43.876000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Journey Ended,system,2026-01-01 23:12:45.217000+05:30,2026-01-01,Thursday,'23:12:45.217000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Journey Started,system,2026-01-01 23:12:45.217000+05:30,2026-01-01,Thursday,'23:12:45.217000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_auth_generate-otp,application,2026-01-01 23:12:45.677000+05:30,2026-01-01,Thursday,'23:12:45.677000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,get_otp,application,2026-01-01 23:12:45.705000+05:30,2026-01-01,Thursday,'23:12:45.705000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Onboarding_signup_,application,2026-01-01 23:12:45.714000+05:30,2026-01-01,Thursday,'23:12:45.714000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,verify_otp,application,2026-01-01 23:12:48.210000+05:30,2026-01-01,Thursday,'23:12:48.210000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_auth_verify-otp,application,2026-01-01 23:12:48.423000+05:30,2026-01-01,Thursday,'23:12:48.423000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,enter_otp,application,2026-01-01 23:12:48.443000+05:30,2026-01-01,Thursday,'23:12:48.443000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,User Login,system,2026-01-01 23:12:48.460000+05:30,2026-01-01,Thursday,'23:12:48.460000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,login,application,2026-01-01 23:12:48.956000+05:30,2026-01-01,Thursday,'23:12:48.956000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_user,application,2026-01-01 23:12:48.968000+05:30,2026-01-01,Thursday,'23:12:48.968000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_from-town,application,2026-01-01 23:12:50.291000+05:30,2026-01-01,Thursday,'23:12:50.291000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_user,application,2026-01-01 23:12:51.027000+05:30,2026-01-01,Thursday,'23:12:51.027000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_user_device,application,2026-01-01 23:12:51.389000+05:30,2026-01-01,Thursday,'23:12:51.389000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_history_recommended-journey,application,2026-01-01 23:12:51.479000+05:30,2026-01-01,Thursday,'23:12:51.479000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_from-town,application,2026-01-01 23:12:51.519000+05:30,2026-01-01,Thursday,'23:12:51.519000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_user,application,2026-01-01 23:12:51.540000+05:30,2026-01-01,Thursday,'23:12:51.540000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_special-town-search,application,2026-01-01 23:12:51.594000+05:30,2026-01-01,Thursday,'23:12:51.594000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_ticket,application,2026-01-01 23:12:51.694000+05:30,2026-01-01,Thursday,'23:12:51.694000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_special-town-search,application,2026-01-01 23:12:55.171000+05:30,2026-01-01,Thursday,'23:12:55.171000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_elastic-town-search,application,2026-01-01 23:12:55.340000+05:30,2026-01-01,Thursday,'23:12:55.340000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_special-town-search,application,2026-01-01 23:13:12.394000+05:30,2026-01-01,Thursday,'23:13:12.394000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_location_elastic-town-search,application,2026-01-01 23:13:17.722000+05:30,2026-01-01,Thursday,'23:13:17.722000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,Buslist_date change,application,2026-01-01 23:13:36.242000+05:30,2026-01-01,Thursday,'23:13:36.242000
5d8a01cb-ed11-4cc9-86b5-1d027b76c98a,_user,application,2026-01-01 23:13:36.499000+05:30,2026-01-01,Thursday,'23:13:36.499000
