user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,DeviceInfo,application,2026-01-13 14:03:26.925000+05:30,2026-01-13,Tuesday,'14:03:26.925000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Session Started,system,2026-01-13 14:03:27.315000+05:30,2026-01-13,Tuesday,'14:03:27.315000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,App Installed,system,2026-01-13 14:03:27.331000+05:30,2026-01-13,Tuesday,'14:03:27.331000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Journey Started,system,2026-01-13 14:03:28.312000+05:30,2026-01-13,Tuesday,'14:03:28.312000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,app_start,application,2026-01-13 14:03:28.449000+05:30,2026-01-13,Tuesday,'14:03:28.449000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Push Subscribe Process - Device Registered (Push),system,2026-01-13 14:03:28.909000+05:30,2026-01-13,Tuesday,'14:03:28.909000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,choose_language,application,2026-01-13 14:03:30.002000+05:30,2026-01-13,Tuesday,'14:03:30.002000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Onboarding_Language,application,2026-01-13 14:03:30.008000+05:30,2026-01-13,Tuesday,'14:03:30.008000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,generate_otp,application,2026-01-13 14:03:33.515000+05:30,2026-01-13,Tuesday,'14:03:33.515000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Onboarding_get_otp,application,2026-01-13 14:03:33.523000+05:30,2026-01-13,Tuesday,'14:03:33.523000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,_auth_generate-otp,application,2026-01-13 14:03:34.476000+05:30,2026-01-13,Tuesday,'14:03:34.476000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,get_otp,application,2026-01-13 14:03:34.485000+05:30,2026-01-13,Tuesday,'14:03:34.485000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Onboarding_signup_,application,2026-01-13 14:03:34.494000+05:30,2026-01-13,Tuesday,'14:03:34.494000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Journey Started,system,2026-01-13 14:03:34.666000+05:30,2026-01-13,Tuesday,'14:03:34.666000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Journey Ended,system,2026-01-13 14:03:34.667000+05:30,2026-01-13,Tuesday,'14:03:34.667000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,verify_otp,application,2026-01-13 14:03:36.103000+05:30,2026-01-13,Tuesday,'14:03:36.103000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,_auth_verify-otp,application,2026-01-13 14:03:36.441000+05:30,2026-01-13,Tuesday,'14:03:36.441000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,enter_otp,application,2026-01-13 14:03:36.467000+05:30,2026-01-13,Tuesday,'14:03:36.467000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,User Login,system,2026-01-13 14:03:36.473000+05:30,2026-01-13,Tuesday,'14:03:36.473000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,login,application,2026-01-13 14:03:36.824000+05:30,2026-01-13,Tuesday,'14:03:36.824000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,_user,application,2026-01-13 14:03:36.836000+05:30,2026-01-13,Tuesday,'14:03:36.836000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,_location_from-town,application,2026-01-13 14:03:37.175000+05:30,2026-01-13,Tuesday,'14:03:37.175000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,Onboarding_Profile Saved,application,2026-01-13 14:03:37.694000+05:30,2026-01-13,Tuesday,'14:03:37.694000
5f5766da-c37f-4ec5-bc6c-15b0e0babd14,_user,application,2026-01-13 14:03:43.110000+05:30,2026-01-13,Tuesday,'14:03:43.110000
