user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6076b2a5-1878-4462-b891-f765446e7e60,DeviceInfo,application,2026-01-05 18:56:02.356000+05:30,2026-01-05,Monday,'18:56:02.356000
6076b2a5-1878-4462-b891-f765446e7e60,Session Started,system,2026-01-05 18:56:02.598000+05:30,2026-01-05,Monday,'18:56:02.598000
6076b2a5-1878-4462-b891-f765446e7e60,App Installed,system,2026-01-05 18:56:02.725000+05:30,2026-01-05,Monday,'18:56:02.725000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Started,system,2026-01-05 18:56:03.044000+05:30,2026-01-05,Monday,'18:56:03.044000
6076b2a5-1878-4462-b891-f765446e7e60,app_start,application,2026-01-05 18:56:03.675000+05:30,2026-01-05,Monday,'18:56:03.675000
6076b2a5-1878-4462-b891-f765446e7e60,Push Subscribe Process - Device Registered (Push),system,2026-01-05 18:56:04.058000+05:30,2026-01-05,Monday,'18:56:04.058000
6076b2a5-1878-4462-b891-f765446e7e60,choose_language,application,2026-01-05 18:56:07.689000+05:30,2026-01-05,Monday,'18:56:07.689000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_Language,application,2026-01-05 18:56:07.699000+05:30,2026-01-05,Monday,'18:56:07.699000
6076b2a5-1878-4462-b891-f765446e7e60,choose_language,application,2026-01-05 18:56:07.720000+05:30,2026-01-05,Monday,'18:56:07.720000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_Language,application,2026-01-05 18:56:07.728000+05:30,2026-01-05,Monday,'18:56:07.728000
6076b2a5-1878-4462-b891-f765446e7e60,choose_language,application,2026-01-05 18:56:07.748000+05:30,2026-01-05,Monday,'18:56:07.748000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_Language,application,2026-01-05 18:56:07.754000+05:30,2026-01-05,Monday,'18:56:07.754000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Started,system,2026-01-05 18:56:08.141000+05:30,2026-01-05,Monday,'18:56:08.141000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Ended,system,2026-01-05 18:56:08.141000+05:30,2026-01-05,Monday,'18:56:08.141000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Started,system,2026-01-05 18:56:08.170000+05:30,2026-01-05,Monday,'18:56:08.170000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Ended,system,2026-01-05 18:56:08.170000+05:30,2026-01-05,Monday,'18:56:08.170000
6076b2a5-1878-4462-b891-f765446e7e60,choose_language,application,2026-01-05 18:56:08.338000+05:30,2026-01-05,Monday,'18:56:08.338000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_Language,application,2026-01-05 18:56:08.348000+05:30,2026-01-05,Monday,'18:56:08.348000
6076b2a5-1878-4462-b891-f765446e7e60,generate_otp,application,2026-01-05 18:56:17.214000+05:30,2026-01-05,Monday,'18:56:17.214000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_get_otp,application,2026-01-05 18:56:17.266000+05:30,2026-01-05,Monday,'18:56:17.266000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Started,system,2026-01-05 18:56:17.760000+05:30,2026-01-05,Monday,'18:56:17.760000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Ended,system,2026-01-05 18:56:17.760000+05:30,2026-01-05,Monday,'18:56:17.760000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Started,system,2026-01-05 18:56:17.763000+05:30,2026-01-05,Monday,'18:56:17.763000
6076b2a5-1878-4462-b891-f765446e7e60,Journey Ended,system,2026-01-05 18:56:17.764000+05:30,2026-01-05,Monday,'18:56:17.764000
6076b2a5-1878-4462-b891-f765446e7e60,_auth_generate-otp,application,2026-01-05 18:56:18.161000+05:30,2026-01-05,Monday,'18:56:18.161000
6076b2a5-1878-4462-b891-f765446e7e60,get_otp,application,2026-01-05 18:56:18.173000+05:30,2026-01-05,Monday,'18:56:18.173000
6076b2a5-1878-4462-b891-f765446e7e60,Onboarding_signup_,application,2026-01-05 18:56:18.185000+05:30,2026-01-05,Monday,'18:56:18.185000
6076b2a5-1878-4462-b891-f765446e7e60,verify_otp,application,2026-01-05 18:56:33.614000+05:30,2026-01-05,Monday,'18:56:33.614000
6076b2a5-1878-4462-b891-f765446e7e60,_auth_verify-otp,application,2026-01-05 18:56:33.769000+05:30,2026-01-05,Monday,'18:56:33.769000
6076b2a5-1878-4462-b891-f765446e7e60,enter_otp,application,2026-01-05 18:56:33.791000+05:30,2026-01-05,Monday,'18:56:33.791000
6076b2a5-1878-4462-b891-f765446e7e60,User Login,system,2026-01-05 18:56:33.798000+05:30,2026-01-05,Monday,'18:56:33.798000
