user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
60b242da-914a-4f9e-8f25-485aa0342f68,App Installed,system,2026-01-02 21:08:15.200000+05:30,2026-01-02,Friday,'21:08:15.200000
60b242da-914a-4f9e-8f25-485aa0342f68,App Uninstalled,system,2026-01-03 21:09:35.059000+05:30,2026-01-03,Saturday,'21:09:35.059000
60b242da-914a-4f9e-8f25-485aa0342f68,Buslist_Live Chat Icon,application,2026-01-02 21:18:01.731000+05:30,2026-01-02,Friday,'21:18:01.731000
60b242da-914a-4f9e-8f25-485aa0342f68,Buslist_date change,application,2026-01-02 21:17:40.119000+05:30,2026-01-02,Friday,'21:17:40.119000
60b242da-914a-4f9e-8f25-485aa0342f68,Buslist_date change,application,2026-01-02 21:17:49.379000+05:30,2026-01-02,Friday,'21:17:49.379000
60b242da-914a-4f9e-8f25-485aa0342f68,DeviceInfo,application,2026-01-02 21:08:13.011000+05:30,2026-01-02,Friday,'21:08:13.011000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Ended,system,2026-01-02 21:08:46.912000+05:30,2026-01-02,Friday,'21:08:46.912000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Ended,system,2026-01-02 21:08:47.275000+05:30,2026-01-02,Friday,'21:08:47.275000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Ended,system,2026-01-02 21:08:47.953000+05:30,2026-01-02,Friday,'21:08:47.953000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Ended,system,2026-01-02 21:09:00.908000+05:30,2026-01-02,Friday,'21:09:00.908000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Ended,system,2026-01-03 03:33:57.999000+05:30,2026-01-03,Saturday,'03:33:57.999000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:08:17.574000+05:30,2026-01-02,Friday,'21:08:17.574000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:08:46.912000+05:30,2026-01-02,Friday,'21:08:46.912000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:08:47.275000+05:30,2026-01-02,Friday,'21:08:47.275000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:08:47.953000+05:30,2026-01-02,Friday,'21:08:47.953000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:09:00.907000+05:30,2026-01-02,Friday,'21:09:00.907000
60b242da-914a-4f9e-8f25-485aa0342f68,Journey Started,system,2026-01-02 21:18:03.161000+05:30,2026-01-02,Friday,'21:18:03.161000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:39.790000+05:30,2026-01-02,Friday,'21:08:39.790000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:41.614000+05:30,2026-01-02,Friday,'21:08:41.614000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:43.450000+05:30,2026-01-02,Friday,'21:08:43.450000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:44.123000+05:30,2026-01-02,Friday,'21:08:44.123000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:45.290000+05:30,2026-01-02,Friday,'21:08:45.290000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:45.515000+05:30,2026-01-02,Friday,'21:08:45.515000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:46.018000+05:30,2026-01-02,Friday,'21:08:46.018000
60b242da-914a-4f9e-8f25-485aa0342f68,Onboarding_Language,application,2026-01-02 21:08:47.242000+05:30,2026-01-02,Friday,'21:08:47.242000
