user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
62200282-7d80-47fe-b6f7-e28732585d00,DeviceInfo,application,2026-01-16 21:30:08.279000+05:30,2026-01-16,Friday,'21:30:08.279000
62200282-7d80-47fe-b6f7-e28732585d00,Session Started,system,2026-01-16 21:30:08.748000+05:30,2026-01-16,Friday,'21:30:08.748000
62200282-7d80-47fe-b6f7-e28732585d00,App Installed,system,2026-01-16 21:30:08.786000+05:30,2026-01-16,Friday,'21:30:08.786000
62200282-7d80-47fe-b6f7-e28732585d00,Journey Started,system,2026-01-16 21:30:10.041000+05:30,2026-01-16,Friday,'21:30:10.041000
62200282-7d80-47fe-b6f7-e28732585d00,app_start,application,2026-01-16 21:30:10.158000+05:30,2026-01-16,Friday,'21:30:10.158000
62200282-7d80-47fe-b6f7-e28732585d00,Push Subscribe Process - Device Registered (Push),system,2026-01-16 21:30:15.069000+05:30,2026-01-16,Friday,'21:30:15.069000
62200282-7d80-47fe-b6f7-e28732585d00,choose_language,application,2026-01-16 21:30:16.373000+05:30,2026-01-16,Friday,'21:30:16.373000
62200282-7d80-47fe-b6f7-e28732585d00,Onboarding_Language,application,2026-01-16 21:30:16.409000+05:30,2026-01-16,Friday,'21:30:16.409000
62200282-7d80-47fe-b6f7-e28732585d00,generate_otp,application,2026-01-16 21:30:21.012000+05:30,2026-01-16,Friday,'21:30:21.012000
62200282-7d80-47fe-b6f7-e28732585d00,Onboarding_get_otp,application,2026-01-16 21:30:21.039000+05:30,2026-01-16,Friday,'21:30:21.039000
62200282-7d80-47fe-b6f7-e28732585d00,Journey Ended,system,2026-01-16 21:30:23.479000+05:30,2026-01-16,Friday,'21:30:23.479000
62200282-7d80-47fe-b6f7-e28732585d00,Journey Started,system,2026-01-16 21:30:23.479000+05:30,2026-01-16,Friday,'21:30:23.479000
62200282-7d80-47fe-b6f7-e28732585d00,_auth_generate-otp,application,2026-01-16 21:30:25.456000+05:30,2026-01-16,Friday,'21:30:25.456000
62200282-7d80-47fe-b6f7-e28732585d00,get_otp,application,2026-01-16 21:30:25.473000+05:30,2026-01-16,Friday,'21:30:25.473000
62200282-7d80-47fe-b6f7-e28732585d00,Onboarding_signup_,application,2026-01-16 21:30:25.490000+05:30,2026-01-16,Friday,'21:30:25.490000
62200282-7d80-47fe-b6f7-e28732585d00,verify_otp,application,2026-01-16 21:30:29.039000+05:30,2026-01-16,Friday,'21:30:29.039000
62200282-7d80-47fe-b6f7-e28732585d00,_auth_verify-otp,application,2026-01-16 21:30:29.746000+05:30,2026-01-16,Friday,'21:30:29.746000
62200282-7d80-47fe-b6f7-e28732585d00,enter_otp,application,2026-01-16 21:30:29.774000+05:30,2026-01-16,Friday,'21:30:29.774000
62200282-7d80-47fe-b6f7-e28732585d00,User Login,system,2026-01-16 21:30:29.791000+05:30,2026-01-16,Friday,'21:30:29.791000
62200282-7d80-47fe-b6f7-e28732585d00,login,application,2026-01-16 21:30:30.546000+05:30,2026-01-16,Friday,'21:30:30.546000
