user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
62a3a7d3-fefd-4d69-885e-c14b5d652386,DeviceInfo,application,2026-01-11 12:42:33.435000+05:30,2026-01-11,Sunday,'12:42:33.435000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Session Started,system,2026-01-11 12:42:34.789000+05:30,2026-01-11,Sunday,'12:42:34.789000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Subscribe Process - Device Registered (Push),system,2026-01-11 12:47:20.788000+05:30,2026-01-11,Sunday,'12:47:20.788000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Session Started,system,2026-01-11 12:50:46.010000+05:30,2026-01-11,Sunday,'12:50:46.010000
62a3a7d3-fefd-4d69-885e-c14b5d652386,choose_language,application,2026-01-11 12:50:51.087000+05:30,2026-01-11,Sunday,'12:50:51.087000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Onboarding_Language,application,2026-01-11 12:50:51.138000+05:30,2026-01-11,Sunday,'12:50:51.138000
62a3a7d3-fefd-4d69-885e-c14b5d652386,generate_otp,application,2026-01-11 12:51:02.261000+05:30,2026-01-11,Sunday,'12:51:02.261000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Onboarding_get_otp,application,2026-01-11 12:51:02.334000+05:30,2026-01-11,Sunday,'12:51:02.334000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_auth_generate-otp,application,2026-01-11 12:51:03.354000+05:30,2026-01-11,Sunday,'12:51:03.354000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Started,system,2026-01-11 12:51:03.378000+05:30,2026-01-11,Sunday,'12:51:03.378000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Ended,system,2026-01-11 12:51:03.378000+05:30,2026-01-11,Sunday,'12:51:03.378000
62a3a7d3-fefd-4d69-885e-c14b5d652386,get_otp,application,2026-01-11 12:51:03.539000+05:30,2026-01-11,Sunday,'12:51:03.539000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Onboarding_signup_,application,2026-01-11 12:51:03.554000+05:30,2026-01-11,Sunday,'12:51:03.554000
62a3a7d3-fefd-4d69-885e-c14b5d652386,verify_otp,application,2026-01-11 12:51:11.733000+05:30,2026-01-11,Sunday,'12:51:11.733000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_auth_verify-otp,application,2026-01-11 12:51:11.992000+05:30,2026-01-11,Sunday,'12:51:11.992000
62a3a7d3-fefd-4d69-885e-c14b5d652386,enter_otp,application,2026-01-11 12:51:12.032000+05:30,2026-01-11,Sunday,'12:51:12.032000
62a3a7d3-fefd-4d69-885e-c14b5d652386,User Login,system,2026-01-11 12:51:12.156000+05:30,2026-01-11,Sunday,'12:51:12.156000
62a3a7d3-fefd-4d69-885e-c14b5d652386,login,application,2026-01-11 12:51:12.369000+05:30,2026-01-11,Sunday,'12:51:12.369000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user,application,2026-01-11 12:51:12.480000+05:30,2026-01-11,Sunday,'12:51:12.480000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_from-town,application,2026-01-11 12:51:13.171000+05:30,2026-01-11,Sunday,'12:51:13.171000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Onboarding_Profile Saved,application,2026-01-11 12:51:14.140000+05:30,2026-01-11,Sunday,'12:51:14.140000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user,application,2026-01-11 12:51:22.852000+05:30,2026-01-11,Sunday,'12:51:22.852000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_history_recommended-journey,application,2026-01-11 12:51:25.866000+05:30,2026-01-11,Sunday,'12:51:25.866000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_from-town,application,2026-01-11 12:51:26.128000+05:30,2026-01-11,Sunday,'12:51:26.128000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user_device,application,2026-01-11 12:51:26.144000+05:30,2026-01-11,Sunday,'12:51:26.144000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user,application,2026-01-11 12:51:26.157000+05:30,2026-01-11,Sunday,'12:51:26.157000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_special-town-search,application,2026-01-11 12:51:26.185000+05:30,2026-01-11,Sunday,'12:51:26.185000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_ticket,application,2026-01-11 12:51:26.233000+05:30,2026-01-11,Sunday,'12:51:26.233000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_special-town-search,application,2026-01-11 12:51:27.464000+05:30,2026-01-11,Sunday,'12:51:27.464000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_elastic-town-search,application,2026-01-11 12:51:27.632000+05:30,2026-01-11,Sunday,'12:51:27.632000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_special-town-search,application,2026-01-11 12:51:51.717000+05:30,2026-01-11,Sunday,'12:51:51.717000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_elastic-town-search,application,2026-01-11 12:51:51.833000+05:30,2026-01-11,Sunday,'12:51:51.833000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_date change,application,2026-01-11 12:51:59.195000+05:30,2026-01-11,Sunday,'12:51:59.195000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user,application,2026-01-11 12:51:59.678000+05:30,2026-01-11,Sunday,'12:51:59.678000
62a3a7d3-fefd-4d69-885e-c14b5d652386,pageview_bus_list,application,2026-01-11 12:51:59.864000+05:30,2026-01-11,Sunday,'12:51:59.864000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_user-bus-search,application,2026-01-11 12:51:59.894000+05:30,2026-01-11,Sunday,'12:51:59.894000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_list,application,2026-01-11 12:52:03.071000+05:30,2026-01-11,Sunday,'12:52:03.071000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_rewards_best-V2,application,2026-01-11 12:52:03.821000+05:30,2026-01-11,Sunday,'12:52:03.821000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_date change,application,2026-01-11 12:52:03.900000+05:30,2026-01-11,Sunday,'12:52:03.900000
62a3a7d3-fefd-4d69-885e-c14b5d652386,bus_search,application,2026-01-11 12:52:03.911000+05:30,2026-01-11,Sunday,'12:52:03.911000
62a3a7d3-fefd-4d69-885e-c14b5d652386,bus_result,application,2026-01-11 12:52:03.922000+05:30,2026-01-11,Sunday,'12:52:03.922000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_Live Chat Icon,application,2026-01-11 12:52:09.787000+05:30,2026-01-11,Sunday,'12:52:09.787000
62a3a7d3-fefd-4d69-885e-c14b5d652386,enquire_now,application,2026-01-11 12:52:09.829000+05:30,2026-01-11,Sunday,'12:52:09.829000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_special-town-search,application,2026-01-11 12:52:13.729000+05:30,2026-01-11,Sunday,'12:52:13.729000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_location_elastic-town-search,application,2026-01-11 12:52:14.027000+05:30,2026-01-11,Sunday,'12:52:14.027000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_date change,application,2026-01-11 12:52:23.040000+05:30,2026-01-11,Sunday,'12:52:23.040000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_user,application,2026-01-11 12:52:23.452000+05:30,2026-01-11,Sunday,'12:52:23.452000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_user-bus-search,application,2026-01-11 12:52:23.467000+05:30,2026-01-11,Sunday,'12:52:23.467000
62a3a7d3-fefd-4d69-885e-c14b5d652386,pageview_bus_list,application,2026-01-11 12:52:23.651000+05:30,2026-01-11,Sunday,'12:52:23.651000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_list,application,2026-01-11 12:52:28.050000+05:30,2026-01-11,Sunday,'12:52:28.050000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_rewards_best-V2,application,2026-01-11 12:52:28.317000+05:30,2026-01-11,Sunday,'12:52:28.317000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_date change,application,2026-01-11 12:52:28.348000+05:30,2026-01-11,Sunday,'12:52:28.348000
62a3a7d3-fefd-4d69-885e-c14b5d652386,bus_search,application,2026-01-11 12:52:28.488000+05:30,2026-01-11,Sunday,'12:52:28.488000
62a3a7d3-fefd-4d69-885e-c14b5d652386,bus_result,application,2026-01-11 12:52:28.513000+05:30,2026-01-11,Sunday,'12:52:28.513000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Started,system,2026-01-11 12:52:33.281000+05:30,2026-01-11,Sunday,'12:52:33.281000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Buslist_bus_selection,application,2026-01-11 12:52:54.021000+05:30,2026-01-11,Sunday,'12:52:54.021000
62a3a7d3-fefd-4d69-885e-c14b5d652386,bus_detail,application,2026-01-11 12:52:54.053000+05:30,2026-01-11,Sunday,'12:52:54.053000
62a3a7d3-fefd-4d69-885e-c14b5d652386,pageview_seat_selection,application,2026-01-11 12:52:54.333000+05:30,2026-01-11,Sunday,'12:52:54.333000
62a3a7d3-fefd-4d69-885e-c14b5d652386,SeatSelection_Click On Back,application,2026-01-11 12:52:54.402000+05:30,2026-01-11,Sunday,'12:52:54.402000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_profile,application,2026-01-11 12:52:54.425000+05:30,2026-01-11,Sunday,'12:52:54.425000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_v2_layout,application,2026-01-11 12:52:54.434000+05:30,2026-01-11,Sunday,'12:52:54.434000
62a3a7d3-fefd-4d69-885e-c14b5d652386,select_seat,application,2026-01-11 12:52:57.226000+05:30,2026-01-11,Sunday,'12:52:57.226000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Ended,system,2026-01-11 12:53:06.689000+05:30,2026-01-11,Sunday,'12:53:06.689000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Started,system,2026-01-11 12:53:06.702000+05:30,2026-01-11,Sunday,'12:53:06.702000
62a3a7d3-fefd-4d69-885e-c14b5d652386,boarding_change_pickup,application,2026-01-11 12:53:10.856000+05:30,2026-01-11,Sunday,'12:53:10.856000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Ended,system,2026-01-11 12:53:12.817000+05:30,2026-01-11,Sunday,'12:53:12.817000
62a3a7d3-fefd-4d69-885e-c14b5d652386,seats_finalized,application,2026-01-11 12:53:16.684000+05:30,2026-01-11,Sunday,'12:53:16.684000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Boarding_drop_locations,application,2026-01-11 12:53:16.754000+05:30,2026-01-11,Sunday,'12:53:16.754000
62a3a7d3-fefd-4d69-885e-c14b5d652386,pageview_booking_details,application,2026-01-11 12:53:20.448000+05:30,2026-01-11,Sunday,'12:53:20.448000
62a3a7d3-fefd-4d69-885e-c14b5d652386,auto_apply_coupon,application,2026-01-11 12:53:20.480000+05:30,2026-01-11,Sunday,'12:53:20.480000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_profile,application,2026-01-11 12:53:20.696000+05:30,2026-01-11,Sunday,'12:53:20.696000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_ticket,application,2026-01-11 12:53:20.815000+05:30,2026-01-11,Sunday,'12:53:20.815000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_bus-search_get-distance,application,2026-01-11 12:53:20.883000+05:30,2026-01-11,Sunday,'12:53:20.883000
62a3a7d3-fefd-4d69-885e-c14b5d652386,_coupon,application,2026-01-11 12:53:20.895000+05:30,2026-01-11,Sunday,'12:53:20.895000
62a3a7d3-fefd-4d69-885e-c14b5d652386,PaymentPage_DiscountApplied,application,2026-01-11 12:53:21.328000+05:30,2026-01-11,Sunday,'12:53:21.328000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Started,system,2026-01-11 12:53:21.849000+05:30,2026-01-11,Sunday,'12:53:21.849000
62a3a7d3-fefd-4d69-885e-c14b5d652386,PaymentPage_Click On Back,application,2026-01-11 12:53:34.120000+05:30,2026-01-11,Sunday,'12:53:34.120000
62a3a7d3-fefd-4d69-885e-c14b5d652386,booking_page_dropoff,application,2026-01-11 12:53:34.155000+05:30,2026-01-11,Sunday,'12:53:34.155000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Sent,system,2026-01-11 13:00:21.481000+05:30,2026-01-11,Sunday,'13:00:21.481000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Delivered,system,2026-01-11 13:00:22.538000+05:30,2026-01-11,Sunday,'13:00:22.538000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Impression,system,2026-01-11 13:00:22.590000+05:30,2026-01-11,Sunday,'13:00:22.590000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Journey Ended,system,2026-01-11 13:12:17.990000+05:30,2026-01-11,Sunday,'13:12:17.990000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Delivered,system,2026-01-11 13:12:22.401000+05:30,2026-01-11,Sunday,'13:12:22.401000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Sent,system,2026-01-11 13:12:22.411000+05:30,2026-01-11,Sunday,'13:12:22.411000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Impression,system,2026-01-11 13:12:22.444000+05:30,2026-01-11,Sunday,'13:12:22.444000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Dismiss,system,2026-01-11 17:23:05.466000+05:30,2026-01-11,Sunday,'17:23:05.466000
62a3a7d3-fefd-4d69-885e-c14b5d652386,Push Sent,system,2026-01-12 17:59:34.836000+05:30,2026-01-12,Monday,'17:59:34.836000
