user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
62cd3258-6769-4f01-8c3b-5e0849388452,DeviceInfo,application,2026-01-09 11:21:55.458000+05:30,2026-01-09,Friday,'11:21:55.458000
62cd3258-6769-4f01-8c3b-5e0849388452,Session Started,system,2026-01-09 11:21:57.868000+05:30,2026-01-09,Friday,'11:21:57.868000
62cd3258-6769-4f01-8c3b-5e0849388452,App Installed,system,2026-01-09 11:21:58.257000+05:30,2026-01-09,Friday,'11:21:58.257000
62cd3258-6769-4f01-8c3b-5e0849388452,app_start,application,2026-01-09 11:22:00.266000+05:30,2026-01-09,Friday,'11:22:00.266000
62cd3258-6769-4f01-8c3b-5e0849388452,Push Subscribe Process - Device Registered (Push),system,2026-01-09 11:22:00.382000+05:30,2026-01-09,Friday,'11:22:00.382000
62cd3258-6769-4f01-8c3b-5e0849388452,choose_language,application,2026-01-09 11:22:05.991000+05:30,2026-01-09,Friday,'11:22:05.991000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_Language,application,2026-01-09 11:22:06.008000+05:30,2026-01-09,Friday,'11:22:06.008000
62cd3258-6769-4f01-8c3b-5e0849388452,choose_language,application,2026-01-09 11:22:06.056000+05:30,2026-01-09,Friday,'11:22:06.056000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_Language,application,2026-01-09 11:22:06.065000+05:30,2026-01-09,Friday,'11:22:06.065000
62cd3258-6769-4f01-8c3b-5e0849388452,choose_language,application,2026-01-09 11:22:06.106000+05:30,2026-01-09,Friday,'11:22:06.106000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_Language,application,2026-01-09 11:22:06.122000+05:30,2026-01-09,Friday,'11:22:06.122000
62cd3258-6769-4f01-8c3b-5e0849388452,choose_language,application,2026-01-09 11:22:06.861000+05:30,2026-01-09,Friday,'11:22:06.861000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_Language,application,2026-01-09 11:22:06.878000+05:30,2026-01-09,Friday,'11:22:06.878000
62cd3258-6769-4f01-8c3b-5e0849388452,choose_language,application,2026-01-09 11:22:06.912000+05:30,2026-01-09,Friday,'11:22:06.912000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_Language,application,2026-01-09 11:22:06.940000+05:30,2026-01-09,Friday,'11:22:06.940000
62cd3258-6769-4f01-8c3b-5e0849388452,generate_otp,application,2026-01-09 11:22:21.447000+05:30,2026-01-09,Friday,'11:22:21.447000
62cd3258-6769-4f01-8c3b-5e0849388452,Onboarding_get_otp,application,2026-01-09 11:22:21.469000+05:30,2026-01-09,Friday,'11:22:21.469000
62cd3258-6769-4f01-8c3b-5e0849388452,_auth_generate-otp,application,2026-01-09 11:22:22.732000+05:30,2026-01-09,Friday,'11:22:22.732000
62cd3258-6769-4f01-8c3b-5e0849388452,get_otp,application,2026-01-09 11:22:22.751000+05:30,2026-01-09,Friday,'11:22:22.751000
