user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6334a5ed-0b67-46d6-9335-035940837547,DeviceInfo,application,2026-01-15 16:31:11.296000+05:30,2026-01-15,Thursday,'16:31:11.296000
6334a5ed-0b67-46d6-9335-035940837547,Session Started,system,2026-01-15 16:31:11.514000+05:30,2026-01-15,Thursday,'16:31:11.514000
6334a5ed-0b67-46d6-9335-035940837547,App Installed,system,2026-01-15 16:31:11.515000+05:30,2026-01-15,Thursday,'16:31:11.515000
6334a5ed-0b67-46d6-9335-035940837547,Journey Started,system,2026-01-15 16:31:11.541000+05:30,2026-01-15,Thursday,'16:31:11.541000
6334a5ed-0b67-46d6-9335-035940837547,app_start,application,2026-01-15 16:31:12.365000+05:30,2026-01-15,Thursday,'16:31:12.365000
6334a5ed-0b67-46d6-9335-035940837547,Push Subscribe Process - Device Registered (Push),system,2026-01-15 16:31:13.300000+05:30,2026-01-15,Thursday,'16:31:13.300000
6334a5ed-0b67-46d6-9335-035940837547,choose_language,application,2026-01-15 16:31:19.112000+05:30,2026-01-15,Thursday,'16:31:19.112000
6334a5ed-0b67-46d6-9335-035940837547,Onboarding_Language,application,2026-01-15 16:31:19.120000+05:30,2026-01-15,Thursday,'16:31:19.120000
6334a5ed-0b67-46d6-9335-035940837547,Journey Started,system,2026-01-15 16:31:36.362000+05:30,2026-01-15,Thursday,'16:31:36.362000
6334a5ed-0b67-46d6-9335-035940837547,Journey Ended,system,2026-01-15 16:31:36.363000+05:30,2026-01-15,Thursday,'16:31:36.363000
6334a5ed-0b67-46d6-9335-035940837547,generate_otp,application,2026-01-15 16:33:22.003000+05:30,2026-01-15,Thursday,'16:33:22.003000
6334a5ed-0b67-46d6-9335-035940837547,Onboarding_get_otp,application,2026-01-15 16:33:22.017000+05:30,2026-01-15,Thursday,'16:33:22.017000
6334a5ed-0b67-46d6-9335-035940837547,_auth_generate-otp,application,2026-01-15 16:33:22.698000+05:30,2026-01-15,Thursday,'16:33:22.698000
6334a5ed-0b67-46d6-9335-035940837547,get_otp,application,2026-01-15 16:33:22.708000+05:30,2026-01-15,Thursday,'16:33:22.708000
6334a5ed-0b67-46d6-9335-035940837547,Onboarding_signup_,application,2026-01-15 16:33:22.748000+05:30,2026-01-15,Thursday,'16:33:22.748000
6334a5ed-0b67-46d6-9335-035940837547,verify_otp,application,2026-01-15 16:33:26.639000+05:30,2026-01-15,Thursday,'16:33:26.639000
6334a5ed-0b67-46d6-9335-035940837547,_auth_verify-otp,application,2026-01-15 16:33:26.719000+05:30,2026-01-15,Thursday,'16:33:26.719000
6334a5ed-0b67-46d6-9335-035940837547,enter_otp,application,2026-01-15 16:33:26.844000+05:30,2026-01-15,Thursday,'16:33:26.844000
6334a5ed-0b67-46d6-9335-035940837547,User Login,system,2026-01-15 16:33:26.860000+05:30,2026-01-15,Thursday,'16:33:26.860000
6334a5ed-0b67-46d6-9335-035940837547,login,application,2026-01-15 16:33:27.043000+05:30,2026-01-15,Thursday,'16:33:27.043000
6334a5ed-0b67-46d6-9335-035940837547,_user,application,2026-01-15 16:33:27.058000+05:30,2026-01-15,Thursday,'16:33:27.058000
6334a5ed-0b67-46d6-9335-035940837547,_location_from-town,application,2026-01-15 16:33:27.346000+05:30,2026-01-15,Thursday,'16:33:27.346000
6334a5ed-0b67-46d6-9335-035940837547,Onboarding_Profile Saved,application,2026-01-15 16:33:28.477000+05:30,2026-01-15,Thursday,'16:33:28.477000
6334a5ed-0b67-46d6-9335-035940837547,_user,application,2026-01-15 16:33:54.309000+05:30,2026-01-15,Thursday,'16:33:54.309000
6334a5ed-0b67-46d6-9335-035940837547,_location_from-town,application,2026-01-15 16:33:56.776000+05:30,2026-01-15,Thursday,'16:33:56.776000
6334a5ed-0b67-46d6-9335-035940837547,_user,application,2026-01-15 16:33:56.776000+05:30,2026-01-15,Thursday,'16:33:56.776000
6334a5ed-0b67-46d6-9335-035940837547,_history_recommended-journey,application,2026-01-15 16:33:56.776000+05:30,2026-01-15,Thursday,'16:33:56.776000
6334a5ed-0b67-46d6-9335-035940837547,_user_device,application,2026-01-15 16:33:56.776000+05:30,2026-01-15,Thursday,'16:33:56.776000
6334a5ed-0b67-46d6-9335-035940837547,_ticket,application,2026-01-15 16:33:56.897000+05:30,2026-01-15,Thursday,'16:33:56.897000
6334a5ed-0b67-46d6-9335-035940837547,_location_special-town-search,application,2026-01-15 16:33:57.026000+05:30,2026-01-15,Thursday,'16:33:57.026000
