user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6510e304-3af3-4d59-b530-5819586dac8c,App Installed,system,2026-01-07 23:39:12.027000+05:30,2026-01-07,Wednesday,'23:39:12.027000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_Live Chat Icon,application,2026-01-07 23:42:56.731000+05:30,2026-01-07,Wednesday,'23:42:56.731000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_Live Chat Icon,application,2026-01-07 23:44:13.500000+05:30,2026-01-07,Wednesday,'23:44:13.500000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:42:46.818000+05:30,2026-01-07,Wednesday,'23:42:46.818000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:42:50.740000+05:30,2026-01-07,Wednesday,'23:42:50.740000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:43:21.666000+05:30,2026-01-07,Wednesday,'23:43:21.666000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:43:25.327000+05:30,2026-01-07,Wednesday,'23:43:25.327000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:03.002000+05:30,2026-01-07,Wednesday,'23:44:03.002000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:05.743000+05:30,2026-01-07,Wednesday,'23:44:05.743000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:24.095000+05:30,2026-01-07,Wednesday,'23:44:24.095000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:26.563000+05:30,2026-01-07,Wednesday,'23:44:26.563000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:55.797000+05:30,2026-01-07,Wednesday,'23:44:55.797000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:44:59.630000+05:30,2026-01-07,Wednesday,'23:44:59.630000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:46:35.486000+05:30,2026-01-07,Wednesday,'23:46:35.486000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:46:39.894000+05:30,2026-01-07,Wednesday,'23:46:39.894000
6510e304-3af3-4d59-b530-5819586dac8c,Buslist_date change,application,2026-01-07 23:47:10.959000+05:30,2026-01-07,Wednesday,'23:47:10.959000
6510e304-3af3-4d59-b530-5819586dac8c,DeviceInfo,application,2026-01-07 23:39:11.418000+05:30,2026-01-07,Wednesday,'23:39:11.418000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Ended,system,2026-01-07 23:39:23.351000+05:30,2026-01-07,Wednesday,'23:39:23.351000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Ended,system,2026-01-07 23:39:23.409000+05:30,2026-01-07,Wednesday,'23:39:23.409000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Ended,system,2026-01-07 23:39:23.747000+05:30,2026-01-07,Wednesday,'23:39:23.747000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Ended,system,2026-01-07 23:39:30.365000+05:30,2026-01-07,Wednesday,'23:39:30.365000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Ended,system,2026-01-08 05:58:46.648000+05:30,2026-01-08,Thursday,'05:58:46.648000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:39:13.968000+05:30,2026-01-07,Wednesday,'23:39:13.968000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:39:23.351000+05:30,2026-01-07,Wednesday,'23:39:23.351000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:39:23.409000+05:30,2026-01-07,Wednesday,'23:39:23.409000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:39:23.746000+05:30,2026-01-07,Wednesday,'23:39:23.746000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:39:30.364000+05:30,2026-01-07,Wednesday,'23:39:30.364000
6510e304-3af3-4d59-b530-5819586dac8c,Journey Started,system,2026-01-07 23:42:52.845000+05:30,2026-01-07,Wednesday,'23:42:52.845000
