user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
65ff8036-c9f5-405a-a060-19d616cdc9ef,DeviceInfo,application,2026-01-11 16:12:41.267000+05:30,2026-01-11,Sunday,'16:12:41.267000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Session Started,system,2026-01-11 16:12:43.574000+05:30,2026-01-11,Sunday,'16:12:43.574000
65ff8036-c9f5-405a-a060-19d616cdc9ef,App Installed,system,2026-01-11 16:12:43.621000+05:30,2026-01-11,Sunday,'16:12:43.621000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Push Subscribe Process - Device Registered (Push),system,2026-01-11 16:12:44.888000+05:30,2026-01-11,Sunday,'16:12:44.888000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Journey Started,system,2026-01-11 16:12:44.892000+05:30,2026-01-11,Sunday,'16:12:44.892000
65ff8036-c9f5-405a-a060-19d616cdc9ef,app_start,application,2026-01-11 16:12:46.467000+05:30,2026-01-11,Sunday,'16:12:46.467000
65ff8036-c9f5-405a-a060-19d616cdc9ef,choose_language,application,2026-01-11 16:12:49.191000+05:30,2026-01-11,Sunday,'16:12:49.191000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Onboarding_Language,application,2026-01-11 16:12:49.210000+05:30,2026-01-11,Sunday,'16:12:49.210000
65ff8036-c9f5-405a-a060-19d616cdc9ef,generate_otp,application,2026-01-11 16:12:59.400000+05:30,2026-01-11,Sunday,'16:12:59.400000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Onboarding_get_otp,application,2026-01-11 16:12:59.424000+05:30,2026-01-11,Sunday,'16:12:59.424000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_auth_generate-otp,application,2026-01-11 16:13:00.365000+05:30,2026-01-11,Sunday,'16:13:00.365000
65ff8036-c9f5-405a-a060-19d616cdc9ef,get_otp,application,2026-01-11 16:13:00.376000+05:30,2026-01-11,Sunday,'16:13:00.376000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Onboarding_signup_,application,2026-01-11 16:13:00.399000+05:30,2026-01-11,Sunday,'16:13:00.399000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Journey Ended,system,2026-01-11 16:13:00.680000+05:30,2026-01-11,Sunday,'16:13:00.680000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Journey Started,system,2026-01-11 16:13:00.680000+05:30,2026-01-11,Sunday,'16:13:00.680000
65ff8036-c9f5-405a-a060-19d616cdc9ef,verify_otp,application,2026-01-11 16:13:20.566000+05:30,2026-01-11,Sunday,'16:13:20.566000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_auth_verify-otp,application,2026-01-11 16:13:20.819000+05:30,2026-01-11,Sunday,'16:13:20.819000
65ff8036-c9f5-405a-a060-19d616cdc9ef,enter_otp,application,2026-01-11 16:13:20.828000+05:30,2026-01-11,Sunday,'16:13:20.828000
65ff8036-c9f5-405a-a060-19d616cdc9ef,User Login,system,2026-01-11 16:13:20.842000+05:30,2026-01-11,Sunday,'16:13:20.842000
65ff8036-c9f5-405a-a060-19d616cdc9ef,login,application,2026-01-11 16:13:21.253000+05:30,2026-01-11,Sunday,'16:13:21.253000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_user,application,2026-01-11 16:13:21.276000+05:30,2026-01-11,Sunday,'16:13:21.276000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_location_from-town,application,2026-01-11 16:13:21.687000+05:30,2026-01-11,Sunday,'16:13:21.687000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Onboarding_Profile Saved,application,2026-01-11 16:13:32.949000+05:30,2026-01-11,Sunday,'16:13:32.949000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_user,application,2026-01-11 16:13:35.217000+05:30,2026-01-11,Sunday,'16:13:35.217000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_location_from-town,application,2026-01-11 16:13:39.688000+05:30,2026-01-11,Sunday,'16:13:39.688000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_history_recommended-journey,application,2026-01-11 16:13:39.710000+05:30,2026-01-11,Sunday,'16:13:39.710000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_user_device,application,2026-01-11 16:13:39.981000+05:30,2026-01-11,Sunday,'16:13:39.981000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_user,application,2026-01-11 16:13:40.015000+05:30,2026-01-11,Sunday,'16:13:40.015000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_location_special-town-search,application,2026-01-11 16:13:40.426000+05:30,2026-01-11,Sunday,'16:13:40.426000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_ticket,application,2026-01-11 16:13:40.716000+05:30,2026-01-11,Sunday,'16:13:40.716000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_location_special-town-search,application,2026-01-11 16:13:47.093000+05:30,2026-01-11,Sunday,'16:13:47.093000
65ff8036-c9f5-405a-a060-19d616cdc9ef,_location_elastic-town-search,application,2026-01-11 16:13:47.160000+05:30,2026-01-11,Sunday,'16:13:47.160000
65ff8036-c9f5-405a-a060-19d616cdc9ef,App Uninstalled,system,2026-01-12 03:39:30.472000+05:30,2026-01-12,Monday,'03:39:30.472000
65ff8036-c9f5-405a-a060-19d616cdc9ef,Push Failure,system,2026-01-12 16:13:13.640000+05:30,2026-01-12,Monday,'16:13:13.640000
