user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
68994f3c-3502-4057-8b80-58c756feb078,App Installed,system,2026-01-14 08:49:10.468000+05:30,2026-01-14,Wednesday,'08:49:10.468000
68994f3c-3502-4057-8b80-58c756feb078,Buslist_Live Chat Icon,application,2026-01-14 08:52:17.857000+05:30,2026-01-14,Wednesday,'08:52:17.857000
68994f3c-3502-4057-8b80-58c756feb078,Buslist_date change,application,2026-01-14 08:52:01.228000+05:30,2026-01-14,Wednesday,'08:52:01.228000
68994f3c-3502-4057-8b80-58c756feb078,Buslist_date change,application,2026-01-14 08:52:04.639000+05:30,2026-01-14,Wednesday,'08:52:04.639000
68994f3c-3502-4057-8b80-58c756feb078,Buslist_date change,application,2026-01-14 08:52:56.847000+05:30,2026-01-14,Wednesday,'08:52:56.847000
68994f3c-3502-4057-8b80-58c756feb078,Buslist_date change,application,2026-01-14 08:53:06.526000+05:30,2026-01-14,Wednesday,'08:53:06.526000
68994f3c-3502-4057-8b80-58c756feb078,DeviceInfo,application,2026-01-14 08:49:09.679000+05:30,2026-01-14,Wednesday,'08:49:09.679000
68994f3c-3502-4057-8b80-58c756feb078,Journey Ended,system,2026-01-14 08:49:31.125000+05:30,2026-01-14,Wednesday,'08:49:31.125000
68994f3c-3502-4057-8b80-58c756feb078,Journey Ended,system,2026-01-14 15:07:50.703000+05:30,2026-01-14,Wednesday,'15:07:50.703000
68994f3c-3502-4057-8b80-58c756feb078,Journey Started,system,2026-01-14 08:49:10.734000+05:30,2026-01-14,Wednesday,'08:49:10.734000
68994f3c-3502-4057-8b80-58c756feb078,Journey Started,system,2026-01-14 08:49:31.125000+05:30,2026-01-14,Wednesday,'08:49:31.125000
68994f3c-3502-4057-8b80-58c756feb078,Journey Started,system,2026-01-14 08:52:04.799000+05:30,2026-01-14,Wednesday,'08:52:04.799000
68994f3c-3502-4057-8b80-58c756feb078,Onboarding_Language,application,2026-01-14 08:49:19.635000+05:30,2026-01-14,Wednesday,'08:49:19.635000
68994f3c-3502-4057-8b80-58c756feb078,Onboarding_Profile Saved,application,2026-01-14 08:49:39.114000+05:30,2026-01-14,Wednesday,'08:49:39.114000
68994f3c-3502-4057-8b80-58c756feb078,Onboarding_get_otp,application,2026-01-14 08:49:30.738000+05:30,2026-01-14,Wednesday,'08:49:30.738000
68994f3c-3502-4057-8b80-58c756feb078,Onboarding_signup_,application,2026-01-14 08:49:32.114000+05:30,2026-01-14,Wednesday,'08:49:32.114000
