user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
69410ba3-5652-4aac-a60d-9318b6a939f9,App Installed,system,2026-01-17 09:02:19.440000+05:30,2026-01-17,Saturday,'09:02:19.440000
69410ba3-5652-4aac-a60d-9318b6a939f9,Buslist_date change,application,2026-01-17 14:10:12.045000+05:30,2026-01-17,Saturday,'14:10:12.045000
69410ba3-5652-4aac-a60d-9318b6a939f9,Buslist_date change,application,2026-01-17 14:10:19.750000+05:30,2026-01-17,Saturday,'14:10:19.750000
69410ba3-5652-4aac-a60d-9318b6a939f9,Buslist_date change,application,2026-01-19 02:51:22.462000+05:30,2026-01-19,Monday,'02:51:22.462000
69410ba3-5652-4aac-a60d-9318b6a939f9,DeviceInfo,application,2026-01-17 09:02:17.885000+05:30,2026-01-17,Saturday,'09:02:17.885000
69410ba3-5652-4aac-a60d-9318b6a939f9,Journey Ended,system,2026-01-17 14:08:13.289000+05:30,2026-01-17,Saturday,'14:08:13.289000
69410ba3-5652-4aac-a60d-9318b6a939f9,Journey Ended,system,2026-01-17 20:27:39.620000+05:30,2026-01-17,Saturday,'20:27:39.620000
69410ba3-5652-4aac-a60d-9318b6a939f9,Journey Started,system,2026-01-17 12:35:51.177000+05:30,2026-01-17,Saturday,'12:35:51.177000
69410ba3-5652-4aac-a60d-9318b6a939f9,Journey Started,system,2026-01-17 14:08:13.289000+05:30,2026-01-17,Saturday,'14:08:13.289000
69410ba3-5652-4aac-a60d-9318b6a939f9,Journey Started,system,2026-01-17 14:11:42.173000+05:30,2026-01-17,Saturday,'14:11:42.173000
69410ba3-5652-4aac-a60d-9318b6a939f9,Onboarding_Language,application,2026-01-17 14:08:13.101000+05:30,2026-01-17,Saturday,'14:08:13.101000
69410ba3-5652-4aac-a60d-9318b6a939f9,Onboarding_Profile Saved,application,2026-01-17 14:08:46.792000+05:30,2026-01-17,Saturday,'14:08:46.792000
69410ba3-5652-4aac-a60d-9318b6a939f9,Onboarding_get_otp,application,2026-01-17 14:08:29.135000+05:30,2026-01-17,Saturday,'14:08:29.135000
69410ba3-5652-4aac-a60d-9318b6a939f9,Onboarding_signup_,application,2026-01-17 14:08:36.240000+05:30,2026-01-17,Saturday,'14:08:36.240000
69410ba3-5652-4aac-a60d-9318b6a939f9,Push Failure,system,2026-01-17 14:27:11.487000+05:30,2026-01-17,Saturday,'14:27:11.487000
69410ba3-5652-4aac-a60d-9318b6a939f9,Push Subscribe Process - Device Registered (Push),system,2026-01-17 12:35:50.780000+05:30,2026-01-17,Saturday,'12:35:50.780000
69410ba3-5652-4aac-a60d-9318b6a939f9,Session Started,system,2026-01-17 09:02:18.100000+05:30,2026-01-17,Saturday,'09:02:18.100000
69410ba3-5652-4aac-a60d-9318b6a939f9,Session Started,system,2026-01-17 12:35:34.500000+05:30,2026-01-17,Saturday,'12:35:34.500000
69410ba3-5652-4aac-a60d-9318b6a939f9,Session Started,system,2026-01-17 14:08:05.986000+05:30,2026-01-17,Saturday,'14:08:05.986000
69410ba3-5652-4aac-a60d-9318b6a939f9,Session Started,system,2026-01-17 18:07:25.601000+05:30,2026-01-17,Saturday,'18:07:25.601000
69410ba3-5652-4aac-a60d-9318b6a939f9,Session Started,system,2026-01-19 02:49:01.697000+05:30,2026-01-19,Monday,'02:49:01.697000
69410ba3-5652-4aac-a60d-9318b6a939f9,User Login,system,2026-01-17 14:08:42.148000+05:30,2026-01-17,Saturday,'14:08:42.148000
69410ba3-5652-4aac-a60d-9318b6a939f9,_auth_generate-otp,application,2026-01-17 14:08:36.208000+05:30,2026-01-17,Saturday,'14:08:36.208000
69410ba3-5652-4aac-a60d-9318b6a939f9,_auth_verify-otp,application,2026-01-17 14:08:41.914000+05:30,2026-01-17,Saturday,'14:08:41.914000
69410ba3-5652-4aac-a60d-9318b6a939f9,_bus-search_list,application,2026-01-17 14:10:18.416000+05:30,2026-01-17,Saturday,'14:10:18.416000
69410ba3-5652-4aac-a60d-9318b6a939f9,_bus-search_user-bus-search,application,2026-01-17 14:10:12.574000+05:30,2026-01-17,Saturday,'14:10:12.574000
69410ba3-5652-4aac-a60d-9318b6a939f9,_bus-search_user-bus-search,application,2026-01-19 02:51:25.494000+05:30,2026-01-19,Monday,'02:51:25.494000
69410ba3-5652-4aac-a60d-9318b6a939f9,_history_recommended-journey,application,2026-01-17 14:08:58.147000+05:30,2026-01-17,Saturday,'14:08:58.147000
69410ba3-5652-4aac-a60d-9318b6a939f9,_history_recommended-journey,application,2026-01-19 02:49:05.959000+05:30,2026-01-19,Monday,'02:49:05.959000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:00.582000+05:30,2026-01-17,Saturday,'14:09:00.582000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:03.952000+05:30,2026-01-17,Saturday,'14:09:03.952000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:07.942000+05:30,2026-01-17,Saturday,'14:09:07.942000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:08.124000+05:30,2026-01-17,Saturday,'14:09:08.124000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:31.522000+05:30,2026-01-17,Saturday,'14:09:31.522000
69410ba3-5652-4aac-a60d-9318b6a939f9,_location_elastic-town-search,application,2026-01-17 14:09:35.697000+05:30,2026-01-17,Saturday,'14:09:35.697000
