user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,DeviceInfo,application,2026-01-12 19:13:18.519000+05:30,2026-01-12,Monday,'19:13:18.519000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Session Started,system,2026-01-12 19:13:18.918000+05:30,2026-01-12,Monday,'19:13:18.918000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,App Installed,system,2026-01-12 19:13:18.943000+05:30,2026-01-12,Monday,'19:13:18.943000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Journey Started,system,2026-01-12 19:13:19.353000+05:30,2026-01-12,Monday,'19:13:19.353000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,app_start,application,2026-01-12 19:13:20.373000+05:30,2026-01-12,Monday,'19:13:20.373000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Push Subscribe Process - Device Registered (Push),system,2026-01-12 19:13:20.505000+05:30,2026-01-12,Monday,'19:13:20.505000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,choose_language,application,2026-01-12 19:13:22.241000+05:30,2026-01-12,Monday,'19:13:22.241000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Onboarding_Language,application,2026-01-12 19:13:22.263000+05:30,2026-01-12,Monday,'19:13:22.263000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,generate_otp,application,2026-01-12 19:13:29.351000+05:30,2026-01-12,Monday,'19:13:29.351000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Onboarding_get_otp,application,2026-01-12 19:13:29.376000+05:30,2026-01-12,Monday,'19:13:29.376000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Journey Started,system,2026-01-12 19:13:30.036000+05:30,2026-01-12,Monday,'19:13:30.036000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Journey Ended,system,2026-01-12 19:13:30.037000+05:30,2026-01-12,Monday,'19:13:30.037000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,_auth_generate-otp,application,2026-01-12 19:13:31.106000+05:30,2026-01-12,Monday,'19:13:31.106000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,get_otp,application,2026-01-12 19:13:31.123000+05:30,2026-01-12,Monday,'19:13:31.123000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Onboarding_signup_,application,2026-01-12 19:13:31.155000+05:30,2026-01-12,Monday,'19:13:31.155000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,verify_otp,application,2026-01-12 19:13:33.526000+05:30,2026-01-12,Monday,'19:13:33.526000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,_auth_verify-otp,application,2026-01-12 19:13:33.787000+05:30,2026-01-12,Monday,'19:13:33.787000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,enter_otp,application,2026-01-12 19:13:33.799000+05:30,2026-01-12,Monday,'19:13:33.799000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,User Login,system,2026-01-12 19:13:33.814000+05:30,2026-01-12,Monday,'19:13:33.814000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,login,application,2026-01-12 19:13:34.231000+05:30,2026-01-12,Monday,'19:13:34.231000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,_user,application,2026-01-12 19:13:34.237000+05:30,2026-01-12,Monday,'19:13:34.237000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,_location_from-town,application,2026-01-12 19:13:34.574000+05:30,2026-01-12,Monday,'19:13:34.574000
6a44a5e8-0f30-42c5-917b-5c1a8b60b1c4,Onboarding_Profile Saved,application,2026-01-12 19:13:46.467000+05:30,2026-01-12,Monday,'19:13:46.467000
