user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,DeviceInfo,application,2026-01-17 13:19:19.127000+05:30,2026-01-17,Saturday,'13:19:19.127000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Session Started,system,2026-01-17 13:19:19.371000+05:30,2026-01-17,Saturday,'13:19:19.371000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,App Installed,system,2026-01-17 13:19:19.406000+05:30,2026-01-17,Saturday,'13:19:19.406000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,app_start,application,2026-01-17 13:19:19.956000+05:30,2026-01-17,Saturday,'13:19:19.956000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Started,system,2026-01-17 13:19:20.253000+05:30,2026-01-17,Saturday,'13:19:20.253000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Push Subscribe Process - Device Registered (Push),system,2026-01-17 13:19:21.019000+05:30,2026-01-17,Saturday,'13:19:21.019000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,choose_language,application,2026-01-17 13:19:28.652000+05:30,2026-01-17,Saturday,'13:19:28.652000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_Language,application,2026-01-17 13:19:28.668000+05:30,2026-01-17,Saturday,'13:19:28.668000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,choose_language,application,2026-01-17 13:19:30.307000+05:30,2026-01-17,Saturday,'13:19:30.307000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_Language,application,2026-01-17 13:19:30.334000+05:30,2026-01-17,Saturday,'13:19:30.334000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Ended,system,2026-01-17 13:19:31.277000+05:30,2026-01-17,Saturday,'13:19:31.277000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Started,system,2026-01-17 13:19:31.277000+05:30,2026-01-17,Saturday,'13:19:31.277000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Ended,system,2026-01-17 13:19:31.338000+05:30,2026-01-17,Saturday,'13:19:31.338000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Started,system,2026-01-17 13:19:31.338000+05:30,2026-01-17,Saturday,'13:19:31.338000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,choose_language,application,2026-01-17 13:19:32.515000+05:30,2026-01-17,Saturday,'13:19:32.515000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_Language,application,2026-01-17 13:19:32.546000+05:30,2026-01-17,Saturday,'13:19:32.546000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,generate_otp,application,2026-01-17 13:19:37.701000+05:30,2026-01-17,Saturday,'13:19:37.701000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_get_otp,application,2026-01-17 13:19:37.720000+05:30,2026-01-17,Saturday,'13:19:37.720000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Started,system,2026-01-17 13:19:38.549000+05:30,2026-01-17,Saturday,'13:19:38.549000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Journey Ended,system,2026-01-17 13:19:38.550000+05:30,2026-01-17,Saturday,'13:19:38.550000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,_auth_generate-otp,application,2026-01-17 13:19:38.813000+05:30,2026-01-17,Saturday,'13:19:38.813000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,get_otp,application,2026-01-17 13:19:38.831000+05:30,2026-01-17,Saturday,'13:19:38.831000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_signup_,application,2026-01-17 13:19:38.846000+05:30,2026-01-17,Saturday,'13:19:38.846000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,verify_otp,application,2026-01-17 13:19:41.154000+05:30,2026-01-17,Saturday,'13:19:41.154000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,_auth_verify-otp,application,2026-01-17 13:19:41.530000+05:30,2026-01-17,Saturday,'13:19:41.530000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,enter_otp,application,2026-01-17 13:19:41.574000+05:30,2026-01-17,Saturday,'13:19:41.574000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,User Login,system,2026-01-17 13:19:41.594000+05:30,2026-01-17,Saturday,'13:19:41.594000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,login,application,2026-01-17 13:19:41.907000+05:30,2026-01-17,Saturday,'13:19:41.907000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,_user,application,2026-01-17 13:19:41.923000+05:30,2026-01-17,Saturday,'13:19:41.923000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,_location_from-town,application,2026-01-17 13:19:42.431000+05:30,2026-01-17,Saturday,'13:19:42.431000
6ad80e5d-8844-46b7-9bb0-e6a9a8df28ad,Onboarding_Profile Saved,application,2026-01-17 13:19:43.078000+05:30,2026-01-17,Saturday,'13:19:43.078000
