user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
704679e4-cce5-4bdd-bb29-79bce5afb43e,DeviceInfo,application,2026-01-05 07:21:19.758000+05:30,2026-01-05,Monday,'07:21:19.758000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Session Started,system,2026-01-05 07:21:19.879000+05:30,2026-01-05,Monday,'07:21:19.879000
704679e4-cce5-4bdd-bb29-79bce5afb43e,App Installed,system,2026-01-05 07:21:19.897000+05:30,2026-01-05,Monday,'07:21:19.897000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Journey Started,system,2026-01-05 07:21:20.127000+05:30,2026-01-05,Monday,'07:21:20.127000
704679e4-cce5-4bdd-bb29-79bce5afb43e,app_start,application,2026-01-05 07:21:20.509000+05:30,2026-01-05,Monday,'07:21:20.509000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Push Subscribe Process - Device Registered (Push),system,2026-01-05 07:21:22.248000+05:30,2026-01-05,Monday,'07:21:22.248000
704679e4-cce5-4bdd-bb29-79bce5afb43e,choose_language,application,2026-01-05 07:21:23.015000+05:30,2026-01-05,Monday,'07:21:23.015000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Onboarding_Language,application,2026-01-05 07:21:23.018000+05:30,2026-01-05,Monday,'07:21:23.018000
704679e4-cce5-4bdd-bb29-79bce5afb43e,generate_otp,application,2026-01-05 07:21:32.432000+05:30,2026-01-05,Monday,'07:21:32.432000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Onboarding_get_otp,application,2026-01-05 07:21:32.439000+05:30,2026-01-05,Monday,'07:21:32.439000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Journey Ended,system,2026-01-05 07:21:32.690000+05:30,2026-01-05,Monday,'07:21:32.690000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Journey Started,system,2026-01-05 07:21:32.690000+05:30,2026-01-05,Monday,'07:21:32.690000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_auth_generate-otp,application,2026-01-05 07:21:33.020000+05:30,2026-01-05,Monday,'07:21:33.020000
704679e4-cce5-4bdd-bb29-79bce5afb43e,get_otp,application,2026-01-05 07:21:33.032000+05:30,2026-01-05,Monday,'07:21:33.032000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Onboarding_signup_,application,2026-01-05 07:21:33.038000+05:30,2026-01-05,Monday,'07:21:33.038000
704679e4-cce5-4bdd-bb29-79bce5afb43e,verify_otp,application,2026-01-05 07:21:34.825000+05:30,2026-01-05,Monday,'07:21:34.825000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_auth_verify-otp,application,2026-01-05 07:21:34.967000+05:30,2026-01-05,Monday,'07:21:34.967000
704679e4-cce5-4bdd-bb29-79bce5afb43e,enter_otp,application,2026-01-05 07:21:34.972000+05:30,2026-01-05,Monday,'07:21:34.972000
704679e4-cce5-4bdd-bb29-79bce5afb43e,User Login,system,2026-01-05 07:21:34.982000+05:30,2026-01-05,Monday,'07:21:34.982000
704679e4-cce5-4bdd-bb29-79bce5afb43e,login,application,2026-01-05 07:21:35.081000+05:30,2026-01-05,Monday,'07:21:35.081000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_user,application,2026-01-05 07:21:35.093000+05:30,2026-01-05,Monday,'07:21:35.093000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_location_from-town,application,2026-01-05 07:21:35.466000+05:30,2026-01-05,Monday,'07:21:35.466000
704679e4-cce5-4bdd-bb29-79bce5afb43e,Onboarding_Profile Saved,application,2026-01-05 07:21:36.422000+05:30,2026-01-05,Monday,'07:21:36.422000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_user,application,2026-01-05 07:21:48.355000+05:30,2026-01-05,Monday,'07:21:48.355000
704679e4-cce5-4bdd-bb29-79bce5afb43e,_history_recommended-journey,application,2026-01-05 07:21:50.128000+05:30,2026-01-05,Monday,'07:21:50.128000
