user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
712a3825-a3a8-4a87-a740-e1cec76b6cac,DeviceInfo,application,2026-01-08 11:05:57.541000+05:30,2026-01-08,Thursday,'11:05:57.541000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Session Started,system,2026-01-08 11:06:01.452000+05:30,2026-01-08,Thursday,'11:06:01.452000
712a3825-a3a8-4a87-a740-e1cec76b6cac,App Installed,system,2026-01-08 11:06:02.134000+05:30,2026-01-08,Thursday,'11:06:02.134000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Push Subscribe Process - Device Registered (Push),system,2026-01-08 11:06:02.601000+05:30,2026-01-08,Thursday,'11:06:02.601000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:03.896000+05:30,2026-01-08,Thursday,'11:06:03.896000
712a3825-a3a8-4a87-a740-e1cec76b6cac,app_start,application,2026-01-08 11:06:05.441000+05:30,2026-01-08,Thursday,'11:06:05.441000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:09.880000+05:30,2026-01-08,Thursday,'11:06:09.880000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:09.959000+05:30,2026-01-08,Thursday,'11:06:09.959000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:10.235000+05:30,2026-01-08,Thursday,'11:06:10.235000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:10.344000+05:30,2026-01-08,Thursday,'11:06:10.344000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:11.998000+05:30,2026-01-08,Thursday,'11:06:11.998000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:11.998000+05:30,2026-01-08,Thursday,'11:06:11.998000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:12+05:30,2026-01-08,Thursday,'11:06:12.000000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:23.369000+05:30,2026-01-08,Thursday,'11:06:23.369000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:23.392000+05:30,2026-01-08,Thursday,'11:06:23.392000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:23.611000+05:30,2026-01-08,Thursday,'11:06:23.611000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:23.686000+05:30,2026-01-08,Thursday,'11:06:23.686000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:23.845000+05:30,2026-01-08,Thursday,'11:06:23.845000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:23.885000+05:30,2026-01-08,Thursday,'11:06:23.885000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:23.927000+05:30,2026-01-08,Thursday,'11:06:23.927000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:23.956000+05:30,2026-01-08,Thursday,'11:06:23.956000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.050000+05:30,2026-01-08,Thursday,'11:06:24.050000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.082000+05:30,2026-01-08,Thursday,'11:06:24.082000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.097000+05:30,2026-01-08,Thursday,'11:06:24.097000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.127000+05:30,2026-01-08,Thursday,'11:06:24.127000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.165000+05:30,2026-01-08,Thursday,'11:06:24.165000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.194000+05:30,2026-01-08,Thursday,'11:06:24.194000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.212000+05:30,2026-01-08,Thursday,'11:06:24.212000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.225000+05:30,2026-01-08,Thursday,'11:06:24.225000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.280000+05:30,2026-01-08,Thursday,'11:06:24.280000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.308000+05:30,2026-01-08,Thursday,'11:06:24.308000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.394000+05:30,2026-01-08,Thursday,'11:06:24.394000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.417000+05:30,2026-01-08,Thursday,'11:06:24.417000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.537000+05:30,2026-01-08,Thursday,'11:06:24.537000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.569000+05:30,2026-01-08,Thursday,'11:06:24.569000
712a3825-a3a8-4a87-a740-e1cec76b6cac,choose_language,application,2026-01-08 11:06:24.587000+05:30,2026-01-08,Thursday,'11:06:24.587000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_Language,application,2026-01-08 11:06:24.643000+05:30,2026-01-08,Thursday,'11:06:24.643000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.387000+05:30,2026-01-08,Thursday,'11:06:25.387000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.387000+05:30,2026-01-08,Thursday,'11:06:25.387000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.391000+05:30,2026-01-08,Thursday,'11:06:25.391000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.391000+05:30,2026-01-08,Thursday,'11:06:25.391000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.503000+05:30,2026-01-08,Thursday,'11:06:25.503000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.504000+05:30,2026-01-08,Thursday,'11:06:25.504000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.509000+05:30,2026-01-08,Thursday,'11:06:25.509000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.589000+05:30,2026-01-08,Thursday,'11:06:25.589000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.597000+05:30,2026-01-08,Thursday,'11:06:25.597000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.597000+05:30,2026-01-08,Thursday,'11:06:25.597000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.745000+05:30,2026-01-08,Thursday,'11:06:25.745000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:25.746000+05:30,2026-01-08,Thursday,'11:06:25.746000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:25.750000+05:30,2026-01-08,Thursday,'11:06:25.750000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:26.834000+05:30,2026-01-08,Thursday,'11:06:26.834000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:26.834000+05:30,2026-01-08,Thursday,'11:06:26.834000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:26.851000+05:30,2026-01-08,Thursday,'11:06:26.851000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Started,system,2026-01-08 11:06:26.857000+05:30,2026-01-08,Thursday,'11:06:26.857000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Journey Ended,system,2026-01-08 11:06:26.858000+05:30,2026-01-08,Thursday,'11:06:26.858000
712a3825-a3a8-4a87-a740-e1cec76b6cac,generate_otp,application,2026-01-08 11:06:41.208000+05:30,2026-01-08,Thursday,'11:06:41.208000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_get_otp,application,2026-01-08 11:06:41.246000+05:30,2026-01-08,Thursday,'11:06:41.246000
712a3825-a3a8-4a87-a740-e1cec76b6cac,_auth_generate-otp,application,2026-01-08 11:06:42.355000+05:30,2026-01-08,Thursday,'11:06:42.355000
712a3825-a3a8-4a87-a740-e1cec76b6cac,get_otp,application,2026-01-08 11:06:42.374000+05:30,2026-01-08,Thursday,'11:06:42.374000
712a3825-a3a8-4a87-a740-e1cec76b6cac,Onboarding_signup_,application,2026-01-08 11:06:42.408000+05:30,2026-01-08,Thursday,'11:06:42.408000
