user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,App Installed,system,2026-01-02 07:46:28.167000+05:30,2026-01-02,Friday,'07:46:28.167000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_Live Chat Icon,application,2026-01-02 07:50:23.724000+05:30,2026-01-02,Friday,'07:50:23.724000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_bus_selection,application,2026-01-02 07:48:13.458000+05:30,2026-01-02,Friday,'07:48:13.458000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:48:00.974000+05:30,2026-01-02,Friday,'07:48:00.974000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:48:04.286000+05:30,2026-01-02,Friday,'07:48:04.286000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:49:39.454000+05:30,2026-01-02,Friday,'07:49:39.454000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:49:42.580000+05:30,2026-01-02,Friday,'07:49:42.580000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:50:19.900000+05:30,2026-01-02,Friday,'07:50:19.900000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Buslist_date change,application,2026-01-02 07:50:22.330000+05:30,2026-01-02,Friday,'07:50:22.330000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,DeviceInfo,application,2026-01-02 07:46:27.806000+05:30,2026-01-02,Friday,'07:46:27.806000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Ended,system,2026-01-02 07:46:40.489000+05:30,2026-01-02,Friday,'07:46:40.489000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Ended,system,2026-01-02 07:48:13.687000+05:30,2026-01-02,Friday,'07:48:13.687000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Ended,system,2026-01-02 07:48:52.393000+05:30,2026-01-02,Friday,'07:48:52.393000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Ended,system,2026-01-02 14:05:59.051000+05:30,2026-01-02,Friday,'14:05:59.051000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Started,system,2026-01-02 07:46:28.289000+05:30,2026-01-02,Friday,'07:46:28.289000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Started,system,2026-01-02 07:46:40.489000+05:30,2026-01-02,Friday,'07:46:40.489000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Started,system,2026-01-02 07:48:13.359000+05:30,2026-01-02,Friday,'07:48:13.359000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Started,system,2026-01-02 07:48:13.690000+05:30,2026-01-02,Friday,'07:48:13.690000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Journey Started,system,2026-01-02 07:49:58.596000+05:30,2026-01-02,Friday,'07:49:58.596000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Onboarding_Language,application,2026-01-02 07:46:31.519000+05:30,2026-01-02,Friday,'07:46:31.519000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Onboarding_get_otp,application,2026-01-02 07:46:40.215000+05:30,2026-01-02,Friday,'07:46:40.215000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Onboarding_signup_,application,2026-01-02 07:46:41.430000+05:30,2026-01-02,Friday,'07:46:41.430000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-02 08:05:30.048000+05:30,2026-01-02,Friday,'08:05:30.048000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-03 07:46:57.860000+05:30,2026-01-03,Saturday,'07:46:57.860000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-04 07:47:09.400000+05:30,2026-01-04,Sunday,'07:47:09.400000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-05 07:47:21.775000+05:30,2026-01-05,Monday,'07:47:21.775000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-06 07:47:52.433000+05:30,2026-01-06,Tuesday,'07:47:52.433000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-07 07:48:21.180000+05:30,2026-01-07,Wednesday,'07:48:21.180000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-09 07:48:25.800000+05:30,2026-01-09,Friday,'07:48:25.800000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-11 07:48:43.306000+05:30,2026-01-11,Sunday,'07:48:43.306000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-13 07:49:12.763000+05:30,2026-01-13,Tuesday,'07:49:12.763000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-15 07:49:18.341000+05:30,2026-01-15,Thursday,'07:49:18.341000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Failure,system,2026-01-17 07:49:37.350000+05:30,2026-01-17,Saturday,'07:49:37.350000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Push Subscribe Process - Device Registered (Push),system,2026-01-02 07:46:29.745000+05:30,2026-01-02,Friday,'07:46:29.745000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,SeatSelection_Click On Back,application,2026-01-02 07:48:13.470000+05:30,2026-01-02,Friday,'07:48:13.470000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,Session Started,system,2026-01-02 07:46:28.139000+05:30,2026-01-02,Friday,'07:46:28.139000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,User Login,system,2026-01-02 07:46:45.742000+05:30,2026-01-02,Friday,'07:46:45.742000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_auth_generate-otp,application,2026-01-02 07:46:41.403000+05:30,2026-01-02,Friday,'07:46:41.403000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_auth_verify-otp,application,2026-01-02 07:46:45.709000+05:30,2026-01-02,Friday,'07:46:45.709000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_list,application,2026-01-02 07:48:03.411000+05:30,2026-01-02,Friday,'07:48:03.411000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_list,application,2026-01-02 07:49:42.267000+05:30,2026-01-02,Friday,'07:49:42.267000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_list,application,2026-01-02 07:50:22.164000+05:30,2026-01-02,Friday,'07:50:22.164000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_user-bus-search,application,2026-01-02 07:48:01.503000+05:30,2026-01-02,Friday,'07:48:01.503000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_user-bus-search,application,2026-01-02 07:49:39.793000+05:30,2026-01-02,Friday,'07:49:39.793000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_user-bus-search,application,2026-01-02 07:50:20.681000+05:30,2026-01-02,Friday,'07:50:20.681000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_bus-search_v2_layout,application,2026-01-02 07:48:19.120000+05:30,2026-01-02,Friday,'07:48:19.120000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_history_recommended-journey,application,2026-01-02 07:46:48.613000+05:30,2026-01-02,Friday,'07:46:48.613000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_location_elastic-town-search,application,2026-01-02 07:46:56.664000+05:30,2026-01-02,Friday,'07:46:56.664000
72eb1a9f-73a3-4ab6-b441-526d63b73cb3,_location_elastic-town-search,application,2026-01-02 07:47:01.256000+05:30,2026-01-02,Friday,'07:47:01.256000
