user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7331e5db-df8c-478d-88a7-0325a85f0869,DeviceInfo,application,2026-01-10 20:05:41.417000+05:30,2026-01-10,Saturday,'20:05:41.417000
7331e5db-df8c-478d-88a7-0325a85f0869,Session Started,system,2026-01-10 20:05:42.027000+05:30,2026-01-10,Saturday,'20:05:42.027000
7331e5db-df8c-478d-88a7-0325a85f0869,App Installed,system,2026-01-10 20:05:42.065000+05:30,2026-01-10,Saturday,'20:05:42.065000
7331e5db-df8c-478d-88a7-0325a85f0869,app_start,application,2026-01-10 20:05:42.698000+05:30,2026-01-10,Saturday,'20:05:42.698000
7331e5db-df8c-478d-88a7-0325a85f0869,Journey Started,system,2026-01-10 20:05:42.755000+05:30,2026-01-10,Saturday,'20:05:42.755000
7331e5db-df8c-478d-88a7-0325a85f0869,Push Subscribe Process - Device Registered (Push),system,2026-01-10 20:05:43.820000+05:30,2026-01-10,Saturday,'20:05:43.820000
7331e5db-df8c-478d-88a7-0325a85f0869,choose_language,application,2026-01-10 20:05:46.655000+05:30,2026-01-10,Saturday,'20:05:46.655000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_Language,application,2026-01-10 20:05:46.667000+05:30,2026-01-10,Saturday,'20:05:46.667000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_T&C unchecked,application,2026-01-10 20:05:55.344000+05:30,2026-01-10,Saturday,'20:05:55.344000
7331e5db-df8c-478d-88a7-0325a85f0869,Journey Started,system,2026-01-10 20:05:56.147000+05:30,2026-01-10,Saturday,'20:05:56.147000
7331e5db-df8c-478d-88a7-0325a85f0869,Journey Ended,system,2026-01-10 20:05:56.147000+05:30,2026-01-10,Saturday,'20:05:56.147000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_Whtsapp unchecked,application,2026-01-10 20:06:01.143000+05:30,2026-01-10,Saturday,'20:06:01.143000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_T&C agree,application,2026-01-10 20:06:08.775000+05:30,2026-01-10,Saturday,'20:06:08.775000
7331e5db-df8c-478d-88a7-0325a85f0869,generate_otp,application,2026-01-10 20:06:09.562000+05:30,2026-01-10,Saturday,'20:06:09.562000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_get_otp,application,2026-01-10 20:06:09.590000+05:30,2026-01-10,Saturday,'20:06:09.590000
7331e5db-df8c-478d-88a7-0325a85f0869,_auth_generate-otp,application,2026-01-10 20:06:10.430000+05:30,2026-01-10,Saturday,'20:06:10.430000
7331e5db-df8c-478d-88a7-0325a85f0869,get_otp,application,2026-01-10 20:06:10.450000+05:30,2026-01-10,Saturday,'20:06:10.450000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_signup_,application,2026-01-10 20:06:10.490000+05:30,2026-01-10,Saturday,'20:06:10.490000
7331e5db-df8c-478d-88a7-0325a85f0869,verify_otp,application,2026-01-10 20:06:13.107000+05:30,2026-01-10,Saturday,'20:06:13.107000
7331e5db-df8c-478d-88a7-0325a85f0869,_auth_verify-otp,application,2026-01-10 20:06:13.357000+05:30,2026-01-10,Saturday,'20:06:13.357000
7331e5db-df8c-478d-88a7-0325a85f0869,enter_otp,application,2026-01-10 20:06:13.374000+05:30,2026-01-10,Saturday,'20:06:13.374000
7331e5db-df8c-478d-88a7-0325a85f0869,User Login,system,2026-01-10 20:06:13.406000+05:30,2026-01-10,Saturday,'20:06:13.406000
7331e5db-df8c-478d-88a7-0325a85f0869,login,application,2026-01-10 20:06:13.729000+05:30,2026-01-10,Saturday,'20:06:13.729000
7331e5db-df8c-478d-88a7-0325a85f0869,_user,application,2026-01-10 20:06:13.736000+05:30,2026-01-10,Saturday,'20:06:13.736000
7331e5db-df8c-478d-88a7-0325a85f0869,_location_from-town,application,2026-01-10 20:06:14.044000+05:30,2026-01-10,Saturday,'20:06:14.044000
7331e5db-df8c-478d-88a7-0325a85f0869,Onboarding_Profile Saved,application,2026-01-10 20:06:14.806000+05:30,2026-01-10,Saturday,'20:06:14.806000
7331e5db-df8c-478d-88a7-0325a85f0869,_user,application,2026-01-10 20:06:29.909000+05:30,2026-01-10,Saturday,'20:06:29.909000
