user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
77d78ab2-6f39-42d9-8433-82d504c540e4,App Installed,system,2026-01-02 11:19:00.779000+05:30,2026-01-02,Friday,'11:19:00.779000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-02 11:20:43.952000+05:30,2026-01-02,Friday,'11:20:43.952000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-02 11:20:50.696000+05:30,2026-01-02,Friday,'11:20:50.696000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-02 11:21:44.054000+05:30,2026-01-02,Friday,'11:21:44.054000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-02 11:21:48.787000+05:30,2026-01-02,Friday,'11:21:48.787000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-04 05:59:29.794000+05:30,2026-01-04,Sunday,'05:59:29.794000
77d78ab2-6f39-42d9-8433-82d504c540e4,Buslist_date change,application,2026-01-04 05:59:59.984000+05:30,2026-01-04,Sunday,'05:59:59.984000
77d78ab2-6f39-42d9-8433-82d504c540e4,DeviceInfo,application,2026-01-02 11:19:00.474000+05:30,2026-01-02,Friday,'11:19:00.474000
77d78ab2-6f39-42d9-8433-82d504c540e4,Journey Ended,system,2026-01-02 11:19:27.005000+05:30,2026-01-02,Friday,'11:19:27.005000
77d78ab2-6f39-42d9-8433-82d504c540e4,Journey Ended,system,2026-01-02 17:36:38.334000+05:30,2026-01-02,Friday,'17:36:38.334000
77d78ab2-6f39-42d9-8433-82d504c540e4,Journey Started,system,2026-01-02 11:19:01.982000+05:30,2026-01-02,Friday,'11:19:01.982000
77d78ab2-6f39-42d9-8433-82d504c540e4,Journey Started,system,2026-01-02 11:19:27.005000+05:30,2026-01-02,Friday,'11:19:27.005000
77d78ab2-6f39-42d9-8433-82d504c540e4,Journey Started,system,2026-01-02 11:20:52.277000+05:30,2026-01-02,Friday,'11:20:52.277000
77d78ab2-6f39-42d9-8433-82d504c540e4,Onboarding_Language,application,2026-01-02 11:19:17.252000+05:30,2026-01-02,Friday,'11:19:17.252000
77d78ab2-6f39-42d9-8433-82d504c540e4,Onboarding_Profile Saved,application,2026-01-02 11:19:29.288000+05:30,2026-01-02,Friday,'11:19:29.288000
