user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7892125f-1f7f-4b42-94c5-bee1c48718f0,DeviceInfo,application,2026-01-01 23:25:20.360000+05:30,2026-01-01,Thursday,'23:25:20.360000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Session Started,system,2026-01-01 23:25:21.083000+05:30,2026-01-01,Thursday,'23:25:21.083000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Push Subscribe Process - Device Registered (Push),system,2026-01-01 23:25:21.229000+05:30,2026-01-01,Thursday,'23:25:21.229000
7892125f-1f7f-4b42-94c5-bee1c48718f0,App Installed,system,2026-01-01 23:25:21.260000+05:30,2026-01-01,Thursday,'23:25:21.260000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Journey Started,system,2026-01-01 23:25:21.518000+05:30,2026-01-01,Thursday,'23:25:21.518000
7892125f-1f7f-4b42-94c5-bee1c48718f0,app_start,application,2026-01-01 23:25:22.383000+05:30,2026-01-01,Thursday,'23:25:22.383000
7892125f-1f7f-4b42-94c5-bee1c48718f0,choose_language,application,2026-01-01 23:25:25.320000+05:30,2026-01-01,Thursday,'23:25:25.320000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Onboarding_Language,application,2026-01-01 23:25:25.375000+05:30,2026-01-01,Thursday,'23:25:25.375000
7892125f-1f7f-4b42-94c5-bee1c48718f0,generate_otp,application,2026-01-01 23:25:39.676000+05:30,2026-01-01,Thursday,'23:25:39.676000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Onboarding_get_otp,application,2026-01-01 23:25:39.728000+05:30,2026-01-01,Thursday,'23:25:39.728000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Journey Ended,system,2026-01-01 23:25:40.081000+05:30,2026-01-01,Thursday,'23:25:40.081000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Journey Started,system,2026-01-01 23:25:40.081000+05:30,2026-01-01,Thursday,'23:25:40.081000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_auth_generate-otp,application,2026-01-01 23:25:40.664000+05:30,2026-01-01,Thursday,'23:25:40.664000
7892125f-1f7f-4b42-94c5-bee1c48718f0,get_otp,application,2026-01-01 23:25:40.677000+05:30,2026-01-01,Thursday,'23:25:40.677000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Onboarding_signup_,application,2026-01-01 23:25:40.770000+05:30,2026-01-01,Thursday,'23:25:40.770000
7892125f-1f7f-4b42-94c5-bee1c48718f0,verify_otp,application,2026-01-01 23:25:49.139000+05:30,2026-01-01,Thursday,'23:25:49.139000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_auth_verify-otp,application,2026-01-01 23:25:49.538000+05:30,2026-01-01,Thursday,'23:25:49.538000
7892125f-1f7f-4b42-94c5-bee1c48718f0,enter_otp,application,2026-01-01 23:25:49.610000+05:30,2026-01-01,Thursday,'23:25:49.610000
7892125f-1f7f-4b42-94c5-bee1c48718f0,User Login,system,2026-01-01 23:25:49.859000+05:30,2026-01-01,Thursday,'23:25:49.859000
7892125f-1f7f-4b42-94c5-bee1c48718f0,login,application,2026-01-01 23:25:50.189000+05:30,2026-01-01,Thursday,'23:25:50.189000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user,application,2026-01-01 23:25:50.256000+05:30,2026-01-01,Thursday,'23:25:50.256000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_from-town,application,2026-01-01 23:25:51.006000+05:30,2026-01-01,Thursday,'23:25:51.006000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Onboarding_Profile Saved,application,2026-01-01 23:25:51.918000+05:30,2026-01-01,Thursday,'23:25:51.918000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user,application,2026-01-01 23:26:20.918000+05:30,2026-01-01,Thursday,'23:26:20.918000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_history_recommended-journey,application,2026-01-01 23:26:24.166000+05:30,2026-01-01,Thursday,'23:26:24.166000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user_device,application,2026-01-01 23:26:24.202000+05:30,2026-01-01,Thursday,'23:26:24.202000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_from-town,application,2026-01-01 23:26:24.228000+05:30,2026-01-01,Thursday,'23:26:24.228000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user,application,2026-01-01 23:26:24.663000+05:30,2026-01-01,Thursday,'23:26:24.663000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:26:24.740000+05:30,2026-01-01,Thursday,'23:26:24.740000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_ticket,application,2026-01-01 23:26:24.766000+05:30,2026-01-01,Thursday,'23:26:24.766000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:26:33.489000+05:30,2026-01-01,Thursday,'23:26:33.489000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:26:33.809000+05:30,2026-01-01,Thursday,'23:26:33.809000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:27:15.390000+05:30,2026-01-01,Thursday,'23:27:15.390000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:27:19.800000+05:30,2026-01-01,Thursday,'23:27:19.800000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:27:35.536000+05:30,2026-01-01,Thursday,'23:27:35.536000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:27:35.665000+05:30,2026-01-01,Thursday,'23:27:35.665000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:27:57.733000+05:30,2026-01-01,Thursday,'23:27:57.733000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:27:58.061000+05:30,2026-01-01,Thursday,'23:27:58.061000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:28:34.123000+05:30,2026-01-01,Thursday,'23:28:34.123000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:28:34.361000+05:30,2026-01-01,Thursday,'23:28:34.361000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Session Started,system,2026-01-01 23:29:06.885000+05:30,2026-01-01,Thursday,'23:29:06.885000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_history_recommended-journey,application,2026-01-01 23:29:11.184000+05:30,2026-01-01,Thursday,'23:29:11.184000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user,application,2026-01-01 23:29:11.211000+05:30,2026-01-01,Thursday,'23:29:11.211000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_from-town,application,2026-01-01 23:29:11.755000+05:30,2026-01-01,Thursday,'23:29:11.755000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_user,application,2026-01-01 23:29:11.801000+05:30,2026-01-01,Thursday,'23:29:11.801000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_ticket,application,2026-01-01 23:29:12.119000+05:30,2026-01-01,Thursday,'23:29:12.119000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:29:12.166000+05:30,2026-01-01,Thursday,'23:29:12.166000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:29:26.746000+05:30,2026-01-01,Thursday,'23:29:26.746000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:30:04.565000+05:30,2026-01-01,Thursday,'23:30:04.565000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:30:04.706000+05:30,2026-01-01,Thursday,'23:30:04.706000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:30:47.133000+05:30,2026-01-01,Thursday,'23:30:47.133000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:30:52.447000+05:30,2026-01-01,Thursday,'23:30:52.447000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_special-town-search,application,2026-01-01 23:31:02.124000+05:30,2026-01-01,Thursday,'23:31:02.124000
7892125f-1f7f-4b42-94c5-bee1c48718f0,_location_elastic-town-search,application,2026-01-01 23:31:02.248000+05:30,2026-01-01,Thursday,'23:31:02.248000
7892125f-1f7f-4b42-94c5-bee1c48718f0,Push Failure,system,2026-01-02 23:25:30.152000+05:30,2026-01-02,Friday,'23:25:30.152000
