user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
79d80e99-a402-4a70-b3d3-2913dccc13b1,DeviceInfo,application,2026-01-07 12:05:50.896000+05:30,2026-01-07,Wednesday,'12:05:50.896000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Session Started,system,2026-01-07 12:05:51.247000+05:30,2026-01-07,Wednesday,'12:05:51.247000
79d80e99-a402-4a70-b3d3-2913dccc13b1,App Installed,system,2026-01-07 12:05:51.266000+05:30,2026-01-07,Wednesday,'12:05:51.266000
79d80e99-a402-4a70-b3d3-2913dccc13b1,app_start,application,2026-01-07 12:05:51.981000+05:30,2026-01-07,Wednesday,'12:05:51.981000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Journey Started,system,2026-01-07 12:05:52.306000+05:30,2026-01-07,Wednesday,'12:05:52.306000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Push Subscribe Process - Device Registered (Push),system,2026-01-07 12:05:52.877000+05:30,2026-01-07,Wednesday,'12:05:52.877000
79d80e99-a402-4a70-b3d3-2913dccc13b1,choose_language,application,2026-01-07 12:05:54.739000+05:30,2026-01-07,Wednesday,'12:05:54.739000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Onboarding_Language,application,2026-01-07 12:05:54.747000+05:30,2026-01-07,Wednesday,'12:05:54.747000
79d80e99-a402-4a70-b3d3-2913dccc13b1,generate_otp,application,2026-01-07 12:06:05.166000+05:30,2026-01-07,Wednesday,'12:06:05.166000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Onboarding_get_otp,application,2026-01-07 12:06:05.184000+05:30,2026-01-07,Wednesday,'12:06:05.184000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Journey Ended,system,2026-01-07 12:06:06.381000+05:30,2026-01-07,Wednesday,'12:06:06.381000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Journey Started,system,2026-01-07 12:06:06.381000+05:30,2026-01-07,Wednesday,'12:06:06.381000
79d80e99-a402-4a70-b3d3-2913dccc13b1,_auth_generate-otp,application,2026-01-07 12:06:07.102000+05:30,2026-01-07,Wednesday,'12:06:07.102000
79d80e99-a402-4a70-b3d3-2913dccc13b1,get_otp,application,2026-01-07 12:06:07.116000+05:30,2026-01-07,Wednesday,'12:06:07.116000
79d80e99-a402-4a70-b3d3-2913dccc13b1,Onboarding_signup_,application,2026-01-07 12:06:07.134000+05:30,2026-01-07,Wednesday,'12:06:07.134000
79d80e99-a402-4a70-b3d3-2913dccc13b1,verify_otp,application,2026-01-07 12:06:13.487000+05:30,2026-01-07,Wednesday,'12:06:13.487000
79d80e99-a402-4a70-b3d3-2913dccc13b1,_auth_verify-otp,application,2026-01-07 12:06:13.728000+05:30,2026-01-07,Wednesday,'12:06:13.728000
79d80e99-a402-4a70-b3d3-2913dccc13b1,enter_otp,application,2026-01-07 12:06:13.743000+05:30,2026-01-07,Wednesday,'12:06:13.743000
79d80e99-a402-4a70-b3d3-2913dccc13b1,User Login,system,2026-01-07 12:06:13.760000+05:30,2026-01-07,Wednesday,'12:06:13.760000
79d80e99-a402-4a70-b3d3-2913dccc13b1,login,application,2026-01-07 12:06:14.068000+05:30,2026-01-07,Wednesday,'12:06:14.068000
79d80e99-a402-4a70-b3d3-2913dccc13b1,_user,application,2026-01-07 12:06:14.076000+05:30,2026-01-07,Wednesday,'12:06:14.076000
79d80e99-a402-4a70-b3d3-2913dccc13b1,_location_from-town,application,2026-01-07 12:06:14.420000+05:30,2026-01-07,Wednesday,'12:06:14.420000
