user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,DeviceInfo,application,2026-01-07 22:53:43.609000+05:30,2026-01-07,Wednesday,'22:53:43.609000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Session Started,system,2026-01-07 22:53:47.466000+05:30,2026-01-07,Wednesday,'22:53:47.466000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,App Installed,system,2026-01-07 22:53:47.498000+05:30,2026-01-07,Wednesday,'22:53:47.498000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Journey Started,system,2026-01-07 22:53:47.864000+05:30,2026-01-07,Wednesday,'22:53:47.864000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Push Subscribe Process - Device Registered (Push),system,2026-01-07 22:53:48.079000+05:30,2026-01-07,Wednesday,'22:53:48.079000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,app_start,application,2026-01-07 22:53:49.868000+05:30,2026-01-07,Wednesday,'22:53:49.868000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,choose_language,application,2026-01-07 22:53:52.506000+05:30,2026-01-07,Wednesday,'22:53:52.506000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Onboarding_Language,application,2026-01-07 22:53:52.528000+05:30,2026-01-07,Wednesday,'22:53:52.528000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,generate_otp,application,2026-01-07 22:54:00.899000+05:30,2026-01-07,Wednesday,'22:54:00.899000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Onboarding_get_otp,application,2026-01-07 22:54:00.927000+05:30,2026-01-07,Wednesday,'22:54:00.927000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Journey Ended,system,2026-01-07 22:54:01.809000+05:30,2026-01-07,Wednesday,'22:54:01.809000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Journey Started,system,2026-01-07 22:54:01.809000+05:30,2026-01-07,Wednesday,'22:54:01.809000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,_auth_generate-otp,application,2026-01-07 22:54:03.251000+05:30,2026-01-07,Wednesday,'22:54:03.251000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,get_otp,application,2026-01-07 22:54:03.263000+05:30,2026-01-07,Wednesday,'22:54:03.263000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Onboarding_signup_,application,2026-01-07 22:54:03.312000+05:30,2026-01-07,Wednesday,'22:54:03.312000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,verify_otp,application,2026-01-07 22:54:08.505000+05:30,2026-01-07,Wednesday,'22:54:08.505000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,_auth_verify-otp,application,2026-01-07 22:54:08.833000+05:30,2026-01-07,Wednesday,'22:54:08.833000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,enter_otp,application,2026-01-07 22:54:08.863000+05:30,2026-01-07,Wednesday,'22:54:08.863000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,User Login,system,2026-01-07 22:54:08.872000+05:30,2026-01-07,Wednesday,'22:54:08.872000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,login,application,2026-01-07 22:54:09.784000+05:30,2026-01-07,Wednesday,'22:54:09.784000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,_user,application,2026-01-07 22:54:09.814000+05:30,2026-01-07,Wednesday,'22:54:09.814000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,_location_from-town,application,2026-01-07 22:54:10.577000+05:30,2026-01-07,Wednesday,'22:54:10.577000
7a36f33f-fd5c-4fa5-b91e-df468a2c6d9b,Onboarding_Profile Saved,application,2026-01-07 22:54:12.416000+05:30,2026-01-07,Wednesday,'22:54:12.416000
