user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7b3734d3-dd8c-4a72-a061-79df8636d153,DeviceInfo,application,2026-01-06 22:21:13.154000+05:30,2026-01-06,Tuesday,'22:21:13.154000
7b3734d3-dd8c-4a72-a061-79df8636d153,Session Started,system,2026-01-06 22:21:20.669000+05:30,2026-01-06,Tuesday,'22:21:20.669000
7b3734d3-dd8c-4a72-a061-79df8636d153,App Installed,system,2026-01-06 22:21:20.804000+05:30,2026-01-06,Tuesday,'22:21:20.804000
7b3734d3-dd8c-4a72-a061-79df8636d153,Push Subscribe Process - Device Registered (Push),system,2026-01-06 22:21:27.649000+05:30,2026-01-06,Tuesday,'22:21:27.649000
7b3734d3-dd8c-4a72-a061-79df8636d153,Journey Started,system,2026-01-06 22:21:32.345000+05:30,2026-01-06,Tuesday,'22:21:32.345000
7b3734d3-dd8c-4a72-a061-79df8636d153,app_start,application,2026-01-06 22:21:37.750000+05:30,2026-01-06,Tuesday,'22:21:37.750000
7b3734d3-dd8c-4a72-a061-79df8636d153,choose_language,application,2026-01-06 22:21:54.981000+05:30,2026-01-06,Tuesday,'22:21:54.981000
7b3734d3-dd8c-4a72-a061-79df8636d153,Onboarding_Language,application,2026-01-06 22:21:55.011000+05:30,2026-01-06,Tuesday,'22:21:55.011000
7b3734d3-dd8c-4a72-a061-79df8636d153,generate_otp,application,2026-01-06 22:22:08.500000+05:30,2026-01-06,Tuesday,'22:22:08.500000
7b3734d3-dd8c-4a72-a061-79df8636d153,Onboarding_get_otp,application,2026-01-06 22:22:08.532000+05:30,2026-01-06,Tuesday,'22:22:08.532000
7b3734d3-dd8c-4a72-a061-79df8636d153,Journey Started,system,2026-01-06 22:22:10.238000+05:30,2026-01-06,Tuesday,'22:22:10.238000
7b3734d3-dd8c-4a72-a061-79df8636d153,Journey Ended,system,2026-01-06 22:22:10.239000+05:30,2026-01-06,Tuesday,'22:22:10.239000
7b3734d3-dd8c-4a72-a061-79df8636d153,_auth_generate-otp,application,2026-01-06 22:22:16.575000+05:30,2026-01-06,Tuesday,'22:22:16.575000
7b3734d3-dd8c-4a72-a061-79df8636d153,get_otp,application,2026-01-06 22:22:16.594000+05:30,2026-01-06,Tuesday,'22:22:16.594000
7b3734d3-dd8c-4a72-a061-79df8636d153,Onboarding_signup_,application,2026-01-06 22:22:16.717000+05:30,2026-01-06,Tuesday,'22:22:16.717000
7b3734d3-dd8c-4a72-a061-79df8636d153,verify_otp,application,2026-01-06 22:22:44.240000+05:30,2026-01-06,Tuesday,'22:22:44.240000
7b3734d3-dd8c-4a72-a061-79df8636d153,_auth_verify-otp,application,2026-01-06 22:22:44.802000+05:30,2026-01-06,Tuesday,'22:22:44.802000
