user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7be45817-08a1-48d8-aa86-b6ecdece3b2e,DeviceInfo,application,2026-01-12 16:50:23.091000+05:30,2026-01-12,Monday,'16:50:23.091000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Session Started,system,2026-01-12 16:50:23.397000+05:30,2026-01-12,Monday,'16:50:23.397000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,App Installed,system,2026-01-12 16:50:23.397000+05:30,2026-01-12,Monday,'16:50:23.397000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Journey Started,system,2026-01-12 16:50:23.426000+05:30,2026-01-12,Monday,'16:50:23.426000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,app_start,application,2026-01-12 16:50:24.639000+05:30,2026-01-12,Monday,'16:50:24.639000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Push Subscribe Process - Device Registered (Push),system,2026-01-12 16:50:24.640000+05:30,2026-01-12,Monday,'16:50:24.640000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,choose_language,application,2026-01-12 16:50:28.262000+05:30,2026-01-12,Monday,'16:50:28.262000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Onboarding_Language,application,2026-01-12 16:50:28.335000+05:30,2026-01-12,Monday,'16:50:28.335000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,generate_otp,application,2026-01-12 16:50:34.569000+05:30,2026-01-12,Monday,'16:50:34.569000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Onboarding_get_otp,application,2026-01-12 16:50:34.569000+05:30,2026-01-12,Monday,'16:50:34.569000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Journey Started,system,2026-01-12 16:50:34.585000+05:30,2026-01-12,Monday,'16:50:34.585000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,Journey Ended,system,2026-01-12 16:50:34.586000+05:30,2026-01-12,Monday,'16:50:34.586000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,_auth_generate-otp,application,2026-01-12 16:50:36.110000+05:30,2026-01-12,Monday,'16:50:36.110000
7be45817-08a1-48d8-aa86-b6ecdece3b2e,get_otp,application,2026-01-12 16:50:36.159000+05:30,2026-01-12,Monday,'16:50:36.159000
