user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7d08919c-a14a-407b-85b6-3aa83e2f430d,DeviceInfo,application,2026-01-11 18:19:07.902000+05:30,2026-01-11,Sunday,'18:19:07.902000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Session Started,system,2026-01-11 18:19:08.118000+05:30,2026-01-11,Sunday,'18:19:08.118000
7d08919c-a14a-407b-85b6-3aa83e2f430d,App Installed,system,2026-01-11 18:19:08.207000+05:30,2026-01-11,Sunday,'18:19:08.207000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Journey Started,system,2026-01-11 18:19:08.244000+05:30,2026-01-11,Sunday,'18:19:08.244000
7d08919c-a14a-407b-85b6-3aa83e2f430d,app_start,application,2026-01-11 18:19:08.897000+05:30,2026-01-11,Sunday,'18:19:08.897000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Push Subscribe Process - Device Registered (Push),system,2026-01-11 18:19:08.991000+05:30,2026-01-11,Sunday,'18:19:08.991000
7d08919c-a14a-407b-85b6-3aa83e2f430d,choose_language,application,2026-01-11 18:19:13.762000+05:30,2026-01-11,Sunday,'18:19:13.762000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Onboarding_Language,application,2026-01-11 18:19:13.782000+05:30,2026-01-11,Sunday,'18:19:13.782000
7d08919c-a14a-407b-85b6-3aa83e2f430d,generate_otp,application,2026-01-11 18:19:19.614000+05:30,2026-01-11,Sunday,'18:19:19.614000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Onboarding_get_otp,application,2026-01-11 18:19:19.659000+05:30,2026-01-11,Sunday,'18:19:19.659000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Journey Started,system,2026-01-11 18:19:19.786000+05:30,2026-01-11,Sunday,'18:19:19.786000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Journey Ended,system,2026-01-11 18:19:19.786000+05:30,2026-01-11,Sunday,'18:19:19.786000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_auth_generate-otp,application,2026-01-11 18:19:21.058000+05:30,2026-01-11,Sunday,'18:19:21.058000
7d08919c-a14a-407b-85b6-3aa83e2f430d,get_otp,application,2026-01-11 18:19:21.072000+05:30,2026-01-11,Sunday,'18:19:21.072000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Onboarding_signup_,application,2026-01-11 18:19:21.104000+05:30,2026-01-11,Sunday,'18:19:21.104000
7d08919c-a14a-407b-85b6-3aa83e2f430d,verify_otp,application,2026-01-11 18:19:23.871000+05:30,2026-01-11,Sunday,'18:19:23.871000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_auth_verify-otp,application,2026-01-11 18:19:24.108000+05:30,2026-01-11,Sunday,'18:19:24.108000
7d08919c-a14a-407b-85b6-3aa83e2f430d,enter_otp,application,2026-01-11 18:19:24.132000+05:30,2026-01-11,Sunday,'18:19:24.132000
7d08919c-a14a-407b-85b6-3aa83e2f430d,User Login,system,2026-01-11 18:19:24.154000+05:30,2026-01-11,Sunday,'18:19:24.154000
7d08919c-a14a-407b-85b6-3aa83e2f430d,login,application,2026-01-11 18:19:24.377000+05:30,2026-01-11,Sunday,'18:19:24.377000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_user,application,2026-01-11 18:19:24.389000+05:30,2026-01-11,Sunday,'18:19:24.389000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_from-town,application,2026-01-11 18:19:24.757000+05:30,2026-01-11,Sunday,'18:19:24.757000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Onboarding_Profile Saved,application,2026-01-11 18:19:25.543000+05:30,2026-01-11,Sunday,'18:19:25.543000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_user,application,2026-01-11 18:19:34.625000+05:30,2026-01-11,Sunday,'18:19:34.625000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_history_recommended-journey,application,2026-01-11 18:19:36.211000+05:30,2026-01-11,Sunday,'18:19:36.211000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_user_device,application,2026-01-11 18:19:36.249000+05:30,2026-01-11,Sunday,'18:19:36.249000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_from-town,application,2026-01-11 18:19:36.389000+05:30,2026-01-11,Sunday,'18:19:36.389000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_user,application,2026-01-11 18:19:36.416000+05:30,2026-01-11,Sunday,'18:19:36.416000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_ticket,application,2026-01-11 18:19:36.603000+05:30,2026-01-11,Sunday,'18:19:36.603000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_special-town-search,application,2026-01-11 18:19:36.618000+05:30,2026-01-11,Sunday,'18:19:36.618000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_elastic-town-search,application,2026-01-11 18:19:38.367000+05:30,2026-01-11,Sunday,'18:19:38.367000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_special-town-search,application,2026-01-11 18:19:47.766000+05:30,2026-01-11,Sunday,'18:19:47.766000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_location_elastic-town-search,application,2026-01-11 18:19:49.889000+05:30,2026-01-11,Sunday,'18:19:49.889000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Buslist_date change,application,2026-01-11 18:20:02.518000+05:30,2026-01-11,Sunday,'18:20:02.518000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_user,application,2026-01-11 18:20:02.717000+05:30,2026-01-11,Sunday,'18:20:02.717000
7d08919c-a14a-407b-85b6-3aa83e2f430d,pageview_bus_list,application,2026-01-11 18:20:02.741000+05:30,2026-01-11,Sunday,'18:20:02.741000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_bus-search_user-bus-search,application,2026-01-11 18:20:02.795000+05:30,2026-01-11,Sunday,'18:20:02.795000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_bus-search_list,application,2026-01-11 18:20:19.401000+05:30,2026-01-11,Sunday,'18:20:19.401000
7d08919c-a14a-407b-85b6-3aa83e2f430d,_rewards_best-V2,application,2026-01-11 18:20:19.932000+05:30,2026-01-11,Sunday,'18:20:19.932000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Buslist_date change,application,2026-01-11 18:20:19.952000+05:30,2026-01-11,Sunday,'18:20:19.952000
7d08919c-a14a-407b-85b6-3aa83e2f430d,bus_search,application,2026-01-11 18:20:21.097000+05:30,2026-01-11,Sunday,'18:20:21.097000
7d08919c-a14a-407b-85b6-3aa83e2f430d,bus_result,application,2026-01-11 18:20:21.106000+05:30,2026-01-11,Sunday,'18:20:21.106000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Journey Started,system,2026-01-11 18:20:21.699000+05:30,2026-01-11,Sunday,'18:20:21.699000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Push Failure,system,2026-01-11 18:35:46.447000+05:30,2026-01-11,Sunday,'18:35:46.447000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Journey Ended,system,2026-01-12 00:36:13.747000+05:30,2026-01-12,Monday,'00:36:13.747000
7d08919c-a14a-407b-85b6-3aa83e2f430d,Push Failure,system,2026-01-12 18:19:21.270000+05:30,2026-01-12,Monday,'18:19:21.270000
