user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,App Installed,system,2026-01-03 18:08:18.657000+05:30,2026-01-03,Saturday,'18:08:18.657000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,DeviceInfo,application,2026-01-03 18:08:18.555000+05:30,2026-01-03,Saturday,'18:08:18.555000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Journey Ended,system,2026-01-03 18:08:26.752000+05:30,2026-01-03,Saturday,'18:08:26.752000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Journey Started,system,2026-01-03 18:08:19.554000+05:30,2026-01-03,Saturday,'18:08:19.554000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Journey Started,system,2026-01-03 18:08:26.752000+05:30,2026-01-03,Saturday,'18:08:26.752000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Onboarding_Language,application,2026-01-03 18:08:21.307000+05:30,2026-01-03,Saturday,'18:08:21.307000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Onboarding_Profile Saved,application,2026-01-03 18:08:34.620000+05:30,2026-01-03,Saturday,'18:08:34.620000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Onboarding_get_otp,application,2026-01-03 18:08:26.733000+05:30,2026-01-03,Saturday,'18:08:26.733000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Onboarding_signup_,application,2026-01-03 18:08:27.782000+05:30,2026-01-03,Saturday,'18:08:27.782000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-04 18:08:52.822000+05:30,2026-01-04,Sunday,'18:08:52.822000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-05 18:09:21.229000+05:30,2026-01-05,Monday,'18:09:21.229000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-06 18:09:49.778000+05:30,2026-01-06,Tuesday,'18:09:49.778000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-07 18:10:20.973000+05:30,2026-01-07,Wednesday,'18:10:20.973000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-08 18:10:50.145000+05:30,2026-01-08,Thursday,'18:10:50.145000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-10 18:11:15.041000+05:30,2026-01-10,Saturday,'18:11:15.041000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-12 18:11:43.881000+05:30,2026-01-12,Monday,'18:11:43.881000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-14 18:11:53.246000+05:30,2026-01-14,Wednesday,'18:11:53.246000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Failure,system,2026-01-16 18:12:23.430000+05:30,2026-01-16,Friday,'18:12:23.430000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Push Subscribe Process - Device Registered (Push),system,2026-01-03 18:08:20.332000+05:30,2026-01-03,Saturday,'18:08:20.332000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Session Started,system,2026-01-03 18:08:18.656000+05:30,2026-01-03,Saturday,'18:08:18.656000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,Session Started,system,2026-01-04 12:40:54.318000+05:30,2026-01-04,Sunday,'12:40:54.318000
7d66d3f1-f93e-4fe7-9cb9-30595c0e9bf9,User Login,system,2026-01-03 18:08:33.609000+05:30,2026-01-03,Saturday,'18:08:33.609000
