user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7dbf0247-547a-47ba-9b8a-808e474ee2c3,DeviceInfo,application,2026-01-06 19:07:10.067000+05:30,2026-01-06,Tuesday,'19:07:10.067000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Session Started,system,2026-01-06 19:07:10.776000+05:30,2026-01-06,Tuesday,'19:07:10.776000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,App Installed,system,2026-01-06 19:07:10.955000+05:30,2026-01-06,Tuesday,'19:07:10.955000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Journey Started,system,2026-01-06 19:07:11.812000+05:30,2026-01-06,Tuesday,'19:07:11.812000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,app_start,application,2026-01-06 19:07:12.603000+05:30,2026-01-06,Tuesday,'19:07:12.603000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,choose_language,application,2026-01-06 19:07:15.042000+05:30,2026-01-06,Tuesday,'19:07:15.042000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Onboarding_Language,application,2026-01-06 19:07:15.091000+05:30,2026-01-06,Tuesday,'19:07:15.091000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,generate_otp,application,2026-01-06 19:07:29.226000+05:30,2026-01-06,Tuesday,'19:07:29.226000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Onboarding_get_otp,application,2026-01-06 19:07:29.291000+05:30,2026-01-06,Tuesday,'19:07:29.291000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_auth_generate-otp,application,2026-01-06 19:07:30.109000+05:30,2026-01-06,Tuesday,'19:07:30.109000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,get_otp,application,2026-01-06 19:07:30.120000+05:30,2026-01-06,Tuesday,'19:07:30.120000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Onboarding_signup_,application,2026-01-06 19:07:30.137000+05:30,2026-01-06,Tuesday,'19:07:30.137000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Journey Ended,system,2026-01-06 19:07:30.193000+05:30,2026-01-06,Tuesday,'19:07:30.193000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Journey Started,system,2026-01-06 19:07:30.193000+05:30,2026-01-06,Tuesday,'19:07:30.193000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,verify_otp,application,2026-01-06 19:07:33.642000+05:30,2026-01-06,Tuesday,'19:07:33.642000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_auth_verify-otp,application,2026-01-06 19:07:33.779000+05:30,2026-01-06,Tuesday,'19:07:33.779000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,enter_otp,application,2026-01-06 19:07:33.818000+05:30,2026-01-06,Tuesday,'19:07:33.818000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,User Login,system,2026-01-06 19:07:33.847000+05:30,2026-01-06,Tuesday,'19:07:33.847000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,login,application,2026-01-06 19:07:33.950000+05:30,2026-01-06,Tuesday,'19:07:33.950000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:07:34.091000+05:30,2026-01-06,Tuesday,'19:07:34.091000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_from-town,application,2026-01-06 19:07:34.416000+05:30,2026-01-06,Tuesday,'19:07:34.416000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Onboarding_Profile Saved,application,2026-01-06 19:07:35.357000+05:30,2026-01-06,Tuesday,'19:07:35.357000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:07:46.077000+05:30,2026-01-06,Tuesday,'19:07:46.077000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_history_recommended-journey,application,2026-01-06 19:07:48.225000+05:30,2026-01-06,Tuesday,'19:07:48.225000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user_device,application,2026-01-06 19:07:48.233000+05:30,2026-01-06,Tuesday,'19:07:48.233000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:07:48.250000+05:30,2026-01-06,Tuesday,'19:07:48.250000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_from-town,application,2026-01-06 19:07:48.296000+05:30,2026-01-06,Tuesday,'19:07:48.296000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_ticket,application,2026-01-06 19:07:48.394000+05:30,2026-01-06,Tuesday,'19:07:48.394000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_special-town-search,application,2026-01-06 19:07:48.402000+05:30,2026-01-06,Tuesday,'19:07:48.402000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_elastic-town-search,application,2026-01-06 19:07:49.789000+05:30,2026-01-06,Tuesday,'19:07:49.789000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_special-town-search,application,2026-01-06 19:07:59.599000+05:30,2026-01-06,Tuesday,'19:07:59.599000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_elastic-town-search,application,2026-01-06 19:08:01.956000+05:30,2026-01-06,Tuesday,'19:08:01.956000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Buslist_date change,application,2026-01-06 19:08:40.100000+05:30,2026-01-06,Tuesday,'19:08:40.100000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:08:40.530000+05:30,2026-01-06,Tuesday,'19:08:40.530000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,pageview_bus_list,application,2026-01-06 19:08:40.547000+05:30,2026-01-06,Tuesday,'19:08:40.547000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_bus-search_user-bus-search,application,2026-01-06 19:08:40.560000+05:30,2026-01-06,Tuesday,'19:08:40.560000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,Session Started,system,2026-01-06 19:08:48.889000+05:30,2026-01-06,Tuesday,'19:08:48.889000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:09:04.858000+05:30,2026-01-06,Tuesday,'19:09:04.858000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_history_recommended-journey,application,2026-01-06 19:09:04.871000+05:30,2026-01-06,Tuesday,'19:09:04.871000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_user,application,2026-01-06 19:09:04.922000+05:30,2026-01-06,Tuesday,'19:09:04.922000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_from-town,application,2026-01-06 19:09:04.933000+05:30,2026-01-06,Tuesday,'19:09:04.933000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_ticket,application,2026-01-06 19:09:04.953000+05:30,2026-01-06,Tuesday,'19:09:04.953000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_special-town-search,application,2026-01-06 19:09:04.989000+05:30,2026-01-06,Tuesday,'19:09:04.989000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_elastic-town-search,application,2026-01-06 19:09:07.202000+05:30,2026-01-06,Tuesday,'19:09:07.202000
7dbf0247-547a-47ba-9b8a-808e474ee2c3,_location_special-town-search,application,2026-01-06 19:09:17.911000+05:30,2026-01-06,Tuesday,'19:09:17.911000
