user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,DeviceInfo,application,2026-01-09 05:47:43.539000+05:30,2026-01-09,Friday,'05:47:43.539000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Session Started,system,2026-01-09 05:47:49.044000+05:30,2026-01-09,Friday,'05:47:49.044000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,App Installed,system,2026-01-09 05:47:49.232000+05:30,2026-01-09,Friday,'05:47:49.232000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,app_start,application,2026-01-09 05:47:49.884000+05:30,2026-01-09,Friday,'05:47:49.884000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Push Subscribe Process - Device Registered (Push),system,2026-01-09 05:47:50.293000+05:30,2026-01-09,Friday,'05:47:50.293000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Started,system,2026-01-09 05:47:51.358000+05:30,2026-01-09,Friday,'05:47:51.358000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,choose_language,application,2026-01-09 05:47:55.412000+05:30,2026-01-09,Friday,'05:47:55.412000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_Language,application,2026-01-09 05:47:55.431000+05:30,2026-01-09,Friday,'05:47:55.431000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_backpressed,application,2026-01-09 05:48:25.975000+05:30,2026-01-09,Friday,'05:48:25.975000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,choose_language,application,2026-01-09 05:48:29.088000+05:30,2026-01-09,Friday,'05:48:29.088000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_Language,application,2026-01-09 05:48:29.124000+05:30,2026-01-09,Friday,'05:48:29.124000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Ended,system,2026-01-09 05:48:30.588000+05:30,2026-01-09,Friday,'05:48:30.588000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Started,system,2026-01-09 05:48:30.588000+05:30,2026-01-09,Friday,'05:48:30.588000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Ended,system,2026-01-09 05:48:30.613000+05:30,2026-01-09,Friday,'05:48:30.613000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Started,system,2026-01-09 05:48:30.613000+05:30,2026-01-09,Friday,'05:48:30.613000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_backpressed,application,2026-01-09 05:48:47.118000+05:30,2026-01-09,Friday,'05:48:47.118000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,choose_language,application,2026-01-09 05:48:50.639000+05:30,2026-01-09,Friday,'05:48:50.639000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_Language,application,2026-01-09 05:48:50.665000+05:30,2026-01-09,Friday,'05:48:50.665000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Started,system,2026-01-09 05:48:52.813000+05:30,2026-01-09,Friday,'05:48:52.813000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Ended,system,2026-01-09 05:48:52.814000+05:30,2026-01-09,Friday,'05:48:52.814000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,generate_otp,application,2026-01-09 05:49:10.523000+05:30,2026-01-09,Friday,'05:49:10.523000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_get_otp,application,2026-01-09 05:49:10.544000+05:30,2026-01-09,Friday,'05:49:10.544000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_auth_generate-otp,application,2026-01-09 05:49:11.383000+05:30,2026-01-09,Friday,'05:49:11.383000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,get_otp,application,2026-01-09 05:49:11.393000+05:30,2026-01-09,Friday,'05:49:11.393000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_signup_,application,2026-01-09 05:49:11.445000+05:30,2026-01-09,Friday,'05:49:11.445000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,verify_otp,application,2026-01-09 05:49:14.652000+05:30,2026-01-09,Friday,'05:49:14.652000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_auth_verify-otp,application,2026-01-09 05:49:15.004000+05:30,2026-01-09,Friday,'05:49:15.004000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,enter_otp,application,2026-01-09 05:49:15.030000+05:30,2026-01-09,Friday,'05:49:15.030000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,User Login,system,2026-01-09 05:49:15.082000+05:30,2026-01-09,Friday,'05:49:15.082000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,login,application,2026-01-09 05:49:16.057000+05:30,2026-01-09,Friday,'05:49:16.057000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_user,application,2026-01-09 05:49:16.081000+05:30,2026-01-09,Friday,'05:49:16.081000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_from-town,application,2026-01-09 05:49:16.143000+05:30,2026-01-09,Friday,'05:49:16.143000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Onboarding_Profile Saved,application,2026-01-09 05:50:59.521000+05:30,2026-01-09,Friday,'05:50:59.521000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_user,application,2026-01-09 05:51:03.600000+05:30,2026-01-09,Friday,'05:51:03.600000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_history_recommended-journey,application,2026-01-09 05:51:07.612000+05:30,2026-01-09,Friday,'05:51:07.612000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_user,application,2026-01-09 05:51:07.627000+05:30,2026-01-09,Friday,'05:51:07.627000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_user_device,application,2026-01-09 05:51:07.639000+05:30,2026-01-09,Friday,'05:51:07.639000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_from-town,application,2026-01-09 05:51:07.701000+05:30,2026-01-09,Friday,'05:51:07.701000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_ticket,application,2026-01-09 05:51:07.771000+05:30,2026-01-09,Friday,'05:51:07.771000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_special-town-search,application,2026-01-09 05:51:07.986000+05:30,2026-01-09,Friday,'05:51:07.986000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_elastic-town-search,application,2026-01-09 05:51:30.892000+05:30,2026-01-09,Friday,'05:51:30.892000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_special-town-search,application,2026-01-09 05:51:54.510000+05:30,2026-01-09,Friday,'05:51:54.510000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_location_elastic-town-search,application,2026-01-09 05:51:54.716000+05:30,2026-01-09,Friday,'05:51:54.716000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Buslist_date change,application,2026-01-09 05:52:06.155000+05:30,2026-01-09,Friday,'05:52:06.155000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_user,application,2026-01-09 05:52:06.555000+05:30,2026-01-09,Friday,'05:52:06.555000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_bus-search_user-bus-search,application,2026-01-09 05:52:06.583000+05:30,2026-01-09,Friday,'05:52:06.583000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,pageview_bus_list,application,2026-01-09 05:52:06.602000+05:30,2026-01-09,Friday,'05:52:06.602000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_bus-search_list,application,2026-01-09 05:52:09.697000+05:30,2026-01-09,Friday,'05:52:09.697000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,_rewards_best-V2,application,2026-01-09 05:52:10.447000+05:30,2026-01-09,Friday,'05:52:10.447000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Buslist_date change,application,2026-01-09 05:52:10.475000+05:30,2026-01-09,Friday,'05:52:10.475000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,bus_search,application,2026-01-09 05:52:10.499000+05:30,2026-01-09,Friday,'05:52:10.499000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,bus_result,application,2026-01-09 05:52:10.509000+05:30,2026-01-09,Friday,'05:52:10.509000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Buslist_Live Chat Icon,application,2026-01-09 05:52:18.901000+05:30,2026-01-09,Friday,'05:52:18.901000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,enquire_now,application,2026-01-09 05:52:19.124000+05:30,2026-01-09,Friday,'05:52:19.124000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Started,system,2026-01-09 05:52:20.545000+05:30,2026-01-09,Friday,'05:52:20.545000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Push Failure,system,2026-01-09 06:07:25.113000+05:30,2026-01-09,Friday,'06:07:25.113000
7dd71b6a-2be2-4b3a-bf69-3f7056cdbeae,Journey Ended,system,2026-01-09 12:08:04.966000+05:30,2026-01-09,Friday,'12:08:04.966000
