user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,DeviceInfo,application,2026-01-07 23:42:03.142000+05:30,2026-01-07,Wednesday,'23:42:03.142000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Session Started,system,2026-01-07 23:42:04.302000+05:30,2026-01-07,Wednesday,'23:42:04.302000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,App Installed,system,2026-01-07 23:42:04.361000+05:30,2026-01-07,Wednesday,'23:42:04.361000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Push Subscribe Process - Device Registered (Push),system,2026-01-07 23:42:04.499000+05:30,2026-01-07,Wednesday,'23:42:04.499000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Started,system,2026-01-07 23:42:04.632000+05:30,2026-01-07,Wednesday,'23:42:04.632000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,app_start,application,2026-01-07 23:42:07.290000+05:30,2026-01-07,Wednesday,'23:42:07.290000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,choose_language,application,2026-01-07 23:42:25.356000+05:30,2026-01-07,Wednesday,'23:42:25.356000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Onboarding_Language,application,2026-01-07 23:42:25.371000+05:30,2026-01-07,Wednesday,'23:42:25.371000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,choose_language,application,2026-01-07 23:42:25.934000+05:30,2026-01-07,Wednesday,'23:42:25.934000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Onboarding_Language,application,2026-01-07 23:42:25.958000+05:30,2026-01-07,Wednesday,'23:42:25.958000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Started,system,2026-01-07 23:42:26.268000+05:30,2026-01-07,Wednesday,'23:42:26.268000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Ended,system,2026-01-07 23:42:26.269000+05:30,2026-01-07,Wednesday,'23:42:26.269000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Started,system,2026-01-07 23:42:26.403000+05:30,2026-01-07,Wednesday,'23:42:26.403000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Ended,system,2026-01-07 23:42:26.403000+05:30,2026-01-07,Wednesday,'23:42:26.403000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,generate_otp,application,2026-01-07 23:42:34.006000+05:30,2026-01-07,Wednesday,'23:42:34.006000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Onboarding_get_otp,application,2026-01-07 23:42:34.031000+05:30,2026-01-07,Wednesday,'23:42:34.031000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_auth_generate-otp,application,2026-01-07 23:42:39.918000+05:30,2026-01-07,Wednesday,'23:42:39.918000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,get_otp,application,2026-01-07 23:42:39.932000+05:30,2026-01-07,Wednesday,'23:42:39.932000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Onboarding_signup_,application,2026-01-07 23:42:39.989000+05:30,2026-01-07,Wednesday,'23:42:39.989000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,verify_otp,application,2026-01-07 23:42:42.977000+05:30,2026-01-07,Wednesday,'23:42:42.977000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_auth_verify-otp,application,2026-01-07 23:42:44.130000+05:30,2026-01-07,Wednesday,'23:42:44.130000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,enter_otp,application,2026-01-07 23:42:44.149000+05:30,2026-01-07,Wednesday,'23:42:44.149000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,User Login,system,2026-01-07 23:42:44.183000+05:30,2026-01-07,Wednesday,'23:42:44.183000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,login,application,2026-01-07 23:42:44.392000+05:30,2026-01-07,Wednesday,'23:42:44.392000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user,application,2026-01-07 23:42:44.403000+05:30,2026-01-07,Wednesday,'23:42:44.403000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_from-town,application,2026-01-07 23:42:44.977000+05:30,2026-01-07,Wednesday,'23:42:44.977000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Onboarding_Profile Saved,application,2026-01-07 23:42:46.119000+05:30,2026-01-07,Wednesday,'23:42:46.119000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user,application,2026-01-07 23:42:58.935000+05:30,2026-01-07,Wednesday,'23:42:58.935000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_history_recommended-journey,application,2026-01-07 23:43:01.342000+05:30,2026-01-07,Wednesday,'23:43:01.342000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_from-town,application,2026-01-07 23:43:01.398000+05:30,2026-01-07,Wednesday,'23:43:01.398000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user_device,application,2026-01-07 23:43:01.568000+05:30,2026-01-07,Wednesday,'23:43:01.568000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user,application,2026-01-07 23:43:01.724000+05:30,2026-01-07,Wednesday,'23:43:01.724000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:43:01.778000+05:30,2026-01-07,Wednesday,'23:43:01.778000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_ticket,application,2026-01-07 23:43:01.958000+05:30,2026-01-07,Wednesday,'23:43:01.958000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:43:07.237000+05:30,2026-01-07,Wednesday,'23:43:07.237000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_elastic-town-search,application,2026-01-07 23:43:07.350000+05:30,2026-01-07,Wednesday,'23:43:07.350000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:43:19.242000+05:30,2026-01-07,Wednesday,'23:43:19.242000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_elastic-town-search,application,2026-01-07 23:43:31.896000+05:30,2026-01-07,Wednesday,'23:43:31.896000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Buslist_date change,application,2026-01-07 23:44:20.616000+05:30,2026-01-07,Wednesday,'23:44:20.616000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user,application,2026-01-07 23:44:20.851000+05:30,2026-01-07,Wednesday,'23:44:20.851000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,pageview_bus_list,application,2026-01-07 23:44:20.864000+05:30,2026-01-07,Wednesday,'23:44:20.864000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_bus-search_user-bus-search,application,2026-01-07 23:44:20.928000+05:30,2026-01-07,Wednesday,'23:44:20.928000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_bus-search_list,application,2026-01-07 23:44:22.295000+05:30,2026-01-07,Wednesday,'23:44:22.295000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_rewards_best-V2,application,2026-01-07 23:44:24.050000+05:30,2026-01-07,Wednesday,'23:44:24.050000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Buslist_date change,application,2026-01-07 23:44:24.058000+05:30,2026-01-07,Wednesday,'23:44:24.058000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,bus_search,application,2026-01-07 23:44:24.077000+05:30,2026-01-07,Wednesday,'23:44:24.077000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,bus_result,application,2026-01-07 23:44:24.093000+05:30,2026-01-07,Wednesday,'23:44:24.093000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Started,system,2026-01-07 23:44:24.255000+05:30,2026-01-07,Wednesday,'23:44:24.255000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:44:34.792000+05:30,2026-01-07,Wednesday,'23:44:34.792000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_elastic-town-search,application,2026-01-07 23:44:34.923000+05:30,2026-01-07,Wednesday,'23:44:34.923000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Buslist_date change,application,2026-01-07 23:44:57.191000+05:30,2026-01-07,Wednesday,'23:44:57.191000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_user,application,2026-01-07 23:44:57.386000+05:30,2026-01-07,Wednesday,'23:44:57.386000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,pageview_bus_list,application,2026-01-07 23:44:57.481000+05:30,2026-01-07,Wednesday,'23:44:57.481000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_bus-search_user-bus-search,application,2026-01-07 23:44:57.532000+05:30,2026-01-07,Wednesday,'23:44:57.532000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_bus-search_list,application,2026-01-07 23:44:59.778000+05:30,2026-01-07,Wednesday,'23:44:59.778000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_rewards_best-V2,application,2026-01-07 23:44:59.972000+05:30,2026-01-07,Wednesday,'23:44:59.972000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Buslist_date change,application,2026-01-07 23:44:59.989000+05:30,2026-01-07,Wednesday,'23:44:59.989000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,bus_search,application,2026-01-07 23:45:00.017000+05:30,2026-01-07,Wednesday,'23:45:00.017000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,bus_result,application,2026-01-07 23:45:00.027000+05:30,2026-01-07,Wednesday,'23:45:00.027000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Buslist_Live Chat Icon,application,2026-01-07 23:45:08.602000+05:30,2026-01-07,Wednesday,'23:45:08.602000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,enquire_now,application,2026-01-07 23:45:08.773000+05:30,2026-01-07,Wednesday,'23:45:08.773000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:45:23.283000+05:30,2026-01-07,Wednesday,'23:45:23.283000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_elastic-town-search,application,2026-01-07 23:45:23.467000+05:30,2026-01-07,Wednesday,'23:45:23.467000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_special-town-search,application,2026-01-07 23:45:28.936000+05:30,2026-01-07,Wednesday,'23:45:28.936000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,_location_elastic-town-search,application,2026-01-07 23:45:29.066000+05:30,2026-01-07,Wednesday,'23:45:29.066000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Push Failure,system,2026-01-07 23:59:49.636000+05:30,2026-01-07,Wednesday,'23:59:49.636000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Journey Ended,system,2026-01-08 06:00:17.257000+05:30,2026-01-08,Thursday,'06:00:17.257000
8146eaaf-0a6d-4449-a0ab-249f4c7aec13,Push Failure,system,2026-01-08 23:42:24.984000+05:30,2026-01-08,Thursday,'23:42:24.984000
