user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,DeviceInfo,application,2026-01-15 15:19:31.244000+05:30,2026-01-15,Thursday,'15:19:31.244000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Session Started,system,2026-01-15 15:19:31.501000+05:30,2026-01-15,Thursday,'15:19:31.501000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,App Installed,system,2026-01-15 15:19:31.502000+05:30,2026-01-15,Thursday,'15:19:31.502000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Journey Started,system,2026-01-15 15:19:31.530000+05:30,2026-01-15,Thursday,'15:19:31.530000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,app_start,application,2026-01-15 15:19:32.645000+05:30,2026-01-15,Thursday,'15:19:32.645000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Push Subscribe Process - Device Registered (Push),system,2026-01-15 15:19:33.160000+05:30,2026-01-15,Thursday,'15:19:33.160000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,choose_language,application,2026-01-15 15:19:35.266000+05:30,2026-01-15,Thursday,'15:19:35.266000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Onboarding_Language,application,2026-01-15 15:19:35.293000+05:30,2026-01-15,Thursday,'15:19:35.293000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Onboarding_get_otp,application,2026-01-15 15:19:42.579000+05:30,2026-01-15,Thursday,'15:19:42.579000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,generate_otp,application,2026-01-15 15:19:42.579000+05:30,2026-01-15,Thursday,'15:19:42.579000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Journey Ended,system,2026-01-15 15:19:43.406000+05:30,2026-01-15,Thursday,'15:19:43.406000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Journey Started,system,2026-01-15 15:19:43.406000+05:30,2026-01-15,Thursday,'15:19:43.406000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,_auth_generate-otp,application,2026-01-15 15:19:43.844000+05:30,2026-01-15,Thursday,'15:19:43.844000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,get_otp,application,2026-01-15 15:19:43.856000+05:30,2026-01-15,Thursday,'15:19:43.856000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,Onboarding_signup_,application,2026-01-15 15:19:43.870000+05:30,2026-01-15,Thursday,'15:19:43.870000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,verify_otp,application,2026-01-15 15:19:45.419000+05:30,2026-01-15,Thursday,'15:19:45.419000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,_auth_verify-otp,application,2026-01-15 15:19:45.419000+05:30,2026-01-15,Thursday,'15:19:45.419000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,enter_otp,application,2026-01-15 15:19:45.964000+05:30,2026-01-15,Thursday,'15:19:45.964000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,User Login,system,2026-01-15 15:19:46.146000+05:30,2026-01-15,Thursday,'15:19:46.146000
81b30f6f-3d84-4a9d-8cff-9f739b7005fc,login,application,2026-01-15 15:19:46.366000+05:30,2026-01-15,Thursday,'15:19:46.366000
