user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
81d0cf5d-5a60-459b-832f-d6b7d2355258,DeviceInfo,application,2026-01-10 23:49:07.139000+05:30,2026-01-10,Saturday,'23:49:07.139000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Session Started,system,2026-01-10 23:49:07.422000+05:30,2026-01-10,Saturday,'23:49:07.422000
81d0cf5d-5a60-459b-832f-d6b7d2355258,App Installed,system,2026-01-10 23:49:07.422000+05:30,2026-01-10,Saturday,'23:49:07.422000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Journey Started,system,2026-01-10 23:49:07.442000+05:30,2026-01-10,Saturday,'23:49:07.442000
81d0cf5d-5a60-459b-832f-d6b7d2355258,app_start,application,2026-01-10 23:49:08.406000+05:30,2026-01-10,Saturday,'23:49:08.406000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Push Subscribe Process - Device Registered (Push),system,2026-01-10 23:49:08.783000+05:30,2026-01-10,Saturday,'23:49:08.783000
81d0cf5d-5a60-459b-832f-d6b7d2355258,choose_language,application,2026-01-10 23:49:13.246000+05:30,2026-01-10,Saturday,'23:49:13.246000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Onboarding_Language,application,2026-01-10 23:49:13.283000+05:30,2026-01-10,Saturday,'23:49:13.283000
81d0cf5d-5a60-459b-832f-d6b7d2355258,generate_otp,application,2026-01-10 23:49:23.090000+05:30,2026-01-10,Saturday,'23:49:23.090000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Onboarding_get_otp,application,2026-01-10 23:49:23.106000+05:30,2026-01-10,Saturday,'23:49:23.106000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Journey Ended,system,2026-01-10 23:49:23.224000+05:30,2026-01-10,Saturday,'23:49:23.224000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Journey Started,system,2026-01-10 23:49:23.224000+05:30,2026-01-10,Saturday,'23:49:23.224000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_auth_generate-otp,application,2026-01-10 23:49:24.797000+05:30,2026-01-10,Saturday,'23:49:24.797000
81d0cf5d-5a60-459b-832f-d6b7d2355258,get_otp,application,2026-01-10 23:49:24.812000+05:30,2026-01-10,Saturday,'23:49:24.812000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Onboarding_signup_,application,2026-01-10 23:49:24.833000+05:30,2026-01-10,Saturday,'23:49:24.833000
81d0cf5d-5a60-459b-832f-d6b7d2355258,verify_otp,application,2026-01-10 23:49:27.700000+05:30,2026-01-10,Saturday,'23:49:27.700000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_auth_verify-otp,application,2026-01-10 23:49:27.831000+05:30,2026-01-10,Saturday,'23:49:27.831000
81d0cf5d-5a60-459b-832f-d6b7d2355258,enter_otp,application,2026-01-10 23:49:27.955000+05:30,2026-01-10,Saturday,'23:49:27.955000
81d0cf5d-5a60-459b-832f-d6b7d2355258,User Login,system,2026-01-10 23:49:27.969000+05:30,2026-01-10,Saturday,'23:49:27.969000
81d0cf5d-5a60-459b-832f-d6b7d2355258,login,application,2026-01-10 23:49:28.243000+05:30,2026-01-10,Saturday,'23:49:28.243000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_user,application,2026-01-10 23:49:28.263000+05:30,2026-01-10,Saturday,'23:49:28.263000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_location_from-town,application,2026-01-10 23:49:28.645000+05:30,2026-01-10,Saturday,'23:49:28.645000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Onboarding_Profile Saved,application,2026-01-10 23:49:30.242000+05:30,2026-01-10,Saturday,'23:49:30.242000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_user,application,2026-01-10 23:49:31.626000+05:30,2026-01-10,Saturday,'23:49:31.626000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_history_recommended-journey,application,2026-01-10 23:49:34.822000+05:30,2026-01-10,Saturday,'23:49:34.822000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_location_from-town,application,2026-01-10 23:49:34.884000+05:30,2026-01-10,Saturday,'23:49:34.884000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_user_device,application,2026-01-10 23:49:34.930000+05:30,2026-01-10,Saturday,'23:49:34.930000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_user,application,2026-01-10 23:49:34.974000+05:30,2026-01-10,Saturday,'23:49:34.974000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_location_special-town-search,application,2026-01-10 23:49:35.130000+05:30,2026-01-10,Saturday,'23:49:35.130000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_ticket,application,2026-01-10 23:49:35.286000+05:30,2026-01-10,Saturday,'23:49:35.286000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_location_special-town-search,application,2026-01-10 23:49:51.029000+05:30,2026-01-10,Saturday,'23:49:51.029000
81d0cf5d-5a60-459b-832f-d6b7d2355258,_location_elastic-town-search,application,2026-01-10 23:50:18.111000+05:30,2026-01-10,Saturday,'23:50:18.111000
81d0cf5d-5a60-459b-832f-d6b7d2355258,Push Failure,system,2026-01-11 23:49:15.253000+05:30,2026-01-11,Sunday,'23:49:15.253000
