user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
829b73ea-7385-41d3-9c90-e9410bc48239,DeviceInfo,application,2026-01-16 13:34:45.941000+05:30,2026-01-16,Friday,'13:34:45.941000
829b73ea-7385-41d3-9c90-e9410bc48239,Session Started,system,2026-01-16 13:34:46.210000+05:30,2026-01-16,Friday,'13:34:46.210000
829b73ea-7385-41d3-9c90-e9410bc48239,App Installed,system,2026-01-16 13:34:46.268000+05:30,2026-01-16,Friday,'13:34:46.268000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Started,system,2026-01-16 13:34:46.775000+05:30,2026-01-16,Friday,'13:34:46.775000
829b73ea-7385-41d3-9c90-e9410bc48239,app_start,application,2026-01-16 13:34:47.303000+05:30,2026-01-16,Friday,'13:34:47.303000
829b73ea-7385-41d3-9c90-e9410bc48239,Push Subscribe Process - Device Registered (Push),system,2026-01-16 13:34:48.009000+05:30,2026-01-16,Friday,'13:34:48.009000
829b73ea-7385-41d3-9c90-e9410bc48239,choose_language,application,2026-01-16 13:34:51.362000+05:30,2026-01-16,Friday,'13:34:51.362000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_Language,application,2026-01-16 13:34:51.372000+05:30,2026-01-16,Friday,'13:34:51.372000
829b73ea-7385-41d3-9c90-e9410bc48239,choose_language,application,2026-01-16 13:34:51.426000+05:30,2026-01-16,Friday,'13:34:51.426000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_Language,application,2026-01-16 13:34:51.436000+05:30,2026-01-16,Friday,'13:34:51.436000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Started,system,2026-01-16 13:34:52.986000+05:30,2026-01-16,Friday,'13:34:52.986000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Ended,system,2026-01-16 13:34:52.986000+05:30,2026-01-16,Friday,'13:34:52.986000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Started,system,2026-01-16 13:34:52.993000+05:30,2026-01-16,Friday,'13:34:52.993000
829b73ea-7385-41d3-9c90-e9410bc48239,choose_language,application,2026-01-16 13:34:53.037000+05:30,2026-01-16,Friday,'13:34:53.037000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_Language,application,2026-01-16 13:34:53.053000+05:30,2026-01-16,Friday,'13:34:53.053000
829b73ea-7385-41d3-9c90-e9410bc48239,generate_otp,application,2026-01-16 13:34:58.199000+05:30,2026-01-16,Friday,'13:34:58.199000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_get_otp,application,2026-01-16 13:34:58.223000+05:30,2026-01-16,Friday,'13:34:58.223000
829b73ea-7385-41d3-9c90-e9410bc48239,_auth_generate-otp,application,2026-01-16 13:34:59.162000+05:30,2026-01-16,Friday,'13:34:59.162000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Started,system,2026-01-16 13:34:59.179000+05:30,2026-01-16,Friday,'13:34:59.179000
829b73ea-7385-41d3-9c90-e9410bc48239,Journey Ended,system,2026-01-16 13:34:59.179000+05:30,2026-01-16,Friday,'13:34:59.179000
829b73ea-7385-41d3-9c90-e9410bc48239,get_otp,application,2026-01-16 13:34:59.203000+05:30,2026-01-16,Friday,'13:34:59.203000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_signup_,application,2026-01-16 13:34:59.220000+05:30,2026-01-16,Friday,'13:34:59.220000
829b73ea-7385-41d3-9c90-e9410bc48239,verify_otp,application,2026-01-16 13:35:05.909000+05:30,2026-01-16,Friday,'13:35:05.909000
829b73ea-7385-41d3-9c90-e9410bc48239,_auth_verify-otp,application,2026-01-16 13:35:06.445000+05:30,2026-01-16,Friday,'13:35:06.445000
829b73ea-7385-41d3-9c90-e9410bc48239,enter_otp,application,2026-01-16 13:35:06.480000+05:30,2026-01-16,Friday,'13:35:06.480000
829b73ea-7385-41d3-9c90-e9410bc48239,User Login,system,2026-01-16 13:35:06.751000+05:30,2026-01-16,Friday,'13:35:06.751000
829b73ea-7385-41d3-9c90-e9410bc48239,login,application,2026-01-16 13:35:06.998000+05:30,2026-01-16,Friday,'13:35:06.998000
829b73ea-7385-41d3-9c90-e9410bc48239,_user,application,2026-01-16 13:35:07.063000+05:30,2026-01-16,Friday,'13:35:07.063000
829b73ea-7385-41d3-9c90-e9410bc48239,_location_from-town,application,2026-01-16 13:35:08.158000+05:30,2026-01-16,Friday,'13:35:08.158000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_Profile Saved,application,2026-01-16 13:35:10.005000+05:30,2026-01-16,Friday,'13:35:10.005000
829b73ea-7385-41d3-9c90-e9410bc48239,_user,application,2026-01-16 13:35:21.440000+05:30,2026-01-16,Friday,'13:35:21.440000
829b73ea-7385-41d3-9c90-e9410bc48239,Onboarding_backpressed,application,2026-01-16 13:37:36.077000+05:30,2026-01-16,Friday,'13:37:36.077000
829b73ea-7385-41d3-9c90-e9410bc48239,Push Failure,system,2026-01-17 13:35:11.588000+05:30,2026-01-17,Saturday,'13:35:11.588000
