user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,DeviceInfo,application,2026-01-07 02:38:46.878000+05:30,2026-01-07,Wednesday,'02:38:46.878000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Session Started,system,2026-01-07 02:38:47.135000+05:30,2026-01-07,Wednesday,'02:38:47.135000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,App Installed,system,2026-01-07 02:38:47.178000+05:30,2026-01-07,Wednesday,'02:38:47.178000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Journey Started,system,2026-01-07 02:38:47.237000+05:30,2026-01-07,Wednesday,'02:38:47.237000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,app_start,application,2026-01-07 02:38:47.561000+05:30,2026-01-07,Wednesday,'02:38:47.561000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Push Subscribe Process - Device Registered (Push),system,2026-01-07 02:38:48.563000+05:30,2026-01-07,Wednesday,'02:38:48.563000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,choose_language,application,2026-01-07 02:38:49.598000+05:30,2026-01-07,Wednesday,'02:38:49.598000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Onboarding_Language,application,2026-01-07 02:38:49.608000+05:30,2026-01-07,Wednesday,'02:38:49.608000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,generate_otp,application,2026-01-07 02:39:08.845000+05:30,2026-01-07,Wednesday,'02:39:08.845000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Onboarding_get_otp,application,2026-01-07 02:39:08.855000+05:30,2026-01-07,Wednesday,'02:39:08.855000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Journey Ended,system,2026-01-07 02:39:09.045000+05:30,2026-01-07,Wednesday,'02:39:09.045000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Journey Started,system,2026-01-07 02:39:09.045000+05:30,2026-01-07,Wednesday,'02:39:09.045000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,_auth_generate-otp,application,2026-01-07 02:39:10.970000+05:30,2026-01-07,Wednesday,'02:39:10.970000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,get_otp,application,2026-01-07 02:39:10.978000+05:30,2026-01-07,Wednesday,'02:39:10.978000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,Onboarding_signup_,application,2026-01-07 02:39:10.987000+05:30,2026-01-07,Wednesday,'02:39:10.987000
8315a60c-a2b8-4004-8ecf-0e0176afbd7c,verify_otp,application,2026-01-07 02:39:16.509000+05:30,2026-01-07,Wednesday,'02:39:16.509000
