user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
84853445-bb65-42bb-bd55-1d3690a0ebc9,DeviceInfo,application,2026-01-07 21:50:22.188000+05:30,2026-01-07,Wednesday,'21:50:22.188000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Session Started,system,2026-01-07 21:50:22.695000+05:30,2026-01-07,Wednesday,'21:50:22.695000
84853445-bb65-42bb-bd55-1d3690a0ebc9,App Installed,system,2026-01-07 21:50:22.712000+05:30,2026-01-07,Wednesday,'21:50:22.712000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Started,system,2026-01-07 21:50:23.268000+05:30,2026-01-07,Wednesday,'21:50:23.268000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Push Subscribe Process - Device Registered (Push),system,2026-01-07 21:50:24.114000+05:30,2026-01-07,Wednesday,'21:50:24.114000
84853445-bb65-42bb-bd55-1d3690a0ebc9,app_start,application,2026-01-07 21:50:25.665000+05:30,2026-01-07,Wednesday,'21:50:25.665000
84853445-bb65-42bb-bd55-1d3690a0ebc9,choose_language,application,2026-01-07 21:50:29.426000+05:30,2026-01-07,Wednesday,'21:50:29.426000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_Language,application,2026-01-07 21:50:29.439000+05:30,2026-01-07,Wednesday,'21:50:29.439000
84853445-bb65-42bb-bd55-1d3690a0ebc9,choose_language,application,2026-01-07 21:50:30.385000+05:30,2026-01-07,Wednesday,'21:50:30.385000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_Language,application,2026-01-07 21:50:30.407000+05:30,2026-01-07,Wednesday,'21:50:30.407000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Ended,system,2026-01-07 21:50:32.213000+05:30,2026-01-07,Wednesday,'21:50:32.213000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Started,system,2026-01-07 21:50:32.213000+05:30,2026-01-07,Wednesday,'21:50:32.213000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Ended,system,2026-01-07 21:50:32.244000+05:30,2026-01-07,Wednesday,'21:50:32.244000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Started,system,2026-01-07 21:50:32.244000+05:30,2026-01-07,Wednesday,'21:50:32.244000
84853445-bb65-42bb-bd55-1d3690a0ebc9,choose_language,application,2026-01-07 21:50:33.325000+05:30,2026-01-07,Wednesday,'21:50:33.325000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_Language,application,2026-01-07 21:50:33.336000+05:30,2026-01-07,Wednesday,'21:50:33.336000
84853445-bb65-42bb-bd55-1d3690a0ebc9,generate_otp,application,2026-01-07 21:50:43.620000+05:30,2026-01-07,Wednesday,'21:50:43.620000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_get_otp,application,2026-01-07 21:50:43.638000+05:30,2026-01-07,Wednesday,'21:50:43.638000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Started,system,2026-01-07 21:50:44.187000+05:30,2026-01-07,Wednesday,'21:50:44.187000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Ended,system,2026-01-07 21:50:44.187000+05:30,2026-01-07,Wednesday,'21:50:44.187000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_auth_generate-otp,application,2026-01-07 21:50:45.315000+05:30,2026-01-07,Wednesday,'21:50:45.315000
84853445-bb65-42bb-bd55-1d3690a0ebc9,get_otp,application,2026-01-07 21:50:45.322000+05:30,2026-01-07,Wednesday,'21:50:45.322000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_signup_,application,2026-01-07 21:50:45.334000+05:30,2026-01-07,Wednesday,'21:50:45.334000
84853445-bb65-42bb-bd55-1d3690a0ebc9,verify_otp,application,2026-01-07 21:50:47.115000+05:30,2026-01-07,Wednesday,'21:50:47.115000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_auth_verify-otp,application,2026-01-07 21:50:47.390000+05:30,2026-01-07,Wednesday,'21:50:47.390000
84853445-bb65-42bb-bd55-1d3690a0ebc9,enter_otp,application,2026-01-07 21:50:47.417000+05:30,2026-01-07,Wednesday,'21:50:47.417000
84853445-bb65-42bb-bd55-1d3690a0ebc9,User Login,system,2026-01-07 21:50:47.463000+05:30,2026-01-07,Wednesday,'21:50:47.463000
84853445-bb65-42bb-bd55-1d3690a0ebc9,login,application,2026-01-07 21:50:48.070000+05:30,2026-01-07,Wednesday,'21:50:48.070000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user,application,2026-01-07 21:50:48.085000+05:30,2026-01-07,Wednesday,'21:50:48.085000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_from-town,application,2026-01-07 21:50:48.413000+05:30,2026-01-07,Wednesday,'21:50:48.413000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Onboarding_Profile Saved,application,2026-01-07 21:50:50.447000+05:30,2026-01-07,Wednesday,'21:50:50.447000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user,application,2026-01-07 21:50:57.733000+05:30,2026-01-07,Wednesday,'21:50:57.733000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_from-town,application,2026-01-07 21:51:01.396000+05:30,2026-01-07,Wednesday,'21:51:01.396000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_history_recommended-journey,application,2026-01-07 21:51:01.436000+05:30,2026-01-07,Wednesday,'21:51:01.436000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user_device,application,2026-01-07 21:51:01.762000+05:30,2026-01-07,Wednesday,'21:51:01.762000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user,application,2026-01-07 21:51:01.774000+05:30,2026-01-07,Wednesday,'21:51:01.774000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_special-town-search,application,2026-01-07 21:51:01.999000+05:30,2026-01-07,Wednesday,'21:51:01.999000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_ticket,application,2026-01-07 21:51:02.028000+05:30,2026-01-07,Wednesday,'21:51:02.028000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_special-town-search,application,2026-01-07 21:51:03.464000+05:30,2026-01-07,Wednesday,'21:51:03.464000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_elastic-town-search,application,2026-01-07 21:51:03.830000+05:30,2026-01-07,Wednesday,'21:51:03.830000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_special-town-search,application,2026-01-07 21:51:59.515000+05:30,2026-01-07,Wednesday,'21:51:59.515000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_location_elastic-town-search,application,2026-01-07 21:51:59.826000+05:30,2026-01-07,Wednesday,'21:51:59.826000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Buslist_date change,application,2026-01-07 21:52:10.807000+05:30,2026-01-07,Wednesday,'21:52:10.807000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user,application,2026-01-07 21:52:11.191000+05:30,2026-01-07,Wednesday,'21:52:11.191000
84853445-bb65-42bb-bd55-1d3690a0ebc9,pageview_bus_list,application,2026-01-07 21:52:11.201000+05:30,2026-01-07,Wednesday,'21:52:11.201000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_bus-search_user-bus-search,application,2026-01-07 21:52:11.292000+05:30,2026-01-07,Wednesday,'21:52:11.292000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_bus-search_list,application,2026-01-07 21:52:13.393000+05:30,2026-01-07,Wednesday,'21:52:13.393000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_rewards_best-V2,application,2026-01-07 21:52:14.901000+05:30,2026-01-07,Wednesday,'21:52:14.901000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Buslist_date change,application,2026-01-07 21:52:14.940000+05:30,2026-01-07,Wednesday,'21:52:14.940000
84853445-bb65-42bb-bd55-1d3690a0ebc9,bus_search,application,2026-01-07 21:52:14.970000+05:30,2026-01-07,Wednesday,'21:52:14.970000
84853445-bb65-42bb-bd55-1d3690a0ebc9,bus_result,application,2026-01-07 21:52:14.983000+05:30,2026-01-07,Wednesday,'21:52:14.983000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Buslist_date change,application,2026-01-07 21:52:18.507000+05:30,2026-01-07,Wednesday,'21:52:18.507000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_user,application,2026-01-07 21:52:18.882000+05:30,2026-01-07,Wednesday,'21:52:18.882000
84853445-bb65-42bb-bd55-1d3690a0ebc9,pageview_bus_list,application,2026-01-07 21:52:18.906000+05:30,2026-01-07,Wednesday,'21:52:18.906000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_bus-search_user-bus-search,application,2026-01-07 21:52:19.110000+05:30,2026-01-07,Wednesday,'21:52:19.110000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Started,system,2026-01-07 21:52:19.484000+05:30,2026-01-07,Wednesday,'21:52:19.484000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_bus-search_list,application,2026-01-07 21:52:20.943000+05:30,2026-01-07,Wednesday,'21:52:20.943000
84853445-bb65-42bb-bd55-1d3690a0ebc9,_rewards_best-V2,application,2026-01-07 21:52:21.185000+05:30,2026-01-07,Wednesday,'21:52:21.185000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Buslist_date change,application,2026-01-07 21:52:21.209000+05:30,2026-01-07,Wednesday,'21:52:21.209000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Push Failure,system,2026-01-07 22:07:51.986000+05:30,2026-01-07,Wednesday,'22:07:51.986000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Journey Ended,system,2026-01-08 04:20:11.580000+05:30,2026-01-08,Thursday,'04:20:11.580000
84853445-bb65-42bb-bd55-1d3690a0ebc9,Push Failure,system,2026-01-08 21:50:54.309000+05:30,2026-01-08,Thursday,'21:50:54.309000
