user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
84bb184e-12e6-490c-9d98-4eabd6e08a14,DeviceInfo,application,2026-01-13 19:07:00.200000+05:30,2026-01-13,Tuesday,'19:07:00.200000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Session Started,system,2026-01-13 19:07:00.911000+05:30,2026-01-13,Tuesday,'19:07:00.911000
84bb184e-12e6-490c-9d98-4eabd6e08a14,App Installed,system,2026-01-13 19:07:00.911000+05:30,2026-01-13,Tuesday,'19:07:00.911000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Journey Started,system,2026-01-13 19:07:01.127000+05:30,2026-01-13,Tuesday,'19:07:01.127000
84bb184e-12e6-490c-9d98-4eabd6e08a14,app_start,application,2026-01-13 19:07:13.885000+05:30,2026-01-13,Tuesday,'19:07:13.885000
84bb184e-12e6-490c-9d98-4eabd6e08a14,choose_language,application,2026-01-13 19:07:16.725000+05:30,2026-01-13,Tuesday,'19:07:16.725000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Onboarding_Language,application,2026-01-13 19:07:16.733000+05:30,2026-01-13,Tuesday,'19:07:16.733000
84bb184e-12e6-490c-9d98-4eabd6e08a14,generate_otp,application,2026-01-13 19:07:34.433000+05:30,2026-01-13,Tuesday,'19:07:34.433000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Onboarding_get_otp,application,2026-01-13 19:07:34.464000+05:30,2026-01-13,Tuesday,'19:07:34.464000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Journey Ended,system,2026-01-13 19:07:34.525000+05:30,2026-01-13,Tuesday,'19:07:34.525000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Journey Started,system,2026-01-13 19:07:34.525000+05:30,2026-01-13,Tuesday,'19:07:34.525000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_auth_generate-otp,application,2026-01-13 19:07:35.690000+05:30,2026-01-13,Tuesday,'19:07:35.690000
84bb184e-12e6-490c-9d98-4eabd6e08a14,get_otp,application,2026-01-13 19:07:35.702000+05:30,2026-01-13,Tuesday,'19:07:35.702000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Onboarding_signup_,application,2026-01-13 19:07:35.719000+05:30,2026-01-13,Tuesday,'19:07:35.719000
84bb184e-12e6-490c-9d98-4eabd6e08a14,verify_otp,application,2026-01-13 19:07:39.396000+05:30,2026-01-13,Tuesday,'19:07:39.396000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_auth_verify-otp,application,2026-01-13 19:07:39.868000+05:30,2026-01-13,Tuesday,'19:07:39.868000
84bb184e-12e6-490c-9d98-4eabd6e08a14,enter_otp,application,2026-01-13 19:07:40.096000+05:30,2026-01-13,Tuesday,'19:07:40.096000
84bb184e-12e6-490c-9d98-4eabd6e08a14,User Login,system,2026-01-13 19:07:40.123000+05:30,2026-01-13,Tuesday,'19:07:40.123000
84bb184e-12e6-490c-9d98-4eabd6e08a14,login,application,2026-01-13 19:07:40.599000+05:30,2026-01-13,Tuesday,'19:07:40.599000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-13 19:07:40.614000+05:30,2026-01-13,Tuesday,'19:07:40.614000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_from-town,application,2026-01-13 19:07:41.142000+05:30,2026-01-13,Tuesday,'19:07:41.142000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Onboarding_backpressed,application,2026-01-13 19:07:52.236000+05:30,2026-01-13,Tuesday,'19:07:52.236000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Session Started,system,2026-01-13 19:09:02.597000+05:30,2026-01-13,Tuesday,'19:09:02.597000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_history_recommended-journey,application,2026-01-13 19:09:08.716000+05:30,2026-01-13,Tuesday,'19:09:08.716000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-13 19:09:08.781000+05:30,2026-01-13,Tuesday,'19:09:08.781000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user_device,application,2026-01-13 19:09:08.826000+05:30,2026-01-13,Tuesday,'19:09:08.826000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-13 19:09:08.977000+05:30,2026-01-13,Tuesday,'19:09:08.977000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_from-town,application,2026-01-13 19:09:08.977000+05:30,2026-01-13,Tuesday,'19:09:08.977000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_ticket,application,2026-01-13 19:09:09.532000+05:30,2026-01-13,Tuesday,'19:09:09.532000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_special-town-search,application,2026-01-13 19:09:09.612000+05:30,2026-01-13,Tuesday,'19:09:09.612000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_elastic-town-search,application,2026-01-13 19:09:13.494000+05:30,2026-01-13,Tuesday,'19:09:13.494000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_special-town-search,application,2026-01-13 19:10:27.794000+05:30,2026-01-13,Tuesday,'19:10:27.794000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Buslist_date change,application,2026-01-13 19:10:47.198000+05:30,2026-01-13,Tuesday,'19:10:47.198000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-13 19:10:49.370000+05:30,2026-01-13,Tuesday,'19:10:49.370000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_bus-search_user-bus-search,application,2026-01-13 19:10:49.388000+05:30,2026-01-13,Tuesday,'19:10:49.388000
84bb184e-12e6-490c-9d98-4eabd6e08a14,pageview_bus_list,application,2026-01-13 19:10:49.461000+05:30,2026-01-13,Tuesday,'19:10:49.461000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_bus-search_list,application,2026-01-13 19:10:51.293000+05:30,2026-01-13,Tuesday,'19:10:51.293000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_rewards_best-V2,application,2026-01-13 19:10:52.701000+05:30,2026-01-13,Tuesday,'19:10:52.701000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Buslist_date change,application,2026-01-13 19:10:52.797000+05:30,2026-01-13,Tuesday,'19:10:52.797000
84bb184e-12e6-490c-9d98-4eabd6e08a14,bus_search,application,2026-01-13 19:10:52.805000+05:30,2026-01-13,Tuesday,'19:10:52.805000
84bb184e-12e6-490c-9d98-4eabd6e08a14,bus_result,application,2026-01-13 19:10:52.810000+05:30,2026-01-13,Tuesday,'19:10:52.810000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_elastic-town-search,application,2026-01-13 19:11:06.826000+05:30,2026-01-13,Tuesday,'19:11:06.826000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_special-town-search,application,2026-01-13 19:11:06.826000+05:30,2026-01-13,Tuesday,'19:11:06.826000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Journey Started,system,2026-01-13 19:11:06.843000+05:30,2026-01-13,Tuesday,'19:11:06.843000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Push Failure,system,2026-01-13 19:26:18.504000+05:30,2026-01-13,Tuesday,'19:26:18.504000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Push Subscribe Process - Device Registered (Push),system,2026-01-13 22:16:26.415000+05:30,2026-01-13,Tuesday,'22:16:26.415000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Journey Ended,system,2026-01-14 01:26:46.685000+05:30,2026-01-14,Wednesday,'01:26:46.685000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Push Failure,system,2026-01-14 19:07:23.269000+05:30,2026-01-14,Wednesday,'19:07:23.269000
84bb184e-12e6-490c-9d98-4eabd6e08a14,Session Started,system,2026-01-15 11:45:56.664000+05:30,2026-01-15,Thursday,'11:45:56.664000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_history_recommended-journey,application,2026-01-15 11:45:58.719000+05:30,2026-01-15,Thursday,'11:45:58.719000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-15 11:45:58.719000+05:30,2026-01-15,Thursday,'11:45:58.719000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_from-town,application,2026-01-15 11:45:58.720000+05:30,2026-01-15,Thursday,'11:45:58.720000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_user,application,2026-01-15 11:45:58.720000+05:30,2026-01-15,Thursday,'11:45:58.720000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_special-town-search,application,2026-01-15 11:45:58.720000+05:30,2026-01-15,Thursday,'11:45:58.720000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_ticket,application,2026-01-15 11:45:59.322000+05:30,2026-01-15,Thursday,'11:45:59.322000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_special-town-search,application,2026-01-15 11:46:11.696000+05:30,2026-01-15,Thursday,'11:46:11.696000
84bb184e-12e6-490c-9d98-4eabd6e08a14,_location_elastic-town-search,application,2026-01-15 11:46:22.289000+05:30,2026-01-15,Thursday,'11:46:22.289000
