user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
855322b9-b2d6-4300-9e55-af651cd542a8,DeviceInfo,application,2026-01-04 22:26:26.613000+05:30,2026-01-04,Sunday,'22:26:26.613000
855322b9-b2d6-4300-9e55-af651cd542a8,Session Started,system,2026-01-04 22:26:27.219000+05:30,2026-01-04,Sunday,'22:26:27.219000
855322b9-b2d6-4300-9e55-af651cd542a8,App Installed,system,2026-01-04 22:26:27.237000+05:30,2026-01-04,Sunday,'22:26:27.237000
855322b9-b2d6-4300-9e55-af651cd542a8,Journey Started,system,2026-01-04 22:26:27.336000+05:30,2026-01-04,Sunday,'22:26:27.336000
855322b9-b2d6-4300-9e55-af651cd542a8,app_start,application,2026-01-04 22:26:27.806000+05:30,2026-01-04,Sunday,'22:26:27.806000
855322b9-b2d6-4300-9e55-af651cd542a8,Push Subscribe Process - Device Registered (Push),system,2026-01-04 22:26:28.631000+05:30,2026-01-04,Sunday,'22:26:28.631000
855322b9-b2d6-4300-9e55-af651cd542a8,choose_language,application,2026-01-04 22:26:30.578000+05:30,2026-01-04,Sunday,'22:26:30.578000
855322b9-b2d6-4300-9e55-af651cd542a8,Onboarding_Language,application,2026-01-04 22:26:30.619000+05:30,2026-01-04,Sunday,'22:26:30.619000
855322b9-b2d6-4300-9e55-af651cd542a8,choose_language,application,2026-01-04 22:26:31.404000+05:30,2026-01-04,Sunday,'22:26:31.404000
855322b9-b2d6-4300-9e55-af651cd542a8,Onboarding_Language,application,2026-01-04 22:26:31.413000+05:30,2026-01-04,Sunday,'22:26:31.413000
855322b9-b2d6-4300-9e55-af651cd542a8,Journey Started,system,2026-01-04 22:26:31.884000+05:30,2026-01-04,Sunday,'22:26:31.884000
855322b9-b2d6-4300-9e55-af651cd542a8,Journey Ended,system,2026-01-04 22:26:31.885000+05:30,2026-01-04,Sunday,'22:26:31.885000
855322b9-b2d6-4300-9e55-af651cd542a8,Journey Started,system,2026-01-04 22:26:31.955000+05:30,2026-01-04,Sunday,'22:26:31.955000
855322b9-b2d6-4300-9e55-af651cd542a8,generate_otp,application,2026-01-04 22:26:41.275000+05:30,2026-01-04,Sunday,'22:26:41.275000
855322b9-b2d6-4300-9e55-af651cd542a8,Onboarding_get_otp,application,2026-01-04 22:26:41.300000+05:30,2026-01-04,Sunday,'22:26:41.300000
855322b9-b2d6-4300-9e55-af651cd542a8,_auth_generate-otp,application,2026-01-04 22:26:42.581000+05:30,2026-01-04,Sunday,'22:26:42.581000
855322b9-b2d6-4300-9e55-af651cd542a8,get_otp,application,2026-01-04 22:26:42.591000+05:30,2026-01-04,Sunday,'22:26:42.591000
