user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
85f677ad-f789-44cf-92e8-47cd08b83192,DeviceInfo,application,2026-01-07 16:34:17.362000+05:30,2026-01-07,Wednesday,'16:34:17.362000
85f677ad-f789-44cf-92e8-47cd08b83192,Session Started,system,2026-01-07 16:34:18.407000+05:30,2026-01-07,Wednesday,'16:34:18.407000
85f677ad-f789-44cf-92e8-47cd08b83192,App Installed,system,2026-01-07 16:34:18.485000+05:30,2026-01-07,Wednesday,'16:34:18.485000
85f677ad-f789-44cf-92e8-47cd08b83192,Journey Started,system,2026-01-07 16:34:18.646000+05:30,2026-01-07,Wednesday,'16:34:18.646000
85f677ad-f789-44cf-92e8-47cd08b83192,Push Subscribe Process - Device Registered (Push),system,2026-01-07 16:34:24.373000+05:30,2026-01-07,Wednesday,'16:34:24.373000
85f677ad-f789-44cf-92e8-47cd08b83192,app_start,application,2026-01-07 16:34:34.504000+05:30,2026-01-07,Wednesday,'16:34:34.504000
85f677ad-f789-44cf-92e8-47cd08b83192,choose_language,application,2026-01-07 16:34:40.068000+05:30,2026-01-07,Wednesday,'16:34:40.068000
85f677ad-f789-44cf-92e8-47cd08b83192,Onboarding_Language,application,2026-01-07 16:34:40.079000+05:30,2026-01-07,Wednesday,'16:34:40.079000
85f677ad-f789-44cf-92e8-47cd08b83192,generate_otp,application,2026-01-07 16:34:51.781000+05:30,2026-01-07,Wednesday,'16:34:51.781000
85f677ad-f789-44cf-92e8-47cd08b83192,Onboarding_get_otp,application,2026-01-07 16:34:51.894000+05:30,2026-01-07,Wednesday,'16:34:51.894000
85f677ad-f789-44cf-92e8-47cd08b83192,Journey Ended,system,2026-01-07 16:34:51.902000+05:30,2026-01-07,Wednesday,'16:34:51.902000
85f677ad-f789-44cf-92e8-47cd08b83192,Journey Started,system,2026-01-07 16:34:51.902000+05:30,2026-01-07,Wednesday,'16:34:51.902000
85f677ad-f789-44cf-92e8-47cd08b83192,_auth_generate-otp,application,2026-01-07 16:34:54.151000+05:30,2026-01-07,Wednesday,'16:34:54.151000
85f677ad-f789-44cf-92e8-47cd08b83192,get_otp,application,2026-01-07 16:34:54.167000+05:30,2026-01-07,Wednesday,'16:34:54.167000
85f677ad-f789-44cf-92e8-47cd08b83192,Onboarding_signup_,application,2026-01-07 16:34:54.190000+05:30,2026-01-07,Wednesday,'16:34:54.190000
85f677ad-f789-44cf-92e8-47cd08b83192,_auth_verify-otp,application,2026-01-07 16:34:58.545000+05:30,2026-01-07,Wednesday,'16:34:58.545000
85f677ad-f789-44cf-92e8-47cd08b83192,verify_otp,application,2026-01-07 16:34:58.545000+05:30,2026-01-07,Wednesday,'16:34:58.545000
85f677ad-f789-44cf-92e8-47cd08b83192,enter_otp,application,2026-01-07 16:34:59.098000+05:30,2026-01-07,Wednesday,'16:34:59.098000
85f677ad-f789-44cf-92e8-47cd08b83192,User Login,system,2026-01-07 16:34:59.114000+05:30,2026-01-07,Wednesday,'16:34:59.114000
85f677ad-f789-44cf-92e8-47cd08b83192,login,application,2026-01-07 16:34:59.818000+05:30,2026-01-07,Wednesday,'16:34:59.818000
85f677ad-f789-44cf-92e8-47cd08b83192,_user,application,2026-01-07 16:34:59.826000+05:30,2026-01-07,Wednesday,'16:34:59.826000
