user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
88899114-65e4-4057-86b4-c54249bb99b5,DeviceInfo,application,2026-01-15 12:04:52.409000+05:30,2026-01-15,Thursday,'12:04:52.409000
88899114-65e4-4057-86b4-c54249bb99b5,Session Started,system,2026-01-15 12:04:53.273000+05:30,2026-01-15,Thursday,'12:04:53.273000
88899114-65e4-4057-86b4-c54249bb99b5,App Installed,system,2026-01-15 12:04:53.842000+05:30,2026-01-15,Thursday,'12:04:53.842000
88899114-65e4-4057-86b4-c54249bb99b5,Push Subscribe Process - Device Registered (Push),system,2026-01-15 12:04:54.350000+05:30,2026-01-15,Thursday,'12:04:54.350000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Started,system,2026-01-15 12:04:54.999000+05:30,2026-01-15,Thursday,'12:04:54.999000
88899114-65e4-4057-86b4-c54249bb99b5,app_start,application,2026-01-15 12:04:57.549000+05:30,2026-01-15,Thursday,'12:04:57.549000
88899114-65e4-4057-86b4-c54249bb99b5,choose_language,application,2026-01-15 12:05:02.617000+05:30,2026-01-15,Thursday,'12:05:02.617000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_Language,application,2026-01-15 12:05:02.669000+05:30,2026-01-15,Thursday,'12:05:02.669000
88899114-65e4-4057-86b4-c54249bb99b5,choose_language,application,2026-01-15 12:05:03.263000+05:30,2026-01-15,Thursday,'12:05:03.263000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_Language,application,2026-01-15 12:05:03.354000+05:30,2026-01-15,Thursday,'12:05:03.354000
88899114-65e4-4057-86b4-c54249bb99b5,choose_language,application,2026-01-15 12:05:04.276000+05:30,2026-01-15,Thursday,'12:05:04.276000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_Language,application,2026-01-15 12:05:04.321000+05:30,2026-01-15,Thursday,'12:05:04.321000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Ended,system,2026-01-15 12:05:04.507000+05:30,2026-01-15,Thursday,'12:05:04.507000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Started,system,2026-01-15 12:05:04.507000+05:30,2026-01-15,Thursday,'12:05:04.507000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Ended,system,2026-01-15 12:05:04.518000+05:30,2026-01-15,Thursday,'12:05:04.518000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Started,system,2026-01-15 12:05:04.518000+05:30,2026-01-15,Thursday,'12:05:04.518000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Ended,system,2026-01-15 12:05:41.283000+05:30,2026-01-15,Thursday,'12:05:41.283000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Started,system,2026-01-15 12:05:41.283000+05:30,2026-01-15,Thursday,'12:05:41.283000
88899114-65e4-4057-86b4-c54249bb99b5,Session Started,system,2026-01-15 12:14:19.085000+05:30,2026-01-15,Thursday,'12:14:19.085000
88899114-65e4-4057-86b4-c54249bb99b5,Push Sent,system,2026-01-15 12:59:56.894000+05:30,2026-01-15,Thursday,'12:59:56.894000
88899114-65e4-4057-86b4-c54249bb99b5,Session Started,system,2026-01-15 16:49:04.675000+05:30,2026-01-15,Thursday,'16:49:04.675000
88899114-65e4-4057-86b4-c54249bb99b5,choose_language,application,2026-01-15 16:49:53.396000+05:30,2026-01-15,Thursday,'16:49:53.396000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_Language,application,2026-01-15 16:49:53.428000+05:30,2026-01-15,Thursday,'16:49:53.428000
88899114-65e4-4057-86b4-c54249bb99b5,generate_otp,application,2026-01-15 16:50:07.234000+05:30,2026-01-15,Thursday,'16:50:07.234000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_get_otp,application,2026-01-15 16:50:07.274000+05:30,2026-01-15,Thursday,'16:50:07.274000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Started,system,2026-01-15 16:50:07.952000+05:30,2026-01-15,Thursday,'16:50:07.952000
88899114-65e4-4057-86b4-c54249bb99b5,Journey Ended,system,2026-01-15 16:50:07.952000+05:30,2026-01-15,Thursday,'16:50:07.952000
88899114-65e4-4057-86b4-c54249bb99b5,_auth_generate-otp,application,2026-01-15 16:50:08.662000+05:30,2026-01-15,Thursday,'16:50:08.662000
88899114-65e4-4057-86b4-c54249bb99b5,get_otp,application,2026-01-15 16:50:08.678000+05:30,2026-01-15,Thursday,'16:50:08.678000
88899114-65e4-4057-86b4-c54249bb99b5,Onboarding_signup_,application,2026-01-15 16:50:08.791000+05:30,2026-01-15,Thursday,'16:50:08.791000
88899114-65e4-4057-86b4-c54249bb99b5,verify_otp,application,2026-01-15 16:50:34.750000+05:30,2026-01-15,Thursday,'16:50:34.750000
88899114-65e4-4057-86b4-c54249bb99b5,_auth_verify-otp,application,2026-01-15 16:50:35.235000+05:30,2026-01-15,Thursday,'16:50:35.235000
88899114-65e4-4057-86b4-c54249bb99b5,enter_otp,application,2026-01-15 16:50:35.283000+05:30,2026-01-15,Thursday,'16:50:35.283000
