user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
895a12be-0330-4229-a374-e1e31715fa01,App Installed,system,2026-01-05 06:59:34.541000+05:30,2026-01-05,Monday,'06:59:34.541000
895a12be-0330-4229-a374-e1e31715fa01,Buslist_date change,application,2026-01-05 07:03:17.470000+05:30,2026-01-05,Monday,'07:03:17.470000
895a12be-0330-4229-a374-e1e31715fa01,Buslist_date change,application,2026-01-05 07:03:19.849000+05:30,2026-01-05,Monday,'07:03:19.849000
895a12be-0330-4229-a374-e1e31715fa01,Buslist_date change,application,2026-01-05 07:03:27.468000+05:30,2026-01-05,Monday,'07:03:27.468000
895a12be-0330-4229-a374-e1e31715fa01,Buslist_date change,application,2026-01-05 07:03:29.020000+05:30,2026-01-05,Monday,'07:03:29.020000
895a12be-0330-4229-a374-e1e31715fa01,DeviceInfo,application,2026-01-05 06:59:34.249000+05:30,2026-01-05,Monday,'06:59:34.249000
895a12be-0330-4229-a374-e1e31715fa01,Journey Ended,system,2026-01-05 06:59:47.146000+05:30,2026-01-05,Monday,'06:59:47.146000
895a12be-0330-4229-a374-e1e31715fa01,Journey Ended,system,2026-01-05 13:19:20.210000+05:30,2026-01-05,Monday,'13:19:20.210000
895a12be-0330-4229-a374-e1e31715fa01,Journey Started,system,2026-01-05 06:59:34.876000+05:30,2026-01-05,Monday,'06:59:34.876000
895a12be-0330-4229-a374-e1e31715fa01,Journey Started,system,2026-01-05 06:59:47.146000+05:30,2026-01-05,Monday,'06:59:47.146000
895a12be-0330-4229-a374-e1e31715fa01,Journey Started,system,2026-01-05 07:03:27.809000+05:30,2026-01-05,Monday,'07:03:27.809000
895a12be-0330-4229-a374-e1e31715fa01,Onboarding_Language,application,2026-01-05 06:59:37.695000+05:30,2026-01-05,Monday,'06:59:37.695000
895a12be-0330-4229-a374-e1e31715fa01,Onboarding_Profile Saved,application,2026-01-05 06:59:55.925000+05:30,2026-01-05,Monday,'06:59:55.925000
895a12be-0330-4229-a374-e1e31715fa01,Onboarding_get_otp,application,2026-01-05 06:59:46.676000+05:30,2026-01-05,Monday,'06:59:46.676000
895a12be-0330-4229-a374-e1e31715fa01,Onboarding_signup_,application,2026-01-05 06:59:49.859000+05:30,2026-01-05,Monday,'06:59:49.859000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-05 07:18:49.834000+05:30,2026-01-05,Monday,'07:18:49.834000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-06 06:59:50.665000+05:30,2026-01-06,Tuesday,'06:59:50.665000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-07 07:00:20.182000+05:30,2026-01-07,Wednesday,'07:00:20.182000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-08 07:00:47.626000+05:30,2026-01-08,Thursday,'07:00:47.626000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-09 07:00:54.717000+05:30,2026-01-09,Friday,'07:00:54.717000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-10 07:01:14.010000+05:30,2026-01-10,Saturday,'07:01:14.010000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-12 07:01:42.290000+05:30,2026-01-12,Monday,'07:01:42.290000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-14 07:01:47.495000+05:30,2026-01-14,Wednesday,'07:01:47.495000
895a12be-0330-4229-a374-e1e31715fa01,Push Failure,system,2026-01-16 07:02:16.518000+05:30,2026-01-16,Friday,'07:02:16.518000
895a12be-0330-4229-a374-e1e31715fa01,Push Subscribe Process - Device Registered (Push),system,2026-01-05 06:59:36.802000+05:30,2026-01-05,Monday,'06:59:36.802000
895a12be-0330-4229-a374-e1e31715fa01,Session Started,system,2026-01-05 06:59:34.521000+05:30,2026-01-05,Monday,'06:59:34.521000
895a12be-0330-4229-a374-e1e31715fa01,User Login,system,2026-01-05 06:59:53.320000+05:30,2026-01-05,Monday,'06:59:53.320000
895a12be-0330-4229-a374-e1e31715fa01,_auth_generate-otp,application,2026-01-05 06:59:49.843000+05:30,2026-01-05,Monday,'06:59:49.843000
895a12be-0330-4229-a374-e1e31715fa01,_auth_verify-otp,application,2026-01-05 06:59:53.271000+05:30,2026-01-05,Monday,'06:59:53.271000
895a12be-0330-4229-a374-e1e31715fa01,_bus-search_list,application,2026-01-05 07:03:19.238000+05:30,2026-01-05,Monday,'07:03:19.238000
895a12be-0330-4229-a374-e1e31715fa01,_bus-search_list,application,2026-01-05 07:03:28.837000+05:30,2026-01-05,Monday,'07:03:28.837000
895a12be-0330-4229-a374-e1e31715fa01,_bus-search_user-bus-search,application,2026-01-05 07:03:17.841000+05:30,2026-01-05,Monday,'07:03:17.841000
895a12be-0330-4229-a374-e1e31715fa01,_bus-search_user-bus-search,application,2026-01-05 07:03:27.654000+05:30,2026-01-05,Monday,'07:03:27.654000
895a12be-0330-4229-a374-e1e31715fa01,_history_recommended-journey,application,2026-01-05 07:00:09.433000+05:30,2026-01-05,Monday,'07:00:09.433000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:16.490000+05:30,2026-01-05,Monday,'07:00:16.490000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:34.973000+05:30,2026-01-05,Monday,'07:00:34.973000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:35.187000+05:30,2026-01-05,Monday,'07:00:35.187000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:36.951000+05:30,2026-01-05,Monday,'07:00:36.951000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:42.153000+05:30,2026-01-05,Monday,'07:00:42.153000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:42.408000+05:30,2026-01-05,Monday,'07:00:42.408000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:44.149000+05:30,2026-01-05,Monday,'07:00:44.149000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:44.405000+05:30,2026-01-05,Monday,'07:00:44.405000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:48.455000+05:30,2026-01-05,Monday,'07:00:48.455000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:00:48.714000+05:30,2026-01-05,Monday,'07:00:48.714000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:01:06.019000+05:30,2026-01-05,Monday,'07:01:06.019000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:01:06.328000+05:30,2026-01-05,Monday,'07:01:06.328000
895a12be-0330-4229-a374-e1e31715fa01,_location_elastic-town-search,application,2026-01-05 07:01:08.002000+05:30,2026-01-05,Monday,'07:01:08.002000
