user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
897ffce1-6fe0-4a87-8e57-8819c58eac11,DeviceInfo,application,2026-01-08 18:32:14.561000+05:30,2026-01-08,Thursday,'18:32:14.561000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Session Started,system,2026-01-08 18:32:14.807000+05:30,2026-01-08,Thursday,'18:32:14.807000
897ffce1-6fe0-4a87-8e57-8819c58eac11,App Installed,system,2026-01-08 18:32:14.830000+05:30,2026-01-08,Thursday,'18:32:14.830000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Journey Started,system,2026-01-08 18:32:15.137000+05:30,2026-01-08,Thursday,'18:32:15.137000
897ffce1-6fe0-4a87-8e57-8819c58eac11,app_start,application,2026-01-08 18:32:15.714000+05:30,2026-01-08,Thursday,'18:32:15.714000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Push Subscribe Process - Device Registered (Push),system,2026-01-08 18:32:16.546000+05:30,2026-01-08,Thursday,'18:32:16.546000
897ffce1-6fe0-4a87-8e57-8819c58eac11,choose_language,application,2026-01-08 18:32:20.091000+05:30,2026-01-08,Thursday,'18:32:20.091000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_Language,application,2026-01-08 18:32:20.103000+05:30,2026-01-08,Thursday,'18:32:20.103000
897ffce1-6fe0-4a87-8e57-8819c58eac11,generate_otp,application,2026-01-08 18:32:28.718000+05:30,2026-01-08,Thursday,'18:32:28.718000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_get_otp,application,2026-01-08 18:32:28.731000+05:30,2026-01-08,Thursday,'18:32:28.731000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Journey Ended,system,2026-01-08 18:32:29.461000+05:30,2026-01-08,Thursday,'18:32:29.461000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Journey Started,system,2026-01-08 18:32:29.461000+05:30,2026-01-08,Thursday,'18:32:29.461000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_auth_generate-otp,application,2026-01-08 18:32:29.708000+05:30,2026-01-08,Thursday,'18:32:29.708000
897ffce1-6fe0-4a87-8e57-8819c58eac11,get_otp,application,2026-01-08 18:32:29.722000+05:30,2026-01-08,Thursday,'18:32:29.722000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_signup_,application,2026-01-08 18:32:29.738000+05:30,2026-01-08,Thursday,'18:32:29.738000
897ffce1-6fe0-4a87-8e57-8819c58eac11,verify_otp,application,2026-01-08 18:32:32.483000+05:30,2026-01-08,Thursday,'18:32:32.483000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_auth_verify-otp,application,2026-01-08 18:32:32.757000+05:30,2026-01-08,Thursday,'18:32:32.757000
897ffce1-6fe0-4a87-8e57-8819c58eac11,enter_otp,application,2026-01-08 18:32:32.793000+05:30,2026-01-08,Thursday,'18:32:32.793000
897ffce1-6fe0-4a87-8e57-8819c58eac11,User Login,system,2026-01-08 18:32:32.807000+05:30,2026-01-08,Thursday,'18:32:32.807000
897ffce1-6fe0-4a87-8e57-8819c58eac11,login,application,2026-01-08 18:32:33.099000+05:30,2026-01-08,Thursday,'18:32:33.099000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_user,application,2026-01-08 18:32:33.108000+05:30,2026-01-08,Thursday,'18:32:33.108000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_location_from-town,application,2026-01-08 18:32:33.421000+05:30,2026-01-08,Thursday,'18:32:33.421000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_Profile Saved,application,2026-01-08 18:34:05.596000+05:30,2026-01-08,Thursday,'18:34:05.596000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_user,application,2026-01-08 18:34:08.057000+05:30,2026-01-08,Thursday,'18:34:08.057000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_backpressed,application,2026-01-08 18:34:55.110000+05:30,2026-01-08,Thursday,'18:34:55.110000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Onboarding_Profile Saved,application,2026-01-08 18:35:06.015000+05:30,2026-01-08,Thursday,'18:35:06.015000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Push Failure,system,2026-01-09 18:32:28.689000+05:30,2026-01-09,Friday,'18:32:28.689000
897ffce1-6fe0-4a87-8e57-8819c58eac11,Session Started,system,2026-01-10 19:15:13.229000+05:30,2026-01-10,Saturday,'19:15:13.229000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_location_from-town,application,2026-01-10 19:15:17.815000+05:30,2026-01-10,Saturday,'19:15:17.815000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_history_recommended-journey,application,2026-01-10 19:15:17.930000+05:30,2026-01-10,Saturday,'19:15:17.930000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_user,application,2026-01-10 19:15:17.944000+05:30,2026-01-10,Saturday,'19:15:17.944000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_user_device,application,2026-01-10 19:15:17.983000+05:30,2026-01-10,Saturday,'19:15:17.983000
897ffce1-6fe0-4a87-8e57-8819c58eac11,_user,application,2026-01-10 19:15:18.397000+05:30,2026-01-10,Saturday,'19:15:18.397000
