user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
89d4183f-1ec7-4763-a9b3-5cfd8a450736,DeviceInfo,application,2026-01-08 21:35:30.602000+05:30,2026-01-08,Thursday,'21:35:30.602000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Session Started,system,2026-01-08 21:35:37.059000+05:30,2026-01-08,Thursday,'21:35:37.059000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,App Installed,system,2026-01-08 21:35:37.082000+05:30,2026-01-08,Thursday,'21:35:37.082000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Push Subscribe Process - Device Registered (Push),system,2026-01-08 21:35:37.110000+05:30,2026-01-08,Thursday,'21:35:37.110000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Journey Started,system,2026-01-08 21:35:40.471000+05:30,2026-01-08,Thursday,'21:35:40.471000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Session Started,system,2026-01-08 21:38:13.538000+05:30,2026-01-08,Thursday,'21:38:13.538000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,choose_language,application,2026-01-08 21:38:22.442000+05:30,2026-01-08,Thursday,'21:38:22.442000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Onboarding_Language,application,2026-01-08 21:38:22.452000+05:30,2026-01-08,Thursday,'21:38:22.452000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,generate_otp,application,2026-01-08 21:38:36.427000+05:30,2026-01-08,Thursday,'21:38:36.427000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Onboarding_get_otp,application,2026-01-08 21:38:36.447000+05:30,2026-01-08,Thursday,'21:38:36.447000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Journey Started,system,2026-01-08 21:38:37.558000+05:30,2026-01-08,Thursday,'21:38:37.558000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Journey Ended,system,2026-01-08 21:38:37.558000+05:30,2026-01-08,Thursday,'21:38:37.558000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_auth_generate-otp,application,2026-01-08 21:38:38.101000+05:30,2026-01-08,Thursday,'21:38:38.101000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,get_otp,application,2026-01-08 21:38:38.116000+05:30,2026-01-08,Thursday,'21:38:38.116000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Onboarding_signup_,application,2026-01-08 21:38:38.134000+05:30,2026-01-08,Thursday,'21:38:38.134000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,verify_otp,application,2026-01-08 21:38:42.205000+05:30,2026-01-08,Thursday,'21:38:42.205000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_auth_verify-otp,application,2026-01-08 21:38:43.189000+05:30,2026-01-08,Thursday,'21:38:43.189000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,enter_otp,application,2026-01-08 21:38:43.224000+05:30,2026-01-08,Thursday,'21:38:43.224000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,User Login,system,2026-01-08 21:38:43.321000+05:30,2026-01-08,Thursday,'21:38:43.321000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,login,application,2026-01-08 21:38:43.466000+05:30,2026-01-08,Thursday,'21:38:43.466000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_user,application,2026-01-08 21:38:43.568000+05:30,2026-01-08,Thursday,'21:38:43.568000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_from-town,application,2026-01-08 21:38:44.099000+05:30,2026-01-08,Thursday,'21:38:44.099000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Onboarding_Profile Saved,application,2026-01-08 21:38:52.284000+05:30,2026-01-08,Thursday,'21:38:52.284000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_user,application,2026-01-08 21:38:56.174000+05:30,2026-01-08,Thursday,'21:38:56.174000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_history_recommended-journey,application,2026-01-08 21:38:58.848000+05:30,2026-01-08,Thursday,'21:38:58.848000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_from-town,application,2026-01-08 21:38:58.959000+05:30,2026-01-08,Thursday,'21:38:58.959000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_user_device,application,2026-01-08 21:38:58.981000+05:30,2026-01-08,Thursday,'21:38:58.981000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_user,application,2026-01-08 21:38:59.102000+05:30,2026-01-08,Thursday,'21:38:59.102000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_special-town-search,application,2026-01-08 21:38:59.319000+05:30,2026-01-08,Thursday,'21:38:59.319000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_ticket,application,2026-01-08 21:38:59.355000+05:30,2026-01-08,Thursday,'21:38:59.355000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_special-town-search,application,2026-01-08 21:39:07.916000+05:30,2026-01-08,Thursday,'21:39:07.916000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_elastic-town-search,application,2026-01-08 21:39:07.987000+05:30,2026-01-08,Thursday,'21:39:07.987000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_special-town-search,application,2026-01-08 21:39:40.500000+05:30,2026-01-08,Thursday,'21:39:40.500000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_elastic-town-search,application,2026-01-08 21:39:40.730000+05:30,2026-01-08,Thursday,'21:39:40.730000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_special-town-search,application,2026-01-08 21:39:47.665000+05:30,2026-01-08,Thursday,'21:39:47.665000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_location_elastic-town-search,application,2026-01-08 21:39:47.841000+05:30,2026-01-08,Thursday,'21:39:47.841000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,Buslist_date change,application,2026-01-08 21:40:05.317000+05:30,2026-01-08,Thursday,'21:40:05.317000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,_user,application,2026-01-08 21:40:05.644000+05:30,2026-01-08,Thursday,'21:40:05.644000
89d4183f-1ec7-4763-a9b3-5cfd8a450736,pageview_bus_list,application,2026-01-08 21:40:05.663000+05:30,2026-01-08,Thursday,'21:40:05.663000
