user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8eea330f-399f-49e2-8ca1-372f80e36a11,DeviceInfo,application,2026-01-08 10:39:19.952000+05:30,2026-01-08,Thursday,'10:39:19.952000
8eea330f-399f-49e2-8ca1-372f80e36a11,Session Started,system,2026-01-08 10:39:21.293000+05:30,2026-01-08,Thursday,'10:39:21.293000
8eea330f-399f-49e2-8ca1-372f80e36a11,Push Subscribe Process - Device Registered (Push),system,2026-01-08 10:39:22.191000+05:30,2026-01-08,Thursday,'10:39:22.191000
8eea330f-399f-49e2-8ca1-372f80e36a11,App Installed,system,2026-01-08 10:39:22.288000+05:30,2026-01-08,Thursday,'10:39:22.288000
8eea330f-399f-49e2-8ca1-372f80e36a11,app_start,application,2026-01-08 10:39:22.657000+05:30,2026-01-08,Thursday,'10:39:22.657000
8eea330f-399f-49e2-8ca1-372f80e36a11,choose_language,application,2026-01-08 10:39:23.076000+05:30,2026-01-08,Thursday,'10:39:23.076000
8eea330f-399f-49e2-8ca1-372f80e36a11,Onboarding_Language,application,2026-01-08 10:39:23.156000+05:30,2026-01-08,Thursday,'10:39:23.156000
8eea330f-399f-49e2-8ca1-372f80e36a11,Journey Started,system,2026-01-08 10:39:23.536000+05:30,2026-01-08,Thursday,'10:39:23.536000
8eea330f-399f-49e2-8ca1-372f80e36a11,Journey Ended,system,2026-01-08 10:39:23.942000+05:30,2026-01-08,Thursday,'10:39:23.942000
8eea330f-399f-49e2-8ca1-372f80e36a11,Journey Started,system,2026-01-08 10:39:23.942000+05:30,2026-01-08,Thursday,'10:39:23.942000
8eea330f-399f-49e2-8ca1-372f80e36a11,generate_otp,application,2026-01-08 10:39:34.043000+05:30,2026-01-08,Thursday,'10:39:34.043000
8eea330f-399f-49e2-8ca1-372f80e36a11,Onboarding_get_otp,application,2026-01-08 10:39:34.110000+05:30,2026-01-08,Thursday,'10:39:34.110000
8eea330f-399f-49e2-8ca1-372f80e36a11,_auth_generate-otp,application,2026-01-08 10:39:35.142000+05:30,2026-01-08,Thursday,'10:39:35.142000
8eea330f-399f-49e2-8ca1-372f80e36a11,get_otp,application,2026-01-08 10:39:35.215000+05:30,2026-01-08,Thursday,'10:39:35.215000
8eea330f-399f-49e2-8ca1-372f80e36a11,Onboarding_signup_,application,2026-01-08 10:39:35.284000+05:30,2026-01-08,Thursday,'10:39:35.284000
8eea330f-399f-49e2-8ca1-372f80e36a11,verify_otp,application,2026-01-08 10:40:03.768000+05:30,2026-01-08,Thursday,'10:40:03.768000
8eea330f-399f-49e2-8ca1-372f80e36a11,_auth_verify-otp,application,2026-01-08 10:40:04.251000+05:30,2026-01-08,Thursday,'10:40:04.251000
8eea330f-399f-49e2-8ca1-372f80e36a11,enter_otp,application,2026-01-08 10:40:04.466000+05:30,2026-01-08,Thursday,'10:40:04.466000
8eea330f-399f-49e2-8ca1-372f80e36a11,User Login,system,2026-01-08 10:40:04.588000+05:30,2026-01-08,Thursday,'10:40:04.588000
8eea330f-399f-49e2-8ca1-372f80e36a11,login,application,2026-01-08 10:40:05.356000+05:30,2026-01-08,Thursday,'10:40:05.356000
8eea330f-399f-49e2-8ca1-372f80e36a11,_user,application,2026-01-08 10:40:05.484000+05:30,2026-01-08,Thursday,'10:40:05.484000
8eea330f-399f-49e2-8ca1-372f80e36a11,_location_from-town,application,2026-01-08 10:40:05.904000+05:30,2026-01-08,Thursday,'10:40:05.904000
8eea330f-399f-49e2-8ca1-372f80e36a11,Onboarding_Profile Saved,application,2026-01-08 10:40:07.987000+05:30,2026-01-08,Thursday,'10:40:07.987000
8eea330f-399f-49e2-8ca1-372f80e36a11,_user,application,2026-01-08 10:40:21.964000+05:30,2026-01-08,Thursday,'10:40:21.964000
8eea330f-399f-49e2-8ca1-372f80e36a11,_location_from-town,application,2026-01-08 10:40:26.490000+05:30,2026-01-08,Thursday,'10:40:26.490000
8eea330f-399f-49e2-8ca1-372f80e36a11,_history_recommended-journey,application,2026-01-08 10:40:26.626000+05:30,2026-01-08,Thursday,'10:40:26.626000
