user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8f9ff488-74f2-4af8-861d-511aad4bef47,DeviceInfo,application,2026-01-17 00:06:09.730000+05:30,2026-01-17,Saturday,'00:06:09.730000
8f9ff488-74f2-4af8-861d-511aad4bef47,Session Started,system,2026-01-17 00:06:10.037000+05:30,2026-01-17,Saturday,'00:06:10.037000
8f9ff488-74f2-4af8-861d-511aad4bef47,App Installed,system,2026-01-17 00:06:10.052000+05:30,2026-01-17,Saturday,'00:06:10.052000
8f9ff488-74f2-4af8-861d-511aad4bef47,Journey Started,system,2026-01-17 00:06:10.205000+05:30,2026-01-17,Saturday,'00:06:10.205000
8f9ff488-74f2-4af8-861d-511aad4bef47,app_start,application,2026-01-17 00:06:10.916000+05:30,2026-01-17,Saturday,'00:06:10.916000
8f9ff488-74f2-4af8-861d-511aad4bef47,Push Subscribe Process - Device Registered (Push),system,2026-01-17 00:06:12.302000+05:30,2026-01-17,Saturday,'00:06:12.302000
8f9ff488-74f2-4af8-861d-511aad4bef47,choose_language,application,2026-01-17 00:06:17.473000+05:30,2026-01-17,Saturday,'00:06:17.473000
8f9ff488-74f2-4af8-861d-511aad4bef47,Onboarding_Language,application,2026-01-17 00:06:17.488000+05:30,2026-01-17,Saturday,'00:06:17.488000
8f9ff488-74f2-4af8-861d-511aad4bef47,generate_otp,application,2026-01-17 00:06:25.645000+05:30,2026-01-17,Saturday,'00:06:25.645000
8f9ff488-74f2-4af8-861d-511aad4bef47,Onboarding_get_otp,application,2026-01-17 00:06:25.660000+05:30,2026-01-17,Saturday,'00:06:25.660000
8f9ff488-74f2-4af8-861d-511aad4bef47,Journey Ended,system,2026-01-17 00:06:25.949000+05:30,2026-01-17,Saturday,'00:06:25.949000
8f9ff488-74f2-4af8-861d-511aad4bef47,Journey Started,system,2026-01-17 00:06:25.949000+05:30,2026-01-17,Saturday,'00:06:25.949000
8f9ff488-74f2-4af8-861d-511aad4bef47,_auth_generate-otp,application,2026-01-17 00:06:27.992000+05:30,2026-01-17,Saturday,'00:06:27.992000
8f9ff488-74f2-4af8-861d-511aad4bef47,get_otp,application,2026-01-17 00:06:28.009000+05:30,2026-01-17,Saturday,'00:06:28.009000
8f9ff488-74f2-4af8-861d-511aad4bef47,Onboarding_signup_,application,2026-01-17 00:06:28.041000+05:30,2026-01-17,Saturday,'00:06:28.041000
