user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9037feb9-5330-4393-93a4-9bf4f8340b62,App Installed,system,2026-01-01 21:32:37.791000+05:30,2026-01-01,Thursday,'21:32:37.791000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_Live Chat Icon,application,2026-01-01 21:37:47.934000+05:30,2026-01-01,Thursday,'21:37:47.934000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:37:34.774000+05:30,2026-01-01,Thursday,'21:37:34.774000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:37:38.069000+05:30,2026-01-01,Thursday,'21:37:38.069000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:37:43.073000+05:30,2026-01-01,Thursday,'21:37:43.073000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:37:46.106000+05:30,2026-01-01,Thursday,'21:37:46.106000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:04.821000+05:30,2026-01-01,Thursday,'21:38:04.821000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:07.399000+05:30,2026-01-01,Thursday,'21:38:07.399000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:39.176000+05:30,2026-01-01,Thursday,'21:38:39.176000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:41.763000+05:30,2026-01-01,Thursday,'21:38:41.763000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:46.095000+05:30,2026-01-01,Thursday,'21:38:46.095000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:48.765000+05:30,2026-01-01,Thursday,'21:38:48.765000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:38:58.587000+05:30,2026-01-01,Thursday,'21:38:58.587000
9037feb9-5330-4393-93a4-9bf4f8340b62,Buslist_date change,application,2026-01-01 21:39:01.657000+05:30,2026-01-01,Thursday,'21:39:01.657000
9037feb9-5330-4393-93a4-9bf4f8340b62,DeviceInfo,application,2026-01-01 21:32:36.123000+05:30,2026-01-01,Thursday,'21:32:36.123000
9037feb9-5330-4393-93a4-9bf4f8340b62,Journey Ended,system,2026-01-01 21:32:52.334000+05:30,2026-01-01,Thursday,'21:32:52.334000
9037feb9-5330-4393-93a4-9bf4f8340b62,Journey Ended,system,2026-01-02 03:53:27.490000+05:30,2026-01-02,Friday,'03:53:27.490000
9037feb9-5330-4393-93a4-9bf4f8340b62,Journey Started,system,2026-01-01 21:32:37.937000+05:30,2026-01-01,Thursday,'21:32:37.937000
9037feb9-5330-4393-93a4-9bf4f8340b62,Journey Started,system,2026-01-01 21:32:52.334000+05:30,2026-01-01,Thursday,'21:32:52.334000
9037feb9-5330-4393-93a4-9bf4f8340b62,Journey Started,system,2026-01-01 21:37:43.402000+05:30,2026-01-01,Thursday,'21:37:43.402000
9037feb9-5330-4393-93a4-9bf4f8340b62,Onboarding_Language,application,2026-01-01 21:32:41.461000+05:30,2026-01-01,Thursday,'21:32:41.461000
9037feb9-5330-4393-93a4-9bf4f8340b62,Onboarding_Profile Saved,application,2026-01-01 21:35:38.008000+05:30,2026-01-01,Thursday,'21:35:38.008000
9037feb9-5330-4393-93a4-9bf4f8340b62,Onboarding_get_otp,application,2026-01-01 21:32:51.618000+05:30,2026-01-01,Thursday,'21:32:51.618000
9037feb9-5330-4393-93a4-9bf4f8340b62,Onboarding_signup_,application,2026-01-01 21:32:53.848000+05:30,2026-01-01,Thursday,'21:32:53.848000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-01 21:53:00.048000+05:30,2026-01-01,Thursday,'21:53:00.048000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-02 21:33:03.845000+05:30,2026-01-02,Friday,'21:33:03.845000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-03 21:33:13.958000+05:30,2026-01-03,Saturday,'21:33:13.958000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-04 21:33:22.854000+05:30,2026-01-04,Sunday,'21:33:22.854000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-05 21:33:50.611000+05:30,2026-01-05,Monday,'21:33:50.611000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-06 21:34:20.573000+05:30,2026-01-06,Tuesday,'21:34:20.573000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-08 21:34:29.303000+05:30,2026-01-08,Thursday,'21:34:29.303000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-10 21:34:46.907000+05:30,2026-01-10,Saturday,'21:34:46.907000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-12 21:35:14.702000+05:30,2026-01-12,Monday,'21:35:14.702000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-14 21:35:20.902000+05:30,2026-01-14,Wednesday,'21:35:20.902000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Failure,system,2026-01-16 21:35:48.979000+05:30,2026-01-16,Friday,'21:35:48.979000
9037feb9-5330-4393-93a4-9bf4f8340b62,Push Subscribe Process - Device Registered (Push),system,2026-01-01 21:32:38.011000+05:30,2026-01-01,Thursday,'21:32:38.011000
9037feb9-5330-4393-93a4-9bf4f8340b62,Session Started,system,2026-01-01 21:32:37.758000+05:30,2026-01-01,Thursday,'21:32:37.758000
9037feb9-5330-4393-93a4-9bf4f8340b62,Session Started,system,2026-01-02 12:25:19+05:30,2026-01-02,Friday,'12:25:19.000000
9037feb9-5330-4393-93a4-9bf4f8340b62,User Login,system,2026-01-01 21:35:34.202000+05:30,2026-01-01,Thursday,'21:35:34.202000
9037feb9-5330-4393-93a4-9bf4f8340b62,_auth_generate-otp,application,2026-01-01 21:32:53.814000+05:30,2026-01-01,Thursday,'21:32:53.814000
9037feb9-5330-4393-93a4-9bf4f8340b62,_auth_verify-otp,application,2026-01-01 21:35:34.148000+05:30,2026-01-01,Thursday,'21:35:34.148000
9037feb9-5330-4393-93a4-9bf4f8340b62,_bus-search_list,application,2026-01-01 21:37:37.064000+05:30,2026-01-01,Thursday,'21:37:37.064000
9037feb9-5330-4393-93a4-9bf4f8340b62,_bus-search_list,application,2026-01-01 21:37:45.250000+05:30,2026-01-01,Thursday,'21:37:45.250000
9037feb9-5330-4393-93a4-9bf4f8340b62,_bus-search_list,application,2026-01-01 21:38:07.151000+05:30,2026-01-01,Thursday,'21:38:07.151000
9037feb9-5330-4393-93a4-9bf4f8340b62,_bus-search_list,application,2026-01-01 21:38:41.550000+05:30,2026-01-01,Thursday,'21:38:41.550000
