user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
90f59381-cb2a-4604-b134-6b411901d7fe,DeviceInfo,application,2026-01-16 19:05:51.039000+05:30,2026-01-16,Friday,'19:05:51.039000
90f59381-cb2a-4604-b134-6b411901d7fe,Session Started,system,2026-01-16 19:05:51.303000+05:30,2026-01-16,Friday,'19:05:51.303000
90f59381-cb2a-4604-b134-6b411901d7fe,App Installed,system,2026-01-16 19:05:51.325000+05:30,2026-01-16,Friday,'19:05:51.325000
90f59381-cb2a-4604-b134-6b411901d7fe,Journey Started,system,2026-01-16 19:05:51.846000+05:30,2026-01-16,Friday,'19:05:51.846000
90f59381-cb2a-4604-b134-6b411901d7fe,app_start,application,2026-01-16 19:05:52.082000+05:30,2026-01-16,Friday,'19:05:52.082000
90f59381-cb2a-4604-b134-6b411901d7fe,Push Subscribe Process - Device Registered (Push),system,2026-01-16 19:05:52.767000+05:30,2026-01-16,Friday,'19:05:52.767000
90f59381-cb2a-4604-b134-6b411901d7fe,choose_language,application,2026-01-16 19:05:54.735000+05:30,2026-01-16,Friday,'19:05:54.735000
90f59381-cb2a-4604-b134-6b411901d7fe,Onboarding_Language,application,2026-01-16 19:05:54.754000+05:30,2026-01-16,Friday,'19:05:54.754000
90f59381-cb2a-4604-b134-6b411901d7fe,generate_otp,application,2026-01-16 19:06:02.970000+05:30,2026-01-16,Friday,'19:06:02.970000
90f59381-cb2a-4604-b134-6b411901d7fe,Onboarding_get_otp,application,2026-01-16 19:06:02.995000+05:30,2026-01-16,Friday,'19:06:02.995000
90f59381-cb2a-4604-b134-6b411901d7fe,Journey Started,system,2026-01-16 19:06:03.639000+05:30,2026-01-16,Friday,'19:06:03.639000
90f59381-cb2a-4604-b134-6b411901d7fe,Journey Ended,system,2026-01-16 19:06:03.639000+05:30,2026-01-16,Friday,'19:06:03.639000
90f59381-cb2a-4604-b134-6b411901d7fe,_auth_generate-otp,application,2026-01-16 19:06:03.906000+05:30,2026-01-16,Friday,'19:06:03.906000
90f59381-cb2a-4604-b134-6b411901d7fe,get_otp,application,2026-01-16 19:06:03.919000+05:30,2026-01-16,Friday,'19:06:03.919000
90f59381-cb2a-4604-b134-6b411901d7fe,Onboarding_signup_,application,2026-01-16 19:06:03.942000+05:30,2026-01-16,Friday,'19:06:03.942000
90f59381-cb2a-4604-b134-6b411901d7fe,verify_otp,application,2026-01-16 19:06:06.708000+05:30,2026-01-16,Friday,'19:06:06.708000
90f59381-cb2a-4604-b134-6b411901d7fe,_auth_verify-otp,application,2026-01-16 19:06:06.954000+05:30,2026-01-16,Friday,'19:06:06.954000
90f59381-cb2a-4604-b134-6b411901d7fe,enter_otp,application,2026-01-16 19:06:06.983000+05:30,2026-01-16,Friday,'19:06:06.983000
90f59381-cb2a-4604-b134-6b411901d7fe,User Login,system,2026-01-16 19:06:06.995000+05:30,2026-01-16,Friday,'19:06:06.995000
90f59381-cb2a-4604-b134-6b411901d7fe,login,application,2026-01-16 19:06:07.293000+05:30,2026-01-16,Friday,'19:06:07.293000
90f59381-cb2a-4604-b134-6b411901d7fe,_user,application,2026-01-16 19:06:07.298000+05:30,2026-01-16,Friday,'19:06:07.298000
90f59381-cb2a-4604-b134-6b411901d7fe,_location_from-town,application,2026-01-16 19:06:07.521000+05:30,2026-01-16,Friday,'19:06:07.521000
90f59381-cb2a-4604-b134-6b411901d7fe,Onboarding_Profile Saved,application,2026-01-16 19:06:21.737000+05:30,2026-01-16,Friday,'19:06:21.737000
90f59381-cb2a-4604-b134-6b411901d7fe,_user,application,2026-01-16 19:06:32.383000+05:30,2026-01-16,Friday,'19:06:32.383000
90f59381-cb2a-4604-b134-6b411901d7fe,_location_from-town,application,2026-01-16 19:06:33.898000+05:30,2026-01-16,Friday,'19:06:33.898000
90f59381-cb2a-4604-b134-6b411901d7fe,_history_recommended-journey,application,2026-01-16 19:06:33.971000+05:30,2026-01-16,Friday,'19:06:33.971000
90f59381-cb2a-4604-b134-6b411901d7fe,_user_device,application,2026-01-16 19:06:34.078000+05:30,2026-01-16,Friday,'19:06:34.078000
90f59381-cb2a-4604-b134-6b411901d7fe,_user,application,2026-01-16 19:06:34.225000+05:30,2026-01-16,Friday,'19:06:34.225000
90f59381-cb2a-4604-b134-6b411901d7fe,_location_special-town-search,application,2026-01-16 19:06:34.240000+05:30,2026-01-16,Friday,'19:06:34.240000
90f59381-cb2a-4604-b134-6b411901d7fe,_ticket,application,2026-01-16 19:06:34.339000+05:30,2026-01-16,Friday,'19:06:34.339000
90f59381-cb2a-4604-b134-6b411901d7fe,_location_special-town-search,application,2026-01-16 19:06:36.662000+05:30,2026-01-16,Friday,'19:06:36.662000
90f59381-cb2a-4604-b134-6b411901d7fe,_location_elastic-town-search,application,2026-01-16 19:06:39.551000+05:30,2026-01-16,Friday,'19:06:39.551000
90f59381-cb2a-4604-b134-6b411901d7fe,Buslist_date change,application,2026-01-16 19:06:49.941000+05:30,2026-01-16,Friday,'19:06:49.941000
90f59381-cb2a-4604-b134-6b411901d7fe,_user,application,2026-01-16 19:06:50.245000+05:30,2026-01-16,Friday,'19:06:50.245000
90f59381-cb2a-4604-b134-6b411901d7fe,pageview_bus_list,application,2026-01-16 19:06:50.327000+05:30,2026-01-16,Friday,'19:06:50.327000
