user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
916fd64a-626e-41fe-bef5-1d739e2af257,DeviceInfo,application,2026-01-12 08:39:16.481000+05:30,2026-01-12,Monday,'08:39:16.481000
916fd64a-626e-41fe-bef5-1d739e2af257,Session Started,system,2026-01-12 08:39:16.702000+05:30,2026-01-12,Monday,'08:39:16.702000
916fd64a-626e-41fe-bef5-1d739e2af257,App Installed,system,2026-01-12 08:39:16.730000+05:30,2026-01-12,Monday,'08:39:16.730000
916fd64a-626e-41fe-bef5-1d739e2af257,Journey Started,system,2026-01-12 08:39:17.516000+05:30,2026-01-12,Monday,'08:39:17.516000
916fd64a-626e-41fe-bef5-1d739e2af257,app_start,application,2026-01-12 08:39:17.583000+05:30,2026-01-12,Monday,'08:39:17.583000
916fd64a-626e-41fe-bef5-1d739e2af257,Push Subscribe Process - Device Registered (Push),system,2026-01-12 08:39:18.667000+05:30,2026-01-12,Monday,'08:39:18.667000
916fd64a-626e-41fe-bef5-1d739e2af257,choose_language,application,2026-01-12 08:39:19.074000+05:30,2026-01-12,Monday,'08:39:19.074000
916fd64a-626e-41fe-bef5-1d739e2af257,Onboarding_Language,application,2026-01-12 08:39:19.084000+05:30,2026-01-12,Monday,'08:39:19.084000
916fd64a-626e-41fe-bef5-1d739e2af257,generate_otp,application,2026-01-12 08:39:27.125000+05:30,2026-01-12,Monday,'08:39:27.125000
916fd64a-626e-41fe-bef5-1d739e2af257,Onboarding_get_otp,application,2026-01-12 08:39:27.145000+05:30,2026-01-12,Monday,'08:39:27.145000
916fd64a-626e-41fe-bef5-1d739e2af257,_auth_generate-otp,application,2026-01-12 08:39:27.942000+05:30,2026-01-12,Monday,'08:39:27.942000
916fd64a-626e-41fe-bef5-1d739e2af257,get_otp,application,2026-01-12 08:39:27.965000+05:30,2026-01-12,Monday,'08:39:27.965000
916fd64a-626e-41fe-bef5-1d739e2af257,Onboarding_signup_,application,2026-01-12 08:39:27.973000+05:30,2026-01-12,Monday,'08:39:27.973000
916fd64a-626e-41fe-bef5-1d739e2af257,Journey Started,system,2026-01-12 08:39:28.017000+05:30,2026-01-12,Monday,'08:39:28.017000
916fd64a-626e-41fe-bef5-1d739e2af257,Journey Ended,system,2026-01-12 08:39:28.017000+05:30,2026-01-12,Monday,'08:39:28.017000
916fd64a-626e-41fe-bef5-1d739e2af257,verify_otp,application,2026-01-12 08:39:30.386000+05:30,2026-01-12,Monday,'08:39:30.386000
916fd64a-626e-41fe-bef5-1d739e2af257,_auth_verify-otp,application,2026-01-12 08:39:30.562000+05:30,2026-01-12,Monday,'08:39:30.562000
916fd64a-626e-41fe-bef5-1d739e2af257,enter_otp,application,2026-01-12 08:39:30.592000+05:30,2026-01-12,Monday,'08:39:30.592000
916fd64a-626e-41fe-bef5-1d739e2af257,User Login,system,2026-01-12 08:39:30.614000+05:30,2026-01-12,Monday,'08:39:30.614000
916fd64a-626e-41fe-bef5-1d739e2af257,login,application,2026-01-12 08:39:30.846000+05:30,2026-01-12,Monday,'08:39:30.846000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 08:39:30.855000+05:30,2026-01-12,Monday,'08:39:30.855000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_from-town,application,2026-01-12 08:39:31.143000+05:30,2026-01-12,Monday,'08:39:31.143000
916fd64a-626e-41fe-bef5-1d739e2af257,Onboarding_Profile Saved,application,2026-01-12 08:39:32.874000+05:30,2026-01-12,Monday,'08:39:32.874000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 08:39:40.279000+05:30,2026-01-12,Monday,'08:39:40.279000
916fd64a-626e-41fe-bef5-1d739e2af257,_history_recommended-journey,application,2026-01-12 08:39:42.360000+05:30,2026-01-12,Monday,'08:39:42.360000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 08:39:42.406000+05:30,2026-01-12,Monday,'08:39:42.406000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_from-town,application,2026-01-12 08:39:42.422000+05:30,2026-01-12,Monday,'08:39:42.422000
916fd64a-626e-41fe-bef5-1d739e2af257,_user_device,application,2026-01-12 08:39:42.464000+05:30,2026-01-12,Monday,'08:39:42.464000
916fd64a-626e-41fe-bef5-1d739e2af257,_ticket,application,2026-01-12 08:39:42.615000+05:30,2026-01-12,Monday,'08:39:42.615000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 08:39:42.634000+05:30,2026-01-12,Monday,'08:39:42.634000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:28:52.282000+05:30,2026-01-12,Monday,'09:28:52.282000
916fd64a-626e-41fe-bef5-1d739e2af257,Session Started,system,2026-01-12 09:29:55.066000+05:30,2026-01-12,Monday,'09:29:55.066000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:29:56.768000+05:30,2026-01-12,Monday,'09:29:56.768000
916fd64a-626e-41fe-bef5-1d739e2af257,_history_recommended-journey,application,2026-01-12 09:29:56.814000+05:30,2026-01-12,Monday,'09:29:56.814000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_from-town,application,2026-01-12 09:29:56.933000+05:30,2026-01-12,Monday,'09:29:56.933000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:29:57.061000+05:30,2026-01-12,Monday,'09:29:57.061000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:29:57.276000+05:30,2026-01-12,Monday,'09:29:57.276000
916fd64a-626e-41fe-bef5-1d739e2af257,_ticket,application,2026-01-12 09:29:57.286000+05:30,2026-01-12,Monday,'09:29:57.286000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:30:02.199000+05:30,2026-01-12,Monday,'09:30:02.199000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:30:18.480000+05:30,2026-01-12,Monday,'09:30:18.480000
916fd64a-626e-41fe-bef5-1d739e2af257,Session Started,system,2026-01-12 09:30:43.825000+05:30,2026-01-12,Monday,'09:30:43.825000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:30:47.646000+05:30,2026-01-12,Monday,'09:30:47.646000
916fd64a-626e-41fe-bef5-1d739e2af257,_history_recommended-journey,application,2026-01-12 09:30:47.671000+05:30,2026-01-12,Monday,'09:30:47.671000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_from-town,application,2026-01-12 09:30:47.878000+05:30,2026-01-12,Monday,'09:30:47.878000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:30:47.985000+05:30,2026-01-12,Monday,'09:30:47.985000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:30:48.294000+05:30,2026-01-12,Monday,'09:30:48.294000
916fd64a-626e-41fe-bef5-1d739e2af257,_ticket,application,2026-01-12 09:30:48.566000+05:30,2026-01-12,Monday,'09:30:48.566000
916fd64a-626e-41fe-bef5-1d739e2af257,_ticket_v2,application,2026-01-12 09:31:23.670000+05:30,2026-01-12,Monday,'09:31:23.670000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:31:35.081000+05:30,2026-01-12,Monday,'09:31:35.081000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:31:35.396000+05:30,2026-01-12,Monday,'09:31:35.396000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:31:51.210000+05:30,2026-01-12,Monday,'09:31:51.210000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:31:53.886000+05:30,2026-01-12,Monday,'09:31:53.886000
916fd64a-626e-41fe-bef5-1d739e2af257,Session Started,system,2026-01-12 09:32:21.672000+05:30,2026-01-12,Monday,'09:32:21.672000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:32:24.298000+05:30,2026-01-12,Monday,'09:32:24.298000
916fd64a-626e-41fe-bef5-1d739e2af257,_history_recommended-journey,application,2026-01-12 09:32:24.489000+05:30,2026-01-12,Monday,'09:32:24.489000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_from-town,application,2026-01-12 09:32:24.513000+05:30,2026-01-12,Monday,'09:32:24.513000
916fd64a-626e-41fe-bef5-1d739e2af257,_user,application,2026-01-12 09:32:24.878000+05:30,2026-01-12,Monday,'09:32:24.878000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:32:25.070000+05:30,2026-01-12,Monday,'09:32:25.070000
916fd64a-626e-41fe-bef5-1d739e2af257,_ticket,application,2026-01-12 09:32:25.157000+05:30,2026-01-12,Monday,'09:32:25.157000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:32:26.628000+05:30,2026-01-12,Monday,'09:32:26.628000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:32:26.814000+05:30,2026-01-12,Monday,'09:32:26.814000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_special-town-search,application,2026-01-12 09:32:38.276000+05:30,2026-01-12,Monday,'09:32:38.276000
916fd64a-626e-41fe-bef5-1d739e2af257,_location_elastic-town-search,application,2026-01-12 09:32:42.114000+05:30,2026-01-12,Monday,'09:32:42.114000
916fd64a-626e-41fe-bef5-1d739e2af257,Push Failure,system,2026-01-13 08:39:43.940000+05:30,2026-01-13,Tuesday,'08:39:43.940000
