user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
92d97d37-83e8-46d9-bf79-e95e8733d8fa,DeviceInfo,application,2026-01-02 12:27:50.216000+05:30,2026-01-02,Friday,'12:27:50.216000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Session Started,system,2026-01-02 12:27:50.455000+05:30,2026-01-02,Friday,'12:27:50.455000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,App Installed,system,2026-01-02 12:27:50.505000+05:30,2026-01-02,Friday,'12:27:50.505000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Journey Started,system,2026-01-02 12:27:50.666000+05:30,2026-01-02,Friday,'12:27:50.666000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,app_start,application,2026-01-02 12:27:51.276000+05:30,2026-01-02,Friday,'12:27:51.276000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Push Subscribe Process - Device Registered (Push),system,2026-01-02 12:27:52.040000+05:30,2026-01-02,Friday,'12:27:52.040000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,choose_language,application,2026-01-02 12:27:56.762000+05:30,2026-01-02,Friday,'12:27:56.762000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Onboarding_Language,application,2026-01-02 12:27:56.769000+05:30,2026-01-02,Friday,'12:27:56.769000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,generate_otp,application,2026-01-02 12:28:18.871000+05:30,2026-01-02,Friday,'12:28:18.871000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Onboarding_get_otp,application,2026-01-02 12:28:18.885000+05:30,2026-01-02,Friday,'12:28:18.885000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Journey Started,system,2026-01-02 12:28:19.196000+05:30,2026-01-02,Friday,'12:28:19.196000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Journey Ended,system,2026-01-02 12:28:19.196000+05:30,2026-01-02,Friday,'12:28:19.196000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_auth_generate-otp,application,2026-01-02 12:28:19.774000+05:30,2026-01-02,Friday,'12:28:19.774000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,get_otp,application,2026-01-02 12:28:19.793000+05:30,2026-01-02,Friday,'12:28:19.793000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Onboarding_signup_,application,2026-01-02 12:28:19.799000+05:30,2026-01-02,Friday,'12:28:19.799000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,verify_otp,application,2026-01-02 12:28:22.050000+05:30,2026-01-02,Friday,'12:28:22.050000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_auth_verify-otp,application,2026-01-02 12:28:22.272000+05:30,2026-01-02,Friday,'12:28:22.272000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,enter_otp,application,2026-01-02 12:28:22.292000+05:30,2026-01-02,Friday,'12:28:22.292000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,User Login,system,2026-01-02 12:28:22.307000+05:30,2026-01-02,Friday,'12:28:22.307000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,login,application,2026-01-02 12:28:22.533000+05:30,2026-01-02,Friday,'12:28:22.533000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-02 12:28:22.544000+05:30,2026-01-02,Friday,'12:28:22.544000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_from-town,application,2026-01-02 12:28:22.957000+05:30,2026-01-02,Friday,'12:28:22.957000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Onboarding_Profile Saved,application,2026-01-02 12:28:25.766000+05:30,2026-01-02,Friday,'12:28:25.766000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-02 12:28:34.807000+05:30,2026-01-02,Friday,'12:28:34.807000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_history_recommended-journey,application,2026-01-02 12:29:55.261000+05:30,2026-01-02,Friday,'12:29:55.261000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user_device,application,2026-01-02 12:29:55.268000+05:30,2026-01-02,Friday,'12:29:55.268000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-02 12:29:55.404000+05:30,2026-01-02,Friday,'12:29:55.404000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_from-town,application,2026-01-02 12:29:55.434000+05:30,2026-01-02,Friday,'12:29:55.434000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_ticket,application,2026-01-02 12:29:55.581000+05:30,2026-01-02,Friday,'12:29:55.581000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-02 12:29:55.666000+05:30,2026-01-02,Friday,'12:29:55.666000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-02 12:30:00.559000+05:30,2026-01-02,Friday,'12:30:00.559000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-02 12:30:54.073000+05:30,2026-01-02,Friday,'12:30:54.073000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-02 12:30:54.245000+05:30,2026-01-02,Friday,'12:30:54.245000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-02 12:32:08.343000+05:30,2026-01-02,Friday,'12:32:08.343000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-02 12:32:08.517000+05:30,2026-01-02,Friday,'12:32:08.517000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Session Started,system,2026-01-03 04:58:15.499000+05:30,2026-01-03,Saturday,'04:58:15.499000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_history_recommended-journey,application,2026-01-03 04:58:18.106000+05:30,2026-01-03,Saturday,'04:58:18.106000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 04:58:18.118000+05:30,2026-01-03,Saturday,'04:58:18.118000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_from-town,application,2026-01-03 04:58:18.358000+05:30,2026-01-03,Saturday,'04:58:18.358000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 04:58:18.399000+05:30,2026-01-03,Saturday,'04:58:18.399000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 04:58:18.670000+05:30,2026-01-03,Saturday,'04:58:18.670000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_ticket,application,2026-01-03 04:58:18.708000+05:30,2026-01-03,Saturday,'04:58:18.708000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 04:58:25.073000+05:30,2026-01-03,Saturday,'04:58:25.073000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 04:58:25.278000+05:30,2026-01-03,Saturday,'04:58:25.278000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Push Failure,system,2026-01-03 12:28:04.703000+05:30,2026-01-03,Saturday,'12:28:04.703000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Session Started,system,2026-01-03 14:38:30.440000+05:30,2026-01-03,Saturday,'14:38:30.440000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_history_recommended-journey,application,2026-01-03 14:38:43.632000+05:30,2026-01-03,Saturday,'14:38:43.632000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:38:43.642000+05:30,2026-01-03,Saturday,'14:38:43.642000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_from-town,application,2026-01-03 14:38:43.739000+05:30,2026-01-03,Saturday,'14:38:43.739000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:38:44.009000+05:30,2026-01-03,Saturday,'14:38:44.009000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:38:44.051000+05:30,2026-01-03,Saturday,'14:38:44.051000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_ticket,application,2026-01-03 14:38:44.290000+05:30,2026-01-03,Saturday,'14:38:44.290000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:38:46.809000+05:30,2026-01-03,Saturday,'14:38:46.809000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_date change,application,2026-01-03 14:38:52.604000+05:30,2026-01-03,Saturday,'14:38:52.604000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:38:52.850000+05:30,2026-01-03,Saturday,'14:38:52.850000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,pageview_bus_list,application,2026-01-03 14:38:52.885000+05:30,2026-01-03,Saturday,'14:38:52.885000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_user-bus-search,application,2026-01-03 14:38:52.939000+05:30,2026-01-03,Saturday,'14:38:52.939000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_list,application,2026-01-03 14:38:54.771000+05:30,2026-01-03,Saturday,'14:38:54.771000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_rewards_best-V2,application,2026-01-03 14:38:55.287000+05:30,2026-01-03,Saturday,'14:38:55.287000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_date change,application,2026-01-03 14:38:55.304000+05:30,2026-01-03,Saturday,'14:38:55.304000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,bus_search,application,2026-01-03 14:38:55.353000+05:30,2026-01-03,Saturday,'14:38:55.353000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,bus_result,application,2026-01-03 14:38:55.368000+05:30,2026-01-03,Saturday,'14:38:55.368000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:39:21.491000+05:30,2026-01-03,Saturday,'14:39:21.491000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 14:39:21.867000+05:30,2026-01-03,Saturday,'14:39:21.867000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Journey Started,system,2026-01-03 14:39:26.942000+05:30,2026-01-03,Saturday,'14:39:26.942000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 14:39:28.689000+05:30,2026-01-03,Saturday,'14:39:28.689000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:41:07.269000+05:30,2026-01-03,Saturday,'14:41:07.269000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 14:41:07.491000+05:30,2026-01-03,Saturday,'14:41:07.491000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Session Started,system,2026-01-03 14:43:12.200000+05:30,2026-01-03,Saturday,'14:43:12.200000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_history_recommended-journey,application,2026-01-03 14:43:14.435000+05:30,2026-01-03,Saturday,'14:43:14.435000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:43:14.464000+05:30,2026-01-03,Saturday,'14:43:14.464000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_from-town,application,2026-01-03 14:43:14.599000+05:30,2026-01-03,Saturday,'14:43:14.599000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:43:14.748000+05:30,2026-01-03,Saturday,'14:43:14.748000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:43:14.881000+05:30,2026-01-03,Saturday,'14:43:14.881000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_ticket,application,2026-01-03 14:43:15.027000+05:30,2026-01-03,Saturday,'14:43:15.027000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:43:16.923000+05:30,2026-01-03,Saturday,'14:43:16.923000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 14:43:17.102000+05:30,2026-01-03,Saturday,'14:43:17.102000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_special-town-search,application,2026-01-03 14:43:32.275000+05:30,2026-01-03,Saturday,'14:43:32.275000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_location_elastic-town-search,application,2026-01-03 14:43:32.491000+05:30,2026-01-03,Saturday,'14:43:32.491000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_date change,application,2026-01-03 14:43:49.429000+05:30,2026-01-03,Saturday,'14:43:49.429000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:43:49.819000+05:30,2026-01-03,Saturday,'14:43:49.819000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_user-bus-search,application,2026-01-03 14:43:49.874000+05:30,2026-01-03,Saturday,'14:43:49.874000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,pageview_bus_list,application,2026-01-03 14:43:49.882000+05:30,2026-01-03,Saturday,'14:43:49.882000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_list,application,2026-01-03 14:43:52.987000+05:30,2026-01-03,Saturday,'14:43:52.987000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_rewards_best-V2,application,2026-01-03 14:43:53.776000+05:30,2026-01-03,Saturday,'14:43:53.776000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_date change,application,2026-01-03 14:43:53.792000+05:30,2026-01-03,Saturday,'14:43:53.792000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,bus_search,application,2026-01-03 14:43:53.804000+05:30,2026-01-03,Saturday,'14:43:53.804000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,bus_result,application,2026-01-03 14:43:53.815000+05:30,2026-01-03,Saturday,'14:43:53.815000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_Live Chat Icon,application,2026-01-03 14:44:03.069000+05:30,2026-01-03,Saturday,'14:44:03.069000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,enquire_now,application,2026-01-03 14:44:03.124000+05:30,2026-01-03,Saturday,'14:44:03.124000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,Buslist_date change,application,2026-01-03 14:44:50.173000+05:30,2026-01-03,Saturday,'14:44:50.173000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_user,application,2026-01-03 14:44:50.702000+05:30,2026-01-03,Saturday,'14:44:50.702000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,pageview_bus_list,application,2026-01-03 14:44:50.716000+05:30,2026-01-03,Saturday,'14:44:50.716000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_user-bus-search,application,2026-01-03 14:44:50.864000+05:30,2026-01-03,Saturday,'14:44:50.864000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_bus-search_list,application,2026-01-03 14:44:52.347000+05:30,2026-01-03,Saturday,'14:44:52.347000
92d97d37-83e8-46d9-bf79-e95e8733d8fa,_rewards_best-V2,application,2026-01-03 14:44:52.664000+05:30,2026-01-03,Saturday,'14:44:52.664000
