user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
931b7457-8782-438b-829f-d12cb6ee1bd0,DeviceInfo,application,2026-01-11 00:13:03.344000+05:30,2026-01-11,Sunday,'00:13:03.344000
931b7457-8782-438b-829f-d12cb6ee1bd0,Session Started,system,2026-01-11 00:13:04.061000+05:30,2026-01-11,Sunday,'00:13:04.061000
931b7457-8782-438b-829f-d12cb6ee1bd0,App Installed,system,2026-01-11 00:13:04.149000+05:30,2026-01-11,Sunday,'00:13:04.149000
931b7457-8782-438b-829f-d12cb6ee1bd0,app_start,application,2026-01-11 00:13:04.527000+05:30,2026-01-11,Sunday,'00:13:04.527000
931b7457-8782-438b-829f-d12cb6ee1bd0,Push Subscribe Process - Device Registered (Push),system,2026-01-11 00:13:04.899000+05:30,2026-01-11,Sunday,'00:13:04.899000
931b7457-8782-438b-829f-d12cb6ee1bd0,Journey Started,system,2026-01-11 00:13:04.929000+05:30,2026-01-11,Sunday,'00:13:04.929000
931b7457-8782-438b-829f-d12cb6ee1bd0,choose_language,application,2026-01-11 00:13:09.246000+05:30,2026-01-11,Sunday,'00:13:09.246000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_Language,application,2026-01-11 00:13:09.293000+05:30,2026-01-11,Sunday,'00:13:09.293000
931b7457-8782-438b-829f-d12cb6ee1bd0,generate_otp,application,2026-01-11 00:13:39.239000+05:30,2026-01-11,Sunday,'00:13:39.239000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_get_otp,application,2026-01-11 00:13:39.260000+05:30,2026-01-11,Sunday,'00:13:39.260000
931b7457-8782-438b-829f-d12cb6ee1bd0,_auth_generate-otp,application,2026-01-11 00:13:40.177000+05:30,2026-01-11,Sunday,'00:13:40.177000
931b7457-8782-438b-829f-d12cb6ee1bd0,get_otp,application,2026-01-11 00:13:40.194000+05:30,2026-01-11,Sunday,'00:13:40.194000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_signup_,application,2026-01-11 00:13:40.277000+05:30,2026-01-11,Sunday,'00:13:40.277000
931b7457-8782-438b-829f-d12cb6ee1bd0,Journey Ended,system,2026-01-11 00:13:40.279000+05:30,2026-01-11,Sunday,'00:13:40.279000
931b7457-8782-438b-829f-d12cb6ee1bd0,Journey Started,system,2026-01-11 00:13:40.279000+05:30,2026-01-11,Sunday,'00:13:40.279000
931b7457-8782-438b-829f-d12cb6ee1bd0,verify_otp,application,2026-01-11 00:13:46.393000+05:30,2026-01-11,Sunday,'00:13:46.393000
931b7457-8782-438b-829f-d12cb6ee1bd0,_auth_verify-otp,application,2026-01-11 00:13:46.593000+05:30,2026-01-11,Sunday,'00:13:46.593000
931b7457-8782-438b-829f-d12cb6ee1bd0,enter_otp,application,2026-01-11 00:13:46.621000+05:30,2026-01-11,Sunday,'00:13:46.621000
931b7457-8782-438b-829f-d12cb6ee1bd0,User Login,system,2026-01-11 00:13:46.678000+05:30,2026-01-11,Sunday,'00:13:46.678000
931b7457-8782-438b-829f-d12cb6ee1bd0,login,application,2026-01-11 00:13:47.052000+05:30,2026-01-11,Sunday,'00:13:47.052000
931b7457-8782-438b-829f-d12cb6ee1bd0,_user,application,2026-01-11 00:13:47.062000+05:30,2026-01-11,Sunday,'00:13:47.062000
931b7457-8782-438b-829f-d12cb6ee1bd0,_location_from-town,application,2026-01-11 00:13:47.446000+05:30,2026-01-11,Sunday,'00:13:47.446000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_Profile Saved,application,2026-01-11 00:15:34.953000+05:30,2026-01-11,Sunday,'00:15:34.953000
931b7457-8782-438b-829f-d12cb6ee1bd0,_user,application,2026-01-11 00:15:36.653000+05:30,2026-01-11,Sunday,'00:15:36.653000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_Profile Saved,application,2026-01-11 00:16:40.909000+05:30,2026-01-11,Sunday,'00:16:40.909000
931b7457-8782-438b-829f-d12cb6ee1bd0,_user,application,2026-01-11 00:16:55.230000+05:30,2026-01-11,Sunday,'00:16:55.230000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_backpressed,application,2026-01-11 00:17:24.155000+05:30,2026-01-11,Sunday,'00:17:24.155000
931b7457-8782-438b-829f-d12cb6ee1bd0,_user,application,2026-01-11 00:17:39.590000+05:30,2026-01-11,Sunday,'00:17:39.590000
931b7457-8782-438b-829f-d12cb6ee1bd0,Onboarding_backpressed,application,2026-01-11 00:18:22.576000+05:30,2026-01-11,Sunday,'00:18:22.576000
931b7457-8782-438b-829f-d12cb6ee1bd0,Push Failure,system,2026-01-12 00:13:21.527000+05:30,2026-01-12,Monday,'00:13:21.527000
