user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
93330520-b026-4d60-b30b-631d0e90fc35,DeviceInfo,application,2026-01-01 20:01:31.530000+05:30,2026-01-01,Thursday,'20:01:31.530000
93330520-b026-4d60-b30b-631d0e90fc35,Session Started,system,2026-01-01 20:01:31.784000+05:30,2026-01-01,Thursday,'20:01:31.784000
93330520-b026-4d60-b30b-631d0e90fc35,App Installed,system,2026-01-01 20:01:31.817000+05:30,2026-01-01,Thursday,'20:01:31.817000
93330520-b026-4d60-b30b-631d0e90fc35,app_start,application,2026-01-01 20:01:32.492000+05:30,2026-01-01,Thursday,'20:01:32.492000
93330520-b026-4d60-b30b-631d0e90fc35,Journey Started,system,2026-01-01 20:01:32.636000+05:30,2026-01-01,Thursday,'20:01:32.636000
93330520-b026-4d60-b30b-631d0e90fc35,Push Subscribe Process - Device Registered (Push),system,2026-01-01 20:01:33.486000+05:30,2026-01-01,Thursday,'20:01:33.486000
93330520-b026-4d60-b30b-631d0e90fc35,choose_language,application,2026-01-01 20:01:34.559000+05:30,2026-01-01,Thursday,'20:01:34.559000
93330520-b026-4d60-b30b-631d0e90fc35,Onboarding_Language,application,2026-01-01 20:01:34.585000+05:30,2026-01-01,Thursday,'20:01:34.585000
93330520-b026-4d60-b30b-631d0e90fc35,generate_otp,application,2026-01-01 20:01:48.385000+05:30,2026-01-01,Thursday,'20:01:48.385000
93330520-b026-4d60-b30b-631d0e90fc35,Onboarding_get_otp,application,2026-01-01 20:01:48.408000+05:30,2026-01-01,Thursday,'20:01:48.408000
93330520-b026-4d60-b30b-631d0e90fc35,_auth_generate-otp,application,2026-01-01 20:01:49.147000+05:30,2026-01-01,Thursday,'20:01:49.147000
93330520-b026-4d60-b30b-631d0e90fc35,get_otp,application,2026-01-01 20:01:49.178000+05:30,2026-01-01,Thursday,'20:01:49.178000
93330520-b026-4d60-b30b-631d0e90fc35,Onboarding_signup_,application,2026-01-01 20:01:49.203000+05:30,2026-01-01,Thursday,'20:01:49.203000
93330520-b026-4d60-b30b-631d0e90fc35,Journey Ended,system,2026-01-01 20:01:49.310000+05:30,2026-01-01,Thursday,'20:01:49.310000
93330520-b026-4d60-b30b-631d0e90fc35,Journey Started,system,2026-01-01 20:01:49.310000+05:30,2026-01-01,Thursday,'20:01:49.310000
93330520-b026-4d60-b30b-631d0e90fc35,verify_otp,application,2026-01-01 20:01:51.187000+05:30,2026-01-01,Thursday,'20:01:51.187000
93330520-b026-4d60-b30b-631d0e90fc35,_auth_verify-otp,application,2026-01-01 20:01:51.513000+05:30,2026-01-01,Thursday,'20:01:51.513000
93330520-b026-4d60-b30b-631d0e90fc35,enter_otp,application,2026-01-01 20:01:51.534000+05:30,2026-01-01,Thursday,'20:01:51.534000
93330520-b026-4d60-b30b-631d0e90fc35,User Login,system,2026-01-01 20:01:51.550000+05:30,2026-01-01,Thursday,'20:01:51.550000
93330520-b026-4d60-b30b-631d0e90fc35,login,application,2026-01-01 20:01:51.797000+05:30,2026-01-01,Thursday,'20:01:51.797000
93330520-b026-4d60-b30b-631d0e90fc35,_user,application,2026-01-01 20:01:51.876000+05:30,2026-01-01,Thursday,'20:01:51.876000
93330520-b026-4d60-b30b-631d0e90fc35,_location_from-town,application,2026-01-01 20:01:52.400000+05:30,2026-01-01,Thursday,'20:01:52.400000
93330520-b026-4d60-b30b-631d0e90fc35,_user,application,2026-01-01 20:01:54.686000+05:30,2026-01-01,Thursday,'20:01:54.686000
93330520-b026-4d60-b30b-631d0e90fc35,_history_recommended-journey,application,2026-01-01 20:01:54.700000+05:30,2026-01-01,Thursday,'20:01:54.700000
93330520-b026-4d60-b30b-631d0e90fc35,_user_device,application,2026-01-01 20:01:54.712000+05:30,2026-01-01,Thursday,'20:01:54.712000
93330520-b026-4d60-b30b-631d0e90fc35,_user,application,2026-01-01 20:01:54.820000+05:30,2026-01-01,Thursday,'20:01:54.820000
93330520-b026-4d60-b30b-631d0e90fc35,_location_special-town-search,application,2026-01-01 20:01:54.842000+05:30,2026-01-01,Thursday,'20:01:54.842000
93330520-b026-4d60-b30b-631d0e90fc35,_ticket,application,2026-01-01 20:01:55.015000+05:30,2026-01-01,Thursday,'20:01:55.015000
93330520-b026-4d60-b30b-631d0e90fc35,_location_special-town-search,application,2026-01-01 20:01:56.602000+05:30,2026-01-01,Thursday,'20:01:56.602000
93330520-b026-4d60-b30b-631d0e90fc35,_location_elastic-town-search,application,2026-01-01 20:02:00.073000+05:30,2026-01-01,Thursday,'20:02:00.073000
