user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
93a67c13-b33c-46c5-b44d-6e928b86a575,DeviceInfo,application,2026-01-16 07:28:33.785000+05:30,2026-01-16,Friday,'07:28:33.785000
93a67c13-b33c-46c5-b44d-6e928b86a575,Session Started,system,2026-01-16 07:28:34.015000+05:30,2026-01-16,Friday,'07:28:34.015000
93a67c13-b33c-46c5-b44d-6e928b86a575,App Installed,system,2026-01-16 07:28:34.049000+05:30,2026-01-16,Friday,'07:28:34.049000
93a67c13-b33c-46c5-b44d-6e928b86a575,Journey Started,system,2026-01-16 07:28:34.196000+05:30,2026-01-16,Friday,'07:28:34.196000
93a67c13-b33c-46c5-b44d-6e928b86a575,app_start,application,2026-01-16 07:28:34.674000+05:30,2026-01-16,Friday,'07:28:34.674000
93a67c13-b33c-46c5-b44d-6e928b86a575,Push Subscribe Process - Device Registered (Push),system,2026-01-16 07:28:35.694000+05:30,2026-01-16,Friday,'07:28:35.694000
93a67c13-b33c-46c5-b44d-6e928b86a575,choose_language,application,2026-01-16 07:28:37.764000+05:30,2026-01-16,Friday,'07:28:37.764000
93a67c13-b33c-46c5-b44d-6e928b86a575,Onboarding_Language,application,2026-01-16 07:28:37.785000+05:30,2026-01-16,Friday,'07:28:37.785000
93a67c13-b33c-46c5-b44d-6e928b86a575,generate_otp,application,2026-01-16 07:28:57.468000+05:30,2026-01-16,Friday,'07:28:57.468000
93a67c13-b33c-46c5-b44d-6e928b86a575,Onboarding_get_otp,application,2026-01-16 07:28:57.487000+05:30,2026-01-16,Friday,'07:28:57.487000
93a67c13-b33c-46c5-b44d-6e928b86a575,Journey Started,system,2026-01-16 07:28:57.806000+05:30,2026-01-16,Friday,'07:28:57.806000
93a67c13-b33c-46c5-b44d-6e928b86a575,Journey Ended,system,2026-01-16 07:28:57.806000+05:30,2026-01-16,Friday,'07:28:57.806000
93a67c13-b33c-46c5-b44d-6e928b86a575,_auth_generate-otp,application,2026-01-16 07:28:58.290000+05:30,2026-01-16,Friday,'07:28:58.290000
93a67c13-b33c-46c5-b44d-6e928b86a575,get_otp,application,2026-01-16 07:28:58.303000+05:30,2026-01-16,Friday,'07:28:58.303000
93a67c13-b33c-46c5-b44d-6e928b86a575,Onboarding_signup_,application,2026-01-16 07:28:58.333000+05:30,2026-01-16,Friday,'07:28:58.333000
