user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9656fae3-bc39-4947-9fc6-36072f5b2d3a,DeviceInfo,application,2026-01-13 19:13:14.667000+05:30,2026-01-13,Tuesday,'19:13:14.667000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Session Started,system,2026-01-13 19:13:15.418000+05:30,2026-01-13,Tuesday,'19:13:15.418000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,App Installed,system,2026-01-13 19:13:16.189000+05:30,2026-01-13,Tuesday,'19:13:16.189000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,app_start,application,2026-01-13 19:13:16.439000+05:30,2026-01-13,Tuesday,'19:13:16.439000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Journey Started,system,2026-01-13 19:13:19.365000+05:30,2026-01-13,Tuesday,'19:13:19.365000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,choose_language,application,2026-01-13 19:13:34.049000+05:30,2026-01-13,Tuesday,'19:13:34.049000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Onboarding_Language,application,2026-01-13 19:13:34.101000+05:30,2026-01-13,Tuesday,'19:13:34.101000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,generate_otp,application,2026-01-13 19:14:09.033000+05:30,2026-01-13,Tuesday,'19:14:09.033000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Onboarding_get_otp,application,2026-01-13 19:14:09.096000+05:30,2026-01-13,Tuesday,'19:14:09.096000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Journey Started,system,2026-01-13 19:14:09.939000+05:30,2026-01-13,Tuesday,'19:14:09.939000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Journey Ended,system,2026-01-13 19:14:09.940000+05:30,2026-01-13,Tuesday,'19:14:09.940000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,_auth_generate-otp,application,2026-01-13 19:14:10.293000+05:30,2026-01-13,Tuesday,'19:14:10.293000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,get_otp,application,2026-01-13 19:14:10.307000+05:30,2026-01-13,Tuesday,'19:14:10.307000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,Onboarding_signup_,application,2026-01-13 19:14:10.358000+05:30,2026-01-13,Tuesday,'19:14:10.358000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,verify_otp,application,2026-01-13 19:14:27.368000+05:30,2026-01-13,Tuesday,'19:14:27.368000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,_auth_verify-otp,application,2026-01-13 19:14:27.921000+05:30,2026-01-13,Tuesday,'19:14:27.921000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,enter_otp,application,2026-01-13 19:14:28+05:30,2026-01-13,Tuesday,'19:14:28.000000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,User Login,system,2026-01-13 19:14:28.035000+05:30,2026-01-13,Tuesday,'19:14:28.035000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,login,application,2026-01-13 19:14:28.320000+05:30,2026-01-13,Tuesday,'19:14:28.320000
9656fae3-bc39-4947-9fc6-36072f5b2d3a,_user,application,2026-01-13 19:14:28.355000+05:30,2026-01-13,Tuesday,'19:14:28.355000
