user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
96af0756-e6a9-4ba4-8996-012862df4c33,DeviceInfo,application,2026-01-10 15:13:01.455000+05:30,2026-01-10,Saturday,'15:13:01.455000
96af0756-e6a9-4ba4-8996-012862df4c33,Session Started,system,2026-01-10 15:13:02.091000+05:30,2026-01-10,Saturday,'15:13:02.091000
96af0756-e6a9-4ba4-8996-012862df4c33,App Installed,system,2026-01-10 15:13:02.177000+05:30,2026-01-10,Saturday,'15:13:02.177000
96af0756-e6a9-4ba4-8996-012862df4c33,Push Subscribe Process - Device Registered (Push),system,2026-01-10 15:13:03.049000+05:30,2026-01-10,Saturday,'15:13:03.049000
96af0756-e6a9-4ba4-8996-012862df4c33,app_start,application,2026-01-10 15:13:05.531000+05:30,2026-01-10,Saturday,'15:13:05.531000
96af0756-e6a9-4ba4-8996-012862df4c33,Journey Started,system,2026-01-10 15:13:06.239000+05:30,2026-01-10,Saturday,'15:13:06.239000
96af0756-e6a9-4ba4-8996-012862df4c33,choose_language,application,2026-01-10 15:13:07.860000+05:30,2026-01-10,Saturday,'15:13:07.860000
96af0756-e6a9-4ba4-8996-012862df4c33,Onboarding_Language,application,2026-01-10 15:13:07.882000+05:30,2026-01-10,Saturday,'15:13:07.882000
96af0756-e6a9-4ba4-8996-012862df4c33,generate_otp,application,2026-01-10 15:13:27.525000+05:30,2026-01-10,Saturday,'15:13:27.525000
96af0756-e6a9-4ba4-8996-012862df4c33,Onboarding_get_otp,application,2026-01-10 15:13:27.558000+05:30,2026-01-10,Saturday,'15:13:27.558000
96af0756-e6a9-4ba4-8996-012862df4c33,_auth_generate-otp,application,2026-01-10 15:13:28.358000+05:30,2026-01-10,Saturday,'15:13:28.358000
96af0756-e6a9-4ba4-8996-012862df4c33,get_otp,application,2026-01-10 15:13:28.377000+05:30,2026-01-10,Saturday,'15:13:28.377000
96af0756-e6a9-4ba4-8996-012862df4c33,Onboarding_signup_,application,2026-01-10 15:13:28.399000+05:30,2026-01-10,Saturday,'15:13:28.399000
