user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
977139c2-1a75-432d-ad66-12e6e8ea73d0,DeviceInfo,application,2026-01-10 09:07:05.317000+05:30,2026-01-10,Saturday,'09:07:05.317000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Session Started,system,2026-01-10 09:07:16.147000+05:30,2026-01-10,Saturday,'09:07:16.147000
977139c2-1a75-432d-ad66-12e6e8ea73d0,App Installed,system,2026-01-10 09:07:16.267000+05:30,2026-01-10,Saturday,'09:07:16.267000
977139c2-1a75-432d-ad66-12e6e8ea73d0,app_start,application,2026-01-10 09:07:16.307000+05:30,2026-01-10,Saturday,'09:07:16.307000
977139c2-1a75-432d-ad66-12e6e8ea73d0,choose_language,application,2026-01-10 09:07:16.312000+05:30,2026-01-10,Saturday,'09:07:16.312000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_Language,application,2026-01-10 09:07:16.319000+05:30,2026-01-10,Saturday,'09:07:16.319000
977139c2-1a75-432d-ad66-12e6e8ea73d0,choose_language,application,2026-01-10 09:07:16.335000+05:30,2026-01-10,Saturday,'09:07:16.335000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_Language,application,2026-01-10 09:07:16.349000+05:30,2026-01-10,Saturday,'09:07:16.349000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Push Subscribe Process - Device Registered (Push),system,2026-01-10 09:07:16.360000+05:30,2026-01-10,Saturday,'09:07:16.360000
977139c2-1a75-432d-ad66-12e6e8ea73d0,choose_language,application,2026-01-10 09:07:16.371000+05:30,2026-01-10,Saturday,'09:07:16.371000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_Language,application,2026-01-10 09:07:16.378000+05:30,2026-01-10,Saturday,'09:07:16.378000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Started,system,2026-01-10 09:07:17.796000+05:30,2026-01-10,Saturday,'09:07:17.796000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Ended,system,2026-01-10 09:07:18.145000+05:30,2026-01-10,Saturday,'09:07:18.145000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Started,system,2026-01-10 09:07:18.145000+05:30,2026-01-10,Saturday,'09:07:18.145000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Ended,system,2026-01-10 09:07:18.279000+05:30,2026-01-10,Saturday,'09:07:18.279000
977139c2-1a75-432d-ad66-12e6e8ea73d0,generate_otp,application,2026-01-10 09:07:28.826000+05:30,2026-01-10,Saturday,'09:07:28.826000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_get_otp,application,2026-01-10 09:07:28.853000+05:30,2026-01-10,Saturday,'09:07:28.853000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Started,system,2026-01-10 09:07:30.005000+05:30,2026-01-10,Saturday,'09:07:30.005000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Journey Ended,system,2026-01-10 09:07:30.005000+05:30,2026-01-10,Saturday,'09:07:30.005000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_auth_generate-otp,application,2026-01-10 09:07:35.132000+05:30,2026-01-10,Saturday,'09:07:35.132000
977139c2-1a75-432d-ad66-12e6e8ea73d0,get_otp,application,2026-01-10 09:07:35.163000+05:30,2026-01-10,Saturday,'09:07:35.163000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_signup_,application,2026-01-10 09:07:35.181000+05:30,2026-01-10,Saturday,'09:07:35.181000
977139c2-1a75-432d-ad66-12e6e8ea73d0,resend_otp,application,2026-01-10 09:07:52.149000+05:30,2026-01-10,Saturday,'09:07:52.149000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_auth_generate-otp,application,2026-01-10 09:07:52.537000+05:30,2026-01-10,Saturday,'09:07:52.537000
977139c2-1a75-432d-ad66-12e6e8ea73d0,get_otp,application,2026-01-10 09:07:52.595000+05:30,2026-01-10,Saturday,'09:07:52.595000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Onboarding_signup_,application,2026-01-10 09:07:52.605000+05:30,2026-01-10,Saturday,'09:07:52.605000
977139c2-1a75-432d-ad66-12e6e8ea73d0,verify_otp,application,2026-01-10 09:08:14.022000+05:30,2026-01-10,Saturday,'09:08:14.022000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_auth_verify-otp,application,2026-01-10 09:08:14.398000+05:30,2026-01-10,Saturday,'09:08:14.398000
977139c2-1a75-432d-ad66-12e6e8ea73d0,enter_otp,application,2026-01-10 09:08:14.430000+05:30,2026-01-10,Saturday,'09:08:14.430000
977139c2-1a75-432d-ad66-12e6e8ea73d0,User Login,system,2026-01-10 09:08:14.447000+05:30,2026-01-10,Saturday,'09:08:14.447000
977139c2-1a75-432d-ad66-12e6e8ea73d0,login,application,2026-01-10 09:08:14.617000+05:30,2026-01-10,Saturday,'09:08:14.617000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_user,application,2026-01-10 09:08:14.794000+05:30,2026-01-10,Saturday,'09:08:14.794000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_location_from-town,application,2026-01-10 09:08:15.662000+05:30,2026-01-10,Saturday,'09:08:15.662000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_user,application,2026-01-10 09:08:22.634000+05:30,2026-01-10,Saturday,'09:08:22.634000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_history_recommended-journey,application,2026-01-10 09:08:22.779000+05:30,2026-01-10,Saturday,'09:08:22.779000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_location_from-town,application,2026-01-10 09:08:22.798000+05:30,2026-01-10,Saturday,'09:08:22.798000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_user_device,application,2026-01-10 09:08:22.917000+05:30,2026-01-10,Saturday,'09:08:22.917000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_user,application,2026-01-10 09:08:22.962000+05:30,2026-01-10,Saturday,'09:08:22.962000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_location_special-town-search,application,2026-01-10 09:08:23.217000+05:30,2026-01-10,Saturday,'09:08:23.217000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_ticket,application,2026-01-10 09:08:23.306000+05:30,2026-01-10,Saturday,'09:08:23.306000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_location_special-town-search,application,2026-01-10 09:08:28.178000+05:30,2026-01-10,Saturday,'09:08:28.178000
977139c2-1a75-432d-ad66-12e6e8ea73d0,_location_elastic-town-search,application,2026-01-10 09:08:28.542000+05:30,2026-01-10,Saturday,'09:08:28.542000
977139c2-1a75-432d-ad66-12e6e8ea73d0,Push Failure,system,2026-01-10 13:00:12.142000+05:30,2026-01-10,Saturday,'13:00:12.142000
