user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,DeviceInfo,application,2026-01-16 13:28:23.140000+05:30,2026-01-16,Friday,'13:28:23.140000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Session Started,system,2026-01-16 13:28:23.462000+05:30,2026-01-16,Friday,'13:28:23.462000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,App Installed,system,2026-01-16 13:28:23.517000+05:30,2026-01-16,Friday,'13:28:23.517000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,app_start,application,2026-01-16 13:28:29.657000+05:30,2026-01-16,Friday,'13:28:29.657000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,choose_language,application,2026-01-16 13:28:33.195000+05:30,2026-01-16,Friday,'13:28:33.195000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Onboarding_Language,application,2026-01-16 13:28:33.218000+05:30,2026-01-16,Friday,'13:28:33.218000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,choose_language,application,2026-01-16 13:28:34.026000+05:30,2026-01-16,Friday,'13:28:34.026000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Onboarding_Language,application,2026-01-16 13:28:34.081000+05:30,2026-01-16,Friday,'13:28:34.081000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Ended,system,2026-01-16 13:28:35.718000+05:30,2026-01-16,Friday,'13:28:35.718000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Started,system,2026-01-16 13:28:35.718000+05:30,2026-01-16,Friday,'13:28:35.718000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Ended,system,2026-01-16 13:28:35.865000+05:30,2026-01-16,Friday,'13:28:35.865000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Started,system,2026-01-16 13:28:35.865000+05:30,2026-01-16,Friday,'13:28:35.865000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,generate_otp,application,2026-01-16 13:28:41.515000+05:30,2026-01-16,Friday,'13:28:41.515000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Onboarding_get_otp,application,2026-01-16 13:28:41.536000+05:30,2026-01-16,Friday,'13:28:41.536000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_auth_generate-otp,application,2026-01-16 13:28:42.514000+05:30,2026-01-16,Friday,'13:28:42.514000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,get_otp,application,2026-01-16 13:28:42.526000+05:30,2026-01-16,Friday,'13:28:42.526000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Onboarding_signup_,application,2026-01-16 13:28:42.580000+05:30,2026-01-16,Friday,'13:28:42.580000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,verify_otp,application,2026-01-16 13:28:46.788000+05:30,2026-01-16,Friday,'13:28:46.788000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_auth_verify-otp,application,2026-01-16 13:28:47.178000+05:30,2026-01-16,Friday,'13:28:47.178000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,enter_otp,application,2026-01-16 13:28:47.220000+05:30,2026-01-16,Friday,'13:28:47.220000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,User Login,system,2026-01-16 13:28:47.333000+05:30,2026-01-16,Friday,'13:28:47.333000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,login,application,2026-01-16 13:28:47.592000+05:30,2026-01-16,Friday,'13:28:47.592000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_user,application,2026-01-16 13:28:47.613000+05:30,2026-01-16,Friday,'13:28:47.613000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_from-town,application,2026-01-16 13:28:48.163000+05:30,2026-01-16,Friday,'13:28:48.163000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Onboarding_Profile Saved,application,2026-01-16 13:28:49.297000+05:30,2026-01-16,Friday,'13:28:49.297000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Started,system,2026-01-16 13:28:57.710000+05:30,2026-01-16,Friday,'13:28:57.710000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Session Started,system,2026-01-16 13:29:33.972000+05:30,2026-01-16,Friday,'13:29:33.972000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_user,application,2026-01-16 13:29:41.971000+05:30,2026-01-16,Friday,'13:29:41.971000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_user_device,application,2026-01-16 13:29:41.985000+05:30,2026-01-16,Friday,'13:29:41.985000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_history_recommended-journey,application,2026-01-16 13:29:42.003000+05:30,2026-01-16,Friday,'13:29:42.003000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_from-town,application,2026-01-16 13:29:42.080000+05:30,2026-01-16,Friday,'13:29:42.080000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_user,application,2026-01-16 13:29:42.249000+05:30,2026-01-16,Friday,'13:29:42.249000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_special-town-search,application,2026-01-16 13:29:42.329000+05:30,2026-01-16,Friday,'13:29:42.329000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_ticket,application,2026-01-16 13:29:42.526000+05:30,2026-01-16,Friday,'13:29:42.526000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_special-town-search,application,2026-01-16 13:29:44.272000+05:30,2026-01-16,Friday,'13:29:44.272000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_elastic-town-search,application,2026-01-16 13:29:44.784000+05:30,2026-01-16,Friday,'13:29:44.784000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_special-town-search,application,2026-01-16 13:30:11.106000+05:30,2026-01-16,Friday,'13:30:11.106000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_location_elastic-town-search,application,2026-01-16 13:30:16.286000+05:30,2026-01-16,Friday,'13:30:16.286000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Buslist_date change,application,2026-01-16 13:30:20.060000+05:30,2026-01-16,Friday,'13:30:20.060000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_user,application,2026-01-16 13:30:20.419000+05:30,2026-01-16,Friday,'13:30:20.419000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,pageview_bus_list,application,2026-01-16 13:30:20.474000+05:30,2026-01-16,Friday,'13:30:20.474000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_bus-search_user-bus-search,application,2026-01-16 13:30:20.484000+05:30,2026-01-16,Friday,'13:30:20.484000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_bus-search_list,application,2026-01-16 13:30:23.990000+05:30,2026-01-16,Friday,'13:30:23.990000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,_rewards_best-V2,application,2026-01-16 13:30:24.396000+05:30,2026-01-16,Friday,'13:30:24.396000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Buslist_date change,application,2026-01-16 13:30:24.410000+05:30,2026-01-16,Friday,'13:30:24.410000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,bus_search,application,2026-01-16 13:30:24.510000+05:30,2026-01-16,Friday,'13:30:24.510000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,bus_result,application,2026-01-16 13:30:24.520000+05:30,2026-01-16,Friday,'13:30:24.520000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Started,system,2026-01-16 13:30:40.637000+05:30,2026-01-16,Friday,'13:30:40.637000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Push Failure,system,2026-01-16 13:45:53.486000+05:30,2026-01-16,Friday,'13:45:53.486000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Journey Ended,system,2026-01-16 19:46:20.148000+05:30,2026-01-16,Friday,'19:46:20.148000
985b6b9f-e6e9-4332-8409-75fd6f67ba8b,Push Failure,system,2026-01-17 13:29:13.980000+05:30,2026-01-17,Saturday,'13:29:13.980000
